ZAWODNIK,KLUB,POZYCJA,MIN,MECZE,OSTATNI GOL,PRZECIW
Maksymilian Banaszewski,Arka Gdynia,pomocnik,404,8,-,-
Giannis Mystakidis,Górnik Zabrze,pomocnik,401,9,-,-
Maciej Górski,Korona Kielce,napastnik,401,11,17.08.2018,Miedź
Karol Angielski,Wisła Płock,napastnik,400,14,28.09.2018,Lechia
Justinas Marazas,Wisła Płock,pomocnik,399,6,-,-
Ricardinho,Wisła Płock,napastnik,398,8,08.04.2019,Śląsk
Jakub Łukowski,Wisła Płock,pomocnik,390,9,21.10.2018,Zagłębie L.
Vamara Sanogo,Zagłębie Sosnowiec,napastnik,360,5,22.04.2019,Miedź
Miroslav Radović,Legia Warszawa,pomocnik,345,11,27.04.2018,Korona
Adam Frączczak,Pogoń Szczecin,pomocnik,341,4,11.08.2018,Cracovia
Mateusz Młyński,Arka Gdynia,pomocnik,338,10,20.10.2018,Śląsk
Spas Delew,Pogoń Szczecin,pomocnik,335,7,08.12.2018,Zagłębie S.
Dawid Ryndak,Zagłębie Sosnowiec,pomocnik,335,8,-,-
Mateusz Szczepaniak,Miedź Legnica,napastnik,330,5,24.02.2019,Wisła P.
Łukasz Poręba,Zagłębie Lubin,pomocnik,326,5,07.12.2018,Piast
Stefan Sćepović,Jagiellonia Białystok,napastnik,324,6,-,-
Mateusz Możdżeń,Zagłębie Sosnowiec,pomocnik,324,4,25.04.2019,Wisła K.
Arkadiusz Piech,Śląsk Wrocław,napastnik,318,10,09.02.2019,Zagłębie S.
Martin Adamec,Jagiellonia Białystok,pomocnik,317,8,-,-
Tomasz Cywka,Lech Poznań,pomocnik,315,4,26.08.2018,Zagłębie L.
Giorgi Iwaniszwili,Zagłębie Sosnowiec,napastnik,315,9,-,-
Michał Janota,Arka Gdynia,pomocnik,310,4,13.04.2019,Miedź
Patryk Tuszyński,Zagłębie Lubin,napastnik,309,3,26.04.2019,Jagiellonia
Sławomir Peszko,Wisła Kraków,pomocnik,307,4,22.04.2019,Wisła P.
Filip Marchwiński,Lech Poznań,pomocnik,292,5,24.04.2019,Legia
Patryk Lipski,Lechia Gdańsk,pomocnik,281,4,24.04.2019,Pogoń
Mile Savković,Jagiellonia Białystok,pomocnik,279,10,19.08.2018,Piast
Santeri Hostikka,Pogoń Szczecin,pomocnik,279,8,-,-
Adrian Danek,Cracovia,pomocnik,277,6,22.04.2018,Arka
Wojciech Hajda,Górnik Zabrze,pomocnik,274,9,-,-
Martin Pospisil,Jagiellonia Białystok,pomocnik,272,3,06.05.2019,Pogoń
Marquitos,Miedź Legnica,pomocnik,263,3,02.09.2018,Zagłębie L.
Oskar Zawada,Wisła Płock,napastnik,262,3,03.05.2019,Arka
Marcus Vinicius,Arka Gdynia,pomocnik,260,5,25.04.2019,Miedź
Airam Cabrera,Cracovia,napastnik,250,3,26.04.2019,Piast
Bojan Cecarić,Cracovia,pomocnik,243,7,-,-
Kasper Hamalainen,Legia Warszawa,pomocnik,243,3,27.04.2019,Lechia
Ariel Borysiuk,Wisła Płock,pomocnik,242,3,25.04.2019,Korona
Kamil Jóźwiak,Lech Poznań,pomocnik,238,3,04.05.2019,Zagłębie L.
Filip Piszczek,Cracovia,napastnik,236,6,13.04.2019,Lechia
Milan Dimun,Cracovia,pomocnik,233,3,05.05.2019,Lechia
Jesus Jimenez,Górnik Zabrze,pomocnik,232,2,03.05.2019,Wisła K.
Mateusz Żukowski,Lechia Gdańsk,napastnik,232,10,-,-
Oktawian Skrzecz,Korona Kielce,pomocnik,228,5,-,-
Lukas Haraslin,Lechia Gdańsk,pomocnik,225,3,27.04.2019,Legia
Joel Valencia,Piast Gliwice,pomocnik,225,2,12.05.2019,Jagiellonia
Konrad Michalak,Lechia Gdańsk,pomocnik,223,3,24.04.2019,Pogoń
Ishmael Baidoo,Górnik Zabrze,pomocnik,217,5,-,-
Sebastian Kowalczyk,Pogoń Szczecin,pomocnik,210,3,06.05.2019,Jagiellonia
Wladisław Sirotow,Zagłębie Lubin,pomocnik,209,10,-,-
Jarosław Niezgoda,Legia Warszawa,napastnik,207,6,27.04.2018,Korona
Daniel Łuczak,Śląsk Wrocław,pomocnik,200,4,19.05.2018,Arka
Sandro Kulenović,Legia Warszawa,napastnik,199,7,09.03.2019,Arka
Artur Sobiech,Lechia Gdańsk,napastnik,181,2,24.04.2019,Pogoń
Giorgi Merebaszwili,Wisła Płock,pomocnik,173,1,14.05.2019,Górnik Z.
Rafał Siemaszko,Arka Gdynia,napastnik,172,7,10.02.2019,Korona
Daniel Pik,Cracovia,pomocnik,170,7,-,-
Mateusz Sopoćko,Lechia Gdańsk,pomocnik,164,5,-,-
Patryk Sokołowski,Piast Gliwice,pomocnik,164,9,02.11.2018,Wisła K.
Mateusz Skrzypczak,Lech Poznań,pomocnik,163,3,-,-
Gerard Oliva,Cracovia,napastnik,162,2,21.07.2018,Śląsk
Salvador Agra,Legia Warszawa,pomocnik,160,4,-,-
Gerard Badia,Piast Gliwice,pomocnik,160,3,04.05.2019,Legia
Dominik Nagy,Legia Warszawa,pomocnik,157,2,12.05.2019,Pogoń
Michał Żyro,Pogoń Szczecin,napastnik,154,3,07.04.2019,Arka
