ZAWODNIK,KLUB,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Paweł Tomczyk,Lech Poznań,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Matthias Hamrol,Korona Kielce,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Tomasz Cywka,Lech Poznań,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Maciej Ambrosiewicz,Górnik Zabrze,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Mateusz Sopoćko,Lechia Gdańsk,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Tomasz Nowak,Zagłębie Sosnowiec,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Dawid Kort,Wisła Kraków,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Przemysław Frankowski,Jagiellonia,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Martin Kostal,Wisła K/Jagiellonia,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Carlitos,Legia Warszawa,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Daniel Smuga,Górnik Zabrze,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Ken Kallaste,Korona Kielce,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Sergei Zenjov,Cracovia,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Thomas Rogne,Lech Poznań,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Maciej Gajos,Lech Poznań,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Elhadji Pape Diaw,Korona Kielce,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Sandro Kulenović,Legia Warszawa,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Mateusz Szczepaniak,Miedź Legnica,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
David Niepsuj,Pogoń Szczecin,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Liszka,Górnik Zabrze,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Damian Dąbrowski,Cracovia,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Arak,Lechia Gdańsk,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Konrad Michalak,Lechia Gdańsk,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Mares,Zagłębie Lubin,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Darko Jevtić,Lech Poznań,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Rafał Wolski,Lechia Gdańsk,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Szczepan,Śląsk Wrocław,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Ivan Jukić,Korona Kielce,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Tomasz Jodłowiec,Piast Gliwice,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Słowik,Śląsk Wrocław,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Oskar Zawada,Wisła Płock,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Bartłomiej Pawłowski,Zagłębie Lubin,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Giannis Mystakidis,Górnik Zabrze,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Ishmael Baidoo,Górnik Zabrze,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
