ZAWODNIK,KLUB,Strzały,G,xG,xG/s,G-xG,non-pen xG,non-pen xG/s,non-pen G - non-pen xG
Jakub Bartkowski,Wisła K/Pogoń,24,1,"1,684","0,070","-0,684","1,684","0,070","-0,684"
Patryk Plewka,Wisła Kraków,5,0,"0,688","0,138","-0,688","0,688","0,138","-0,688"
Marcus Vinicius,Arka Gdynia,10,1,"1,453","0,145","-0,453","0,703","0,078","-0,703"
Rafał Boguski,Wisła Kraków,24,2,"3,458","0,144","-1,458","2,708","0,118","-0,708"
Giannis Mystakidis,Górnik Zabrze,10,0,"0,732","0,073","-0,732","0,732","0,073","-0,732"
Cillian Sheridan,Jagiellonia,19,3,"3,732","0,196","-0,732","3,732","0,196","-0,732"
Grzegorz Bartczak,Miedź Legnica,8,0,"0,782","0,098","-0,782","0,782","0,098","-0,782"
Jarosław Niezgoda,Legia Warszawa,7,0,"0,794","0,113","-0,794","0,794","0,113","-0,794"
Marcin Wasilewski,Wisła Kraków,10,0,"0,814","0,081","-0,814","0,814","0,081","-0,814"
Hubert Matynia,Pogoń Szczecin,22,0,"0,819","0,037","-0,819","0,819","0,037","-0,819"
Marquitos,Miedź Legnica,21,2,"2,578","0,123","-0,578","1,828","0,091","-0,828"
Maciej Dąbrowski,Zagłębie Lubin,7,0,"0,834","0,119","-0,834","0,834","0,119","-0,834"
Ivan Marquez,Korona Kielce,15,0,"0,842","0,056","-0,842","0,842","0,056","-0,842"
Łukasz Wolsztyński,Górnik Zabrze,17,1,"1,856","0,109","-0,856","1,856","0,109","-0,856"
Konrad Michalak,Lechia Gdańsk,22,1,"1,863","0,085","-0,863","1,863","0,085","-0,863"
Arkadiusz Jędrych,Zagłębie Sosnowiec,7,0,"0,873","0,125","-0,873","0,873","0,125","-0,873"
Wojciech Golla,Śląsk Wrocław,16,1,"1,885","0,118","-0,885","1,885","0,118","-0,885"
Ołeksij Dytiatjew,Cracovia,15,1,"1,895","0,126","-0,895","1,895","0,126","-0,895"
