ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,G rez,AS rez,G 1-0/0-1,2.AS,KAN+2.AS
Matej Rodin,Cracovia,2,1,3,0,0,0,0,3
Victor Garcia,Śląsk Wrocław,1,2,3,0,1,1,1,4
Sebastian Musiolik,Raków Częstochowa,3,0,3,1,0,0,2,5
Tomas Zajic,Zagłębie Lubin,2,1,3,0,0,1,1,4
Karol Struski,Jagiellonia,1,2,3,0,1,0,2,5
Mateusz Matras,Stal Mielec,1,2,3,0,0,0,2,5
Milan Rundić,Raków Częstochowa,1,2,3,0,0,1,1,4
Michał Rakoczy,Cracovia,3,0,3,0,0,3,0,3
Ben Lederman,Raków Częstochowa,1,2,3,0,0,1,5,8
Maciej Żurawski,Pogoń Szczecin,3,0,3,1,0,1,1,4
Mathias Hebo Rasmussen,Cracovia,2,1,3,1,0,0,0,3
Mateusz Cholewiak,Górnik Zabrze,1,2,3,1,0,0,3,6
Łukasz Łakomy,Zagłębie Lubin,1,2,3,0,0,0,4,7
Mateusz Kupczak,Warta Poznań,1,2,3,0,0,0,2,5
Mariusz Fornalczyk,Pogoń Szczecin,1,2,3,0,1,1,0,3
Jakub Kałuziński,Lechia Gdańsk,1,2,3,0,0,1,0,3
Tom Hateley,Piast Gliwice,0,3,3,0,0,0,3,6
Miłosz Szczepański,Warta Poznań,2,1,3,0,1,2,1,4
Oskar Zawada,Stal Mielec,3,0,3,1,0,2,1,4
Marc Gual,Jagiellonia,3,0,3,0,0,1,1,4
Elvis Manu,Wisła Kraków,2,1,3,1,0,1,2,5
Jorginho,Wisła Płock,1,2,3,0,0,0,1,4
Heorhij Citaiszwili,Wisła Kraków,1,2,3,0,1,1,1,4
Diego Carioca,Jagiellonia,2,1,3,0,0,1,1,4
Dennis Jastrzembski,Śląsk Wrocław,1,2,3,0,1,0,1,4
Higinio Marin,Górnik Zabrze,3,0,3,3,0,0,0,3
Aleks Ławniczak,Warta/Zagłębie,0,2,2,0,0,0,0,2
Bartłomiej Pawłowski,Śląsk Wrocław,0,2,2,0,1,0,0,2
Diogo Verdasca,Śląsk Wrocław,1,1,2,0,0,0,2,4
Filip Balaj,Cracovia,1,1,2,1,0,0,0,2
Jesper Karlstrom,Lech Poznań,1,1,2,0,0,0,7,9
Jewgienij Baszkirow,Zagłębie Lubin,1,1,2,1,0,1,2,4
Maik Nawrocki,Legia Warszawa,1,1,2,0,0,0,0,2
Meik Karwot,Radomiak Radom,0,2,2,0,0,0,2,4
Michał Żyro,Piast/Jagiellonia,1,1,2,1,0,0,2,4
Miłosz Kozak,Radomiak Radom,0,2,2,0,1,0,0,2
Sasa Zivec,Zagłębie Lubin,2,0,2,0,0,0,1,3
Szymon Czyż,Warta/Raków,0,2,2,0,0,0,0,2
Tomasz Makowski,Lechia Gdańsk,1,1,2,0,0,0,1,3
Maciej Urbańczyk,Stal Mielec,0,2,2,0,0,0,0,2
Mateusz Hołownia,Legia Warszawa,1,1,2,0,0,0,0,2
Felicio Brown Forbes,Wisła Kraków,2,0,2,0,0,1,0,2
Piotr Parzyszek,Pogoń Szczecin,1,1,2,0,0,1,6,8
Mario Maloca,Lechia Gdańsk,0,2,2,0,0,0,1,3
Pedro Tiba,Lech Poznań,2,0,2,1,0,0,0,2
Fabio Sturgeon,Raków Częstochowa,1,1,2,0,0,1,1,3
Marcel Wędrychowski,Górnik Łęczna,1,1,2,1,0,0,1,3
Alex Serrano,Górnik Łęczna,0,2,2,0,2,0,3,5
Damian Jakubik,Radomiak Radom,0,2,2,0,0,0,0,2
Bartłomiej Kukułowicz,Bruk-Bet,0,2,2,0,0,0,1,3
Dominik Furman,Wisła Płock,0,2,2,0,1,0,3,5
Krzysztof Mączyński,Śląsk Wrocław,0,2,2,0,0,0,3,5
Filip Mladenović,Legia Warszawa,0,2,2,0,0,0,3,5
Rafał Janicki,Górnik Zabrze,2,0,2,0,0,2,0,2
Kacper Śpiewak,Bruk-Bet,2,0,2,1,0,0,0,2
Michal Hubinek,Bruk-Bet,1,1,2,0,0,1,0,2
Rivaldinho,Cracovia,1,1,2,1,0,0,2,4
Tomas Petrasek,Raków Częstochowa,2,0,2,0,0,0,2,4
Marcel Zylla,Śląsk Wrocław,1,1,2,1,1,0,0,2
Waldemar Sobota,Śląsk Wrocław,0,2,2,0,2,0,2,4
Filip Piszczek,Cracovia,2,0,2,1,0,0,0,2
Florian Loshaj,Cracovia,1,1,2,1,1,0,0,2
