ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Maciej Gajos,Lech Poznań,"75,0%","16,7%","0,0%",29,7,"24,1%",2,"14,50","6,9%",18
Damian Szymański,Wisła Płock,"100,0%","4,8%","66,7%",29,7,"24,1%",2,"14,50","6,9%",25
Bartosz Rymaniak,Korona Kielce,"28,6%","0,0%","37,5%",30,7,"23,3%",0,-,"0,0%",30
Jarosław Kubicki,Lechia Gdańsk,"33,3%","21,4%","0,0%",33,7,"21,2%",4,"8,25","12,1%",24
Martin Pospisil,Jagiellonia,"44,4%","12,5%","0,0%",34,7,"20,6%",1,"34,00","2,9%",27
Łukasz Burliga,Jagiellonia/Wisła K,"100,0%","50,0%","50,0%",11,6,"54,5%",3,"3,67","27,3%",13
Łukasz Janoszka,Zagłębie Lubin,"50,0%","100,0%","0,0%",12,6,"50,0%",1,"12,00","8,3%",6
Borja Fernandez,Miedź Legnica,"66,7%","44,4%",-,12,6,"50,0%",0,-,"0,0%",15
Piotr Polczak,Zagłębie Sosnowiec,-,"0,0%","50,0%",13,6,"46,2%",2,"6,50","15,4%",5
Sergei Zenjov,Cracovia,"50,0%","25,0%","100,0%",13,6,"46,2%",1,"13,00","7,7%",9
Wojciech Golla,Śląsk Wrocław,"0,0%","28,6%","66,7%",16,6,"37,5%",1,"16,00","6,3%",3
Grzegorz Kuświk,Wisła Płock,-,"50,0%","0,0%",16,6,"37,5%",3,"5,33","18,8%",13
Mikkel Kirkeskov,Piast Gliwice,"31,3%","100,0%",-,17,6,"35,3%",2,"8,50","11,8%",28
Adam Marciniak,Arka Gdynia,"16,7%","50,0%","44,4%",17,6,"35,3%",1,"17,00","5,9%",17
Mateusz Wieteska,Legia Warszawa,-,"0,0%","37,5%",17,6,"35,3%",0,-,"0,0%",3
Mateusz Szwoch,Wisła Płock,"60,0%","25,0%","0,0%",18,6,"33,3%",1,"18,00","5,6%",12
