ZAWODNIK,KLUB,MIAŁ,STWORZYŁ,% WYK.
Giannis Papanikolaou,Raków,6,0,"83,3%"
Maciej Żurawski,Warta,3,0,"66,7%"
Łukasz Bejger,Śląsk,2,0,"50,0%"
Michał Gurgul,Lech,2,0,"50,0%"
Burak Ince,Śląsk,2,0,"50,0%"
Jordan Majchrzak,Puszcza,2,0,"50,0%"
Simeon Petrow,Śląsk,2,0,"50,0%"
Jardel,Radomiak,2,0,"50,0%"
Leo Borges,Pogoń,2,0,"50,0%"
Kamil Wilczek,Piast,2,0,"50,0%"
Adam Zrelak,Warta,4,0,"50,0%"
Łukasz Wolsztyński,Stal,2,0,"50,0%"
Arttu Hoskonen,Cracovia,3,0,"33,3%"
Bogdan Racovitan,Raków,6,0,"33,3%"
Patryk Szwedzik,Śląsk,3,0,"33,3%"
Makana Baku,Legia,1,0,"0,0%"
Paweł Baranowski,Ruch,1,0,"0,0%"
Jakub Bartkowski,Warta,2,0,"0,0%"
Mateusz Cichocki,Radomiak,2,0,"0,0%"
Gil Dias,Legia,2,0,"0,0%"
Barry Douglas,Lech,1,0,"0,0%"
Marco Ehmann,Stal,1,0,"0,0%"
Tomasz Foszmańczyk,Ruch,1,0,"0,0%"
Ali Gholizadeh,Lech,2,0,"0,0%"
Dennis Jastrzembski,Śląsk,1,0,"0,0%"
Gabriel Kirejczyk,Piast,1,0,"0,0%"
Bartłomiej Kłudka,Zagłębie,1,0,"0,0%"
Kamil Kruk,Zagłębie,1,0,"0,0%"
Paweł Kwiatkowski,Widzew,1,0,"0,0%"
Wojciech Łaski,Jagiellonia,1,0,"0,0%"
Kai Meriluoto,Stal,3,0,"0,0%"
Muris Mesanović,Puszcza,1,0,"0,0%"
Michał Mokrzycki,ŁKS,1,0,"0,0%"
Nacho Monsalve,ŁKS,2,0,"0,0%"
Bartłomiej Poczobut,Puszcza,2,0,"0,0%"
Arkadiusz Pyrka,Piast,1,0,"0,0%"
Artur Sobiech,Lech,1,0,"0,0%"
Paweł Stolarski,Pogoń,1,0,"0,0%"
Kryspin Szcześniak,Górnik Z,3,0,"0,0%"
Szymon Szymański,Ruch,1,0,"0,0%"
Krzysztof Wołkowicz,Stal,1,0,"0,0%"
Arkadiusz Woźniak,Zagłębie,1,0,"0,0%"
Kenneth Zohore,Śląsk,1,0,"0,0%"
Jakub Holubek,Piast,1,0,"0,0%"
Krystian Okoniewski,Radomiak,2,0,"0,0%"
Patryk Sokołowski,Cracovia,4,0,"0,0%"
Benedikt Zech,Pogoń,2,0,"0,0%"
Peter Barath,Raków,1,0,"0,0%"
Thiago,Puszcza,1,0,"0,0%"
Patryk Paryzek,Pogoń,1,0,"0,0%"
Jan Grzesik,Radomiak,1,0,"0,0%"
Fredrik Krogstad,Korona,2,0,"0,0%"
Michał Nalepa II,Zagłębie,1,0,"0,0%"
Tomasz Wojcinowicz,Puszcza,1,0,"0,0%"
Bartłomiej Barański,Ruch,1,0,"0,0%"
