ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Mikołaj Lebedyński,Stal Mielec,"25,0%","14,3%","14,3%",18,3,"16,7%",0,-,"0,0%",10
Marcin Flis,Stal Mielec,"0,0%",-,"33,3%",19,3,"15,8%",0,-,"0,0%",14
Filip Balaj,Cracovia,-,"100,0%",-,2,2,"100,0%",0,-,"0,0%",1
Adrian Przyborek,Pogoń Szczecin,"100,0%","100,0%",-,2,2,"100,0%",0,-,"0,0%",1
Mateusz Kowalski,Jagiellonia,-,"100,0%","0,0%",3,2,"66,7%",2,"1,50","66,7%",0
Sebastian Musiolik,Raków Częstochowa,"100,0%",-,"50,0%",3,2,"66,7%",0,-,"0,0%",2
Michał Pazdan,Jagiellonia,"100,0%",-,"50,0%",3,2,"66,7%",1,"3,00","33,3%",2
Lubomir Satka,Lech Poznań,"100,0%","50,0%",-,3,2,"66,7%",1,"3,00","33,3%",6
Andrzej Trubeha,Jagiellonia,-,"100,0%","50,0%",3,2,"66,7%",0,-,"0,0%",2
Juan Camara,Jagiellonia,"66,7%",-,-,3,2,"66,7%",0,-,"0,0%",3
Milan Corryn,Warta Poznań,-,"50,0%","50,0%",4,2,"50,0%",1,"4,00","25,0%",1
Mateusz Skrzypczak,Jagiellonia,"50,0%",-,"50,0%",4,2,"50,0%",1,"4,00","25,0%",0
Sebastian Bergier,Śląsk Wrocław,-,"50,0%",-,4,2,"50,0%",0,-,"0,0%",0
Constantin Reiner,Piast Gliwice,-,"100,0%","33,3%",4,2,"50,0%",2,"2,00","50,0%",1
Krystian Okoniewski,Radomiak Radom,-,-,"50,0%",4,2,"50,0%",0,-,"0,0%",1
Patryk Szwedzik,Śląsk Wrocław,"100,0%","50,0%","0,0%",4,2,"50,0%",0,-,"0,0%",0
Jens Gammelby,Miedź Legnica,-,"40,0%",-,5,2,"40,0%",0,-,"0,0%",5
Joel Abu Hanna,Legia Warszawa,"33,3%",-,"50,0%",5,2,"40,0%",0,-,"0,0%",1
Milan Rundić,Raków Częstochowa,"0,0%","100,0%","100,0%",5,2,"40,0%",0,-,"0,0%",2
Milan Kvocera,Wisła Płock,"0,0%","100,0%",-,5,2,"40,0%",0,-,"0,0%",3
Benedikt Zech,Pogoń Szczecin,-,"0,0%","100,0%",5,2,"40,0%",0,-,"0,0%",4
David Stec,Lechia Gdańsk,"100,0%","25,0%",-,5,2,"40,0%",0,-,"0,0%",2
Marcin Cebula,Raków Częstochowa,-,"40,0%",-,5,2,"40,0%",1,"5,00","20,0%",8
Norbert Wojtuszek,Górnik Zabrze,-,"25,0%","50,0%",6,2,"33,3%",0,-,"0,0%",11
Gabriel Kirejczyk,Piast Gliwice,"0,0%","0,0%","50,0%",6,2,"33,3%",0,-,"0,0%",8
Szymon Matuszek,Miedź Legnica,"0,0%","0,0%","66,7%",6,2,"33,3%",1,"6,00","16,7%",2
Andrejs Ciganiks,Widzew Łódź,"20,0%",-,"100,0%",6,2,"33,3%",1,"6,00","16,7%",13
Mario Maloca,Lechia Gdańsk,"33,3%","0,0%","33,3%",7,2,"28,6%",1,"7,00","14,3%",1
Thabo Cele,Radomiak Radom,"0,0%","28,6%",-,8,2,"25,0%",0,-,"0,0%",21
Aleks Ławniczak,Zagłębie Lubin,-,"33,3%","20,0%",8,2,"25,0%",0,-,"0,0%",3
Marko Poletanović,Zagłębie Lubin,-,"25,0%",-,8,2,"25,0%",1,"8,00","12,5%",28
Konrad Poprawa,Śląsk Wrocław,"50,0%","0,0%","25,0%",8,2,"25,0%",0,-,"0,0%",3
Maciej Bortniczuk,Jagiellonia,"66,7%","0,0%","0,0%",8,2,"25,0%",1,"8,00","12,5%",0
Bartosz Salamon,Lech Poznań,-,"16,7%","50,0%",8,2,"25,0%",0,-,"0,0%",0
Jakub Świerczok,Zagłębie Lubin,"0,0%","33,3%",-,8,2,"25,0%",0,-,"0,0%",2
Fabio Nunes,Widzew Łódź,"33,3%","0,0%",-,9,2,"22,2%",0,-,"0,0%",12
Mathias Hebo Rasmussen,Cracovia,"0,0%","25,0%",-,9,2,"22,2%",1,"9,00","11,1%",9
Michal Siplak,Cracovia,"28,6%",-,"0,0%",9,2,"22,2%",0,-,"0,0%",12
Jakub Lewicki,Jagiellonia,"25,0%","0,0%",-,9,2,"22,2%",1,"9,00","11,1%",14
Dawid Drachal,Miedź Legnica,"0,0%","16,7%","100,0%",9,2,"22,2%",1,"9,00","11,1%",5
Adam Deja,Korona Kielce,"0,0%","25,0%",-,10,2,"20,0%",0,-,"0,0%",16
Barry Douglas,Lech Poznań,"28,6%",-,"0,0%",10,2,"20,0%",0,-,"0,0%",20
Arkadiusz Kasperkiewicz,Stal Mielec,"0,0%","33,3%","0,0%",10,2,"20,0%",1,"10,00","10,0%",13
Leo Borges,Pogoń Szczecin,"22,2%",-,"0,0%",10,2,"20,0%",0,-,"0,0%",7
Leonardo Koutris,Pogoń Szczecin,"28,6%","0,0%",-,10,2,"20,0%",2,"5,00","20,0%",16
Ben Lederman,Raków Częstochowa,"22,2%","0,0%",-,11,2,"18,2%",0,-,"0,0%",15
Paweł Stolarski,Pogoń Szczecin,"0,0%","20,0%",-,11,2,"18,2%",0,-,"0,0%",7
Mateusz Żyro,Widzew Łódź,"50,0%","0,0%","25,0%",11,2,"18,2%",0,-,"0,0%",4
Marius Briceag,Korona Kielce,"20,0%","0,0%",-,11,2,"18,2%",0,-,"0,0%",21
Dominick Zator,Korona Kielce,"25,0%","0,0%","33,3%",11,2,"18,2%",1,"11,00","9,1%",17
Karol Danielak,Widzew Łódź,-,"10,0%","50,0%",12,2,"16,7%",1,"12,00","8,3%",14
Konrad Matuszewski,Warta Poznań,"14,3%","0,0%","100,0%",12,2,"16,7%",0,-,"0,0%",32
Makana Baku,Legia Warszawa,"0,0%","16,7%",-,13,2,"15,4%",0,-,"0,0%",19
Conrado,Lechia Gdańsk,"12,5%","0,0%","33,3%",13,2,"15,4%",0,-,"0,0%",19
Ariel Mosór,Piast Gliwice,"0,0%","16,7%","16,7%",13,2,"15,4%",0,-,"0,0%",10
Giannis Papanikolaou,Raków Częstochowa,-,"20,0%","0,0%",14,2,"14,3%",1,"14,00","7,1%",16
Hubert Matynia,Miedź Legnica,"15,4%",-,"0,0%",14,2,"14,3%",0,-,"0,0%",17
Adrian Danek,Korona Kielce,-,"20,0%","0,0%",15,2,"13,3%",0,-,"0,0%",8
Martin Sulek,Wisła Płock,"25,0%","9,1%","0,0%",16,2,"12,5%",0,-,"0,0%",6
Piotr Tomasik,Wisła Płock,"15,4%","0,0%",-,16,2,"12,5%",0,-,"0,0%",23
Mateusz Cholewiak,Górnik Zabrze,"7,1%","33,3%",-,17,2,"11,8%",0,-,"0,0%",5
Jean Mvondo,Górnik Zabrze,-,"11,8%",-,17,2,"11,8%",0,-,"0,0%",13
Takuto Oshima,Cracovia,"0,0%","18,2%",-,18,2,"11,1%",1,"18,00","5,6%",22
Maxime Dominguez,Miedź Legnica,"8,7%","0,0%",-,26,2,"7,7%",1,"26,00","3,8%",38
Leandro,Stal Mielec,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",4
Igor Sapała,Raków Częstochowa,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",0
Dante Stipica,Pogoń Szczecin,-,-,"100,0%",1,1,"100,0%",0,-,"0,0%",1
Kevin Broll,Górnik Zabrze,-,-,"100,0%",1,1,"100,0%",0,-,"0,0%",1
Adrian Lis A,Warta Poznań,-,-,"100,0%",1,1,"100,0%",0,-,"0,0%",3
Luizao,Radomiak Radom,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",2
Aurelien Nguiamba,Jagiellonia,"100,0%",-,-,1,1,"100,0%",0,-,"0,0%",4
Emmanuel Agbor,Miedź Legnica,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",2
Roberto Corral,Korona Kielce,"0,0%","100,0%",-,2,1,"50,0%",0,-,"0,0%",0
Krystian Kardyś,Stal Mielec,-,"50,0%",-,2,1,"50,0%",0,-,"0,0%",0
Martin Pospisil,Jagiellonia,"0,0%","100,0%",-,2,1,"50,0%",0,-,"0,0%",13
Bogdan Racovitan,Raków Częstochowa,"100,0%",-,"0,0%",2,1,"50,0%",1,"2,00","50,0%",4
Szymon Sarbinowski,Warta Poznań,-,"50,0%",-,2,1,"50,0%",0,-,"0,0%",1
Adrian Bukowski,Śląsk Wrocław,"100,0%","0,0%",-,2,1,"50,0%",0,-,"0,0%",2
Michał Kaput,Piast Gliwice,"0,0%","100,0%",-,2,1,"50,0%",0,-,"0,0%",4
Karol Borys,Śląsk Wrocław,"50,0%",-,-,2,1,"50,0%",0,-,"0,0%",4
Miłosz Matysik,Jagiellonia,-,"0,0%","100,0%",2,1,"50,0%",0,-,"0,0%",3
Luis Mata,Pogoń/Zagłębie,"0,0%","100,0%",-,3,1,"33,3%",0,-,"0,0%",9
Maciej Śliwa,Miedź Legnica,-,"50,0%","0,0%",3,1,"33,3%",1,"3,00","33,3%",2
Kacper Smoliński,Pogoń Szczecin,"50,0%","0,0%",-,3,1,"33,3%",1,"3,00","33,3%",1
Luka Zarandia,Korona Kielce,"33,3%",-,-,3,1,"33,3%",0,-,"0,0%",3
Mario Zebić,Korona Kielce,"0,0%","0,0%","100,0%",3,1,"33,3%",0,-,"0,0%",1
Walerian Gwilia,Raków Częstochowa,"0,0%","50,0%",-,3,1,"33,3%",0,-,"0,0%",0
Wojciech Łaski,Jagiellonia,-,"50,0%","0,0%",3,1,"33,3%",1,"3,00","33,3%",5
Amadej Marosa,Górnik Zabrze,"100,0%","0,0%","0,0%",3,1,"33,3%",0,-,"0,0%",0
Tomasz Mokwa,Piast Gliwice,-,"33,3%",-,3,1,"33,3%",0,-,"0,0%",5
Michal Sacek,Jagiellonia,"0,0%","50,0%",-,3,1,"33,3%",0,-,"0,0%",13
Bartłomiej Ciepiela,Stal Mielec,-,"33,3%","0,0%",4,1,"25,0%",1,"4,00","25,0%",7
Cheikhou Dieng,Zagłębie Lubin,"0,0%","33,3%",-,4,1,"25,0%",0,-,"0,0%",5
Sasa Balić,Korona Kielce,-,-,"33,3%",4,1,"25,0%",0,-,"0,0%",2
Mariusz Fornalczyk,Pogoń Szczecin,"0,0%","25,0%",-,5,1,"20,0%",0,-,"0,0%",2
Szymon Kobusiński,Zagłębie Lubin,-,"20,0%",-,5,1,"20,0%",0,-,"0,0%",2
Kamil Pestka,Cracovia,"20,0%",-,-,5,1,"20,0%",0,-,"0,0%",4
Robert Pich,Legia Warszawa,"0,0%","25,0%",-,5,1,"20,0%",0,-,"0,0%",6
Anton Krywociuk,Wisła Płock,-,"0,0%","25,0%",5,1,"20,0%",1,"5,00","20,0%",1
Santiago Naveda,Miedź Legnica,"0,0%","50,0%","0,0%",5,1,"20,0%",1,"5,00","20,0%",2
Łukasz Sierpina,Korona Kielce,"50,0%","0,0%",-,5,1,"20,0%",0,-,"0,0%",2
Francisco Ramos,Radomiak Radom,-,"0,0%","100,0%",5,1,"20,0%",0,-,"0,0%",7
Arttu Hoskonen,Cracovia,"0,0%","0,0%","33,3%",5,1,"20,0%",1,"5,00","20,0%",1
Boris Sekulić,Górnik Zabrze,"33,3%","0,0%",-,5,1,"20,0%",1,"5,00","20,0%",10
Camilo Mena,Jagiellonia,"0,0%","25,0%",-,5,1,"20,0%",0,-,"0,0%",5
Mateusz Bartolewski,Zagłębie Lubin,"0,0%",-,"20,0%",6,1,"16,7%",0,-,"0,0%",2
Carlos Julio Martinez,Miedź Legnica,"0,0%","20,0%",-,6,1,"16,7%",0,-,"0,0%",8
Paweł Żyra,Stal Mielec,"25,0%","0,0%",-,6,1,"16,7%",1,"6,00","16,7%",5
Christos Donis,Radomiak Radom,"100,0%","0,0%",-,6,1,"16,7%",0,-,"0,0%",2
Gustav Berggren,Raków Częstochowa,"0,0%","25,0%",-,7,1,"14,3%",1,"7,00","14,3%",6
Jeronimo Cacciabue,Miedź Legnica,"0,0%","16,7%",-,7,1,"14,3%",0,-,"0,0%",4
Lindsay Rose,Legia Warszawa,"0,0%","25,0%",-,7,1,"14,3%",1,"7,00","14,3%",1
Kamil Zapolnik,Miedź Legnica,-,"0,0%","25,0%",7,1,"14,3%",0,-,"0,0%",4
Maciej Wolski,Stal Mielec,"100,0%","0,0%",-,7,1,"14,3%",0,-,"0,0%",5
Alex Vallejo,Stal Mielec,"0,0%","16,7%",-,7,1,"14,3%",0,-,"0,0%",3
Kostas Triantafyllopoulos,Pogoń Szczecin,-,"0,0%","16,7%",8,1,"12,5%",0,-,"0,0%",4
Jakub Rzeźniczak,Wisła Płock,"0,0%","0,0%","33,3%",8,1,"12,5%",0,-,"0,0%",5
Artur Jędrzejczyk,Legia Warszawa,"0,0%","0,0%","25,0%",9,1,"11,1%",0,-,"0,0%",7
Patryk Stępiński,Widzew Łódź,"100,0%","0,0%","0,0%",9,1,"11,1%",0,-,"0,0%",24
Martin Konczkowski,Śląsk Wrocław,"0,0%","0,0%","33,3%",9,1,"11,1%",0,-,"0,0%",16
Paweł Jaroszyński,Cracovia,"14,3%","0,0%","0,0%",9,1,"11,1%",0,-,"0,0%",15
Bartłomiej Kłudka,Zagłębie Lubin,"100,0%","0,0%","0,0%",9,1,"11,1%",0,-,"0,0%",17
Serafin Szota,Widzew Łódź,-,"0,0%","33,3%",9,1,"11,1%",0,-,"0,0%",10
Dimityr Wełkowski,Miedź Legnica,"14,3%","0,0%",-,9,1,"11,1%",0,-,"0,0%",23
Aleksander Pawlak,Wisła Płock,"0,0%","11,1%",-,10,1,"10,0%",1,"10,00","10,0%",15
Yuri Ribeiro,Legia Warszawa,"0,0%","0,0%","25,0%",10,1,"10,0%",1,"10,00","10,0%",10
Dominik Piła,Lechia Gdańsk,"0,0%","0,0%","100,0%",10,1,"10,0%",0,-,"0,0%",4
Levent Gulen,Miedź Legnica,"0,0%","0,0%","25,0%",10,1,"10,0%",0,-,"0,0%",7
Guram Giorbelidze,Zagłębie Lubin,"12,5%","0,0%",-,12,1,"8,3%",0,-,"0,0%",11
Linus Wahlqvist,Pogoń Szczecin,"0,0%","20,0%","0,0%",12,1,"8,3%",0,-,"0,0%",11
Mateusz Kupczak,Warta Poznań,"0,0%","25,0%","0,0%",14,1,"7,1%",0,-,"0,0%",11
Bojan Nastić,Jagiellonia,"20,0%","0,0%","0,0%",14,1,"7,1%",0,-,"0,0%",17
Łukasz Zjawiński,Widzew Łódź,"0,0%","0,0%","12,5%",14,1,"7,1%",0,-,"0,0%",5
Kacper Bieszczad,Zagłębie Lubin,-,-,-,0,0,-,0,-,-,1
Jon Aurtenetxe,Miedź Legnica,-,-,-,0,0,-,0,-,-,2
Bogdan Vastsuk,Stal Mielec,-,-,-,0,0,-,0,-,-,1
Vladan Kovacević,Raków Częstochowa,-,-,-,0,0,-,0,-,-,1
Jakub Nowakowski,Radomiak Radom,-,-,-,0,0,-,0,-,-,2
Kacper Tobiasz,Legia Warszawa,-,-,-,0,0,-,0,-,-,1
Gabriel Kobylak,Radomiak Radom,-,-,-,0,0,-,0,-,-,1
Daniel Szelągowski,Raków Częstochowa,-,-,-,0,0,-,0,-,-,1
Miroslav Gono,Wisła Płock,-,-,-,0,0,-,0,-,-,2
Bartosz Mrozek,Stal Mielec,-,-,-,0,0,-,0,-,-,1
Michał Stachera,Cracovia,-,-,-,0,0,-,0,-,-,1
Karol Niemczycki,Cracovia,-,-,-,0,0,-,0,-,-,1
Mike Cestor,Radomiak Radom,-,-,-,0,0,-,0,-,-,7
Rafał Leszczyński,Śląsk Wrocław,-,-,-,0,0,-,0,-,-,2
Filip Koperski,Lechia Gdańsk,-,-,-,0,0,-,0,-,-,1
Jakub Żubrowski,Zagłębie Lubin,-,-,-,0,0,-,0,-,-,2
Dusan Stojinović,Jagiellonia,-,-,-,0,0,-,0,-,-,2
Henrik Castegren,Lechia Gdańsk,-,-,-,0,0,-,0,-,-,2
Dusan Kuciak,Lechia Gdańsk,-,-,-,0,0,-,0,-,-,1
Mateusz Stawny,Śląsk Wrocław,-,-,-,0,0,-,0,-,-,1
Tobiasz Kubik,Raków Częstochowa,-,-,-,0,0,-,0,-,-,1
Wiktor Kamiński,Warta Poznań,-,-,-,0,0,-,0,-,-,1
Jurgen Celhaka,Legia Warszawa,-,-,-,0,0,-,0,-,-,1
Michał Gurgul,Lech Poznań,-,-,-,0,0,-,0,-,-,1
Alex Sobczyk,Piast Gliwice,-,-,-,0,0,-,0,-,-,2
Igor Drapiński,Wisła Płock,-,-,-,0,0,-,0,-,-,1
Lukas Hrosso,Cracovia,-,-,-,0,0,-,0,-,-,1
Filip Rózga,Cracovia,-,-,-,0,0,-,0,-,-,1
Ihor Charatin,Legia Warszawa,"0,0%","0,0%","0,0%",4,0,"0,0%",0,-,"0,0%",0
Mateusz Cichocki,Radomiak Radom,-,"0,0%","0,0%",5,0,"0,0%",0,-,"0,0%",4
Christian Clemens,Lechia Gdańsk,"0,0%","0,0%",-,6,0,"0,0%",0,-,"0,0%",9
Wiktor Długosz,Raków Częstochowa,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",5
Tom Hateley,Piast Gliwice,"0,0%","0,0%",-,3,0,"0,0%",0,-,"0,0%",18
Tomas Huk,Piast Gliwice,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",0
Javier Ajenjo Hyjek,Śląsk Wrocław,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",1
Michał Jakóbowski,Warta Poznań,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",1
Patryk Janasik,Śląsk Wrocław,"0,0%","0,0%","0,0%",9,0,"0,0%",0,-,"0,0%",10
Daniel Łukasik,Radomiak Radom,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",2
Przemysław Maj,Stal Mielec,-,"0,0%",-,3,0,"0,0%",0,-,"0,0%",1
Mariusz Malec,Pogoń Szczecin,"0,0%","0,0%","0,0%",8,0,"0,0%",0,-,"0,0%",2
Alasana Manneh,Górnik Zabrze,"0,0%",-,-,2,0,"0,0%",0,-,"0,0%",3
Damian Michalski,Wisła Płock,"0,0%",-,"0,0%",3,0,"0,0%",0,-,"0,0%",3
Michał Mokrzycki,Wisła Płock,"0,0%","0,0%",-,2,0,"0,0%",0,-,"0,0%",2
Jayson Papeau,Warta Poznań,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Maksymilian Pingot,Lech Poznań,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",2
Michał Rzuchowski,Śląsk Wrocław,"0,0%","0,0%","0,0%",5,0,"0,0%",0,-,"0,0%",7
Oskar Sewerzyński,Korona Kielce,"0,0%",-,-,3,0,"0,0%",0,-,"0,0%",8
Dominik Sokół,Radomiak Radom,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",1
Patryk Sokołowski,Legia Warszawa,-,"0,0%",-,6,0,"0,0%",0,-,"0,0%",6
Fabio Sturgeon,Raków Częstochowa,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",1
Marcin Szpakowski,Korona Kielce,"0,0%","0,0%",-,7,0,"0,0%",0,-,"0,0%",10
Grzegorz Szymusik,Korona Kielce,-,"0,0%","0,0%",3,0,"0,0%",0,-,"0,0%",0
Bogdan Tiru,Jagiellonia,-,"0,0%","0,0%",2,0,"0,0%",0,-,"0,0%",8
Oliwier Wojciechowski,Jagiellonia,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",1
Dominykas Barauskas,Stal Mielec,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Bozidar Czorbadżijski,Widzew Łódź,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",0
Szymon Czyż,Raków Częstochowa,-,"0,0%",-,4,0,"0,0%",0,-,"0,0%",5
Mehdi Lehaire,Miedź Legnica,"0,0%","0,0%",-,4,0,"0,0%",0,-,"0,0%",1
Dariusz Stalmach,Górnik Zabrze,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Krzysztof Kolanko,Górnik Zabrze,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Joeri de Kamps,Lechia Gdańsk,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",3
Konrad Forenc,Korona Kielce,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",0
Jakub Holubek,Piast Gliwice,"0,0%",-,-,2,0,"0,0%",0,-,"0,0%",4
Robin Kamber,Górnik Zabrze,-,"0,0%","0,0%",2,0,"0,0%",0,-,"0,0%",1
Tiago Matos,Radomiak Radom,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
David Poreba,Stal Mielec,-,"0,0%",-,3,0,"0,0%",0,-,"0,0%",1
Diogo Verdasca,Śląsk Wrocław,-,"0,0%","0,0%",3,0,"0,0%",0,-,"0,0%",10
Blaz Vrhovec,Górnik Zabrze,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",7
Filip Dagerstal,Lech Poznań,-,"0,0%","0,0%",4,0,"0,0%",0,-,"0,0%",6
Rafał Kurzawa,Pogoń Szczecin,"0,0%","0,0%",-,8,0,"0,0%",0,-,"0,0%",23
Jurich Carolina,Miedź Legnica,"0,0%","0,0%",-,5,0,"0,0%",0,-,"0,0%",7
Janusz Nojszewski,Korona Kielce,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",2
Pedro Justiniano,Radomiak Radom,-,"0,0%","0,0%",3,0,"0,0%",0,-,"0,0%",1
Kryspin Szcześniak,Górnik Zabrze,-,-,"0,0%",2,0,"0,0%",0,-,"0,0%",0
Filip Kocaba,Zagłębie Lubin,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",0
Mateusz Żukowski,Lech Poznań,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",0
Adam Chrzanowski,Wisła Płock,"0,0%",-,"0,0%",5,0,"0,0%",0,-,"0,0%",1
Paweł Chrupałła,Wisła Płock,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",1
Kacper Jodłowski,Cracovia,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",0
Kacper Śmiglewski,Cracovia,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",1
Jean Franco Sarmiento,Radomiak Radom,-,"0,0%","0,0%",10,0,"0,0%",0,-,"0,0%",4
Danijel Loncar,Pogoń Szczecin,-,-,"0,0%",2,0,"0,0%",0,-,"0,0%",1
Miguel Munoz,Piast Gliwice,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",0
Damian Tront,Miedź Legnica,-,"0,0%",-,3,0,"0,0%",0,-,"0,0%",3
Szczepan Mucha,Piast Gliwice,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",0
Wiktor Pleśnierowicz,Warta Poznań,-,"0,0%","0,0%",4,0,"0,0%",0,-,"0,0%",0
Marcin Garuch,Miedź Legnica,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Jakub Paszkowski,Warta Poznań,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",0
Radosław Cielemęcki,Wisła Płock,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",1
