ZAWODNIK,KLUB,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Giorgi Merebaszwili,Wisła Płock,5,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0
Marcin Warcholak,Arka Gdynia,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Vinicius,Arka Gdynia,4,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0
Mateusz Szwoch,Arka Gdynia,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Rafał Siemaszko,Arka Gdynia,4,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0
Tadeusz Socha,Arka Gdynia,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Bartosz Szeliga,Bruk-Bet,4,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0
Kamil Słaby,Bruk-Bet,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
Matic Fink,Cracovia,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Sergei Zenjov,Cracovia,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Adrian Gryszkiewicz,Górnik Zabrze,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
Igor Angulo,Górnik Zabrze,4,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0
Maciej Ambrosiewicz,Górnik Zabrze,4,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0
Rafał Kurzawa,Górnik Zabrze,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Guilherme Sitya,Jagiellonia,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Guti,Jagiellonia,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Roman Bezjak,Jagiellonia,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Jacek Kiełb,Korona Kielce,4,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0
Nika Kaczarawa,Korona Kielce,4,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
Oliver Petrak,Korona Kielce,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Lasse Nielsen,Lech Poznań,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
Błażej Augustyn,Lechia Gdańsk,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Dusan Kuciak,Lechia Gdańsk,4,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0
Rafał Wolski,Lechia Gdańsk,4,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0
Tomasz Jodłowiec,Legia/Piast,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
Martin Bukata,Piast Gliwice,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
