ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Jakub Tosik,Zagłębie Lubin,"50,0%","14,3%","0,0%",11,2,"18,2%",1,"11,00","9,1%",5
Mateusz Cetnarski,Sandecja,-,"20,0%",-,10,2,"20,0%",2,"5,00","20,0%",10
Pawło Ksionz,Sandecja,"0,0%","12,5%","100,0%",10,2,"20,0%",0,-,"0,0%",13
Vullnet Basha,Wisła Kraków,"33,3%","16,7%",-,9,2,"22,2%",0,-,"0,0%",1
Radek Dejmek,Korona Kielce,-,-,"22,2%",9,2,"22,2%",1,"9,00","11,1%",1
Oliver Petrak,Korona Kielce,"25,0%","20,0%",-,9,2,"22,2%",0,-,"0,0%",0
Antonini Culina,Cracovia,"40,0%","0,0%",-,9,2,"22,2%",0,-,"0,0%",1
Ivan Gonzalez,Wisła Kraków,-,"50,0%","16,7%",8,2,"25,0%",0,-,"0,0%",4
Ken Kallaste,Korona Kielce,"33,3%","0,0%",-,8,2,"25,0%",1,"8,00","12,5%",30
Elhadji Pape Diaw,Korona Kielce,"0,0%",-,"40,0%",7,2,"28,6%",1,"7,00","14,3%",3
Oskar Zawada,Wisła Płock,"100,0%","0,0%","0,0%",7,2,"28,6%",0,-,"0,0%",3
Zdenek Ondrasek,Wisła Kraków,"50,0%",-,"0,0%",6,2,"33,3%",0,-,"0,0%",3
Błażej Augustyn,Lechia Gdańsk,-,"20,0%","100,0%",6,2,"33,3%",2,"3,00","33,3%",4
Steven Vitoria,Lechia Gdańsk,-,"0,0%","40,0%",6,2,"33,3%",1,"6,00","16,7%",4
Matic Fink,Cracovia,"20,0%","100,0%",-,6,2,"33,3%",2,"3,00","33,3%",8
Daniel Łukasik,Lechia Gdańsk,-,"50,0%","0,0%",5,2,"40,0%",0,-,"0,0%",9
Paweł Bochniewicz,Górnik Zabrze,-,"0,0%","50,0%",5,2,"40,0%",1,"5,00","20,0%",6
Alexandru Benga,Sandecja,-,"25,0%","100,0%",5,2,"40,0%",0,-,"0,0%",1
Victor Perez,Wisła Kraków,"0,0%","100,0%",-,4,2,"50,0%",1,"4,00","25,0%",5
Antoni Łukasiewicz,Arka Gdynia,-,"0,0%","66,7%",4,2,"50,0%",1,"4,00","25,0%",1
Diego Ferraresso,Cracovia,-,"50,0%",-,4,2,"50,0%",0,-,"0,0%",4
Gabriel Matei,Bruk-Bet,"100,0%","33,3%",-,4,2,"50,0%",0,-,"0,0%",4
Łukasz Moneta,Zagłębie Lubin,"33,3%","100,0%",-,4,2,"50,0%",0,-,"0,0%",1
Maciej Korzym,Sandecja,"50,0%",-,"100,0%",3,2,"66,7%",0,-,"0,0%",2
Martin Nespor,Zagłębie Lubin,"100,0%","0,0%","100,0%",3,2,"66,7%",2,"1,50","66,7%",1
Rafał Wolsztyński,Górnik Zabrze,"100,0%","0,0%","100,0%",3,2,"66,7%",2,"1,50","66,7%",2
Hildeberto Pereira,Legia Warszawa,-,"66,7%",-,3,2,"66,7%",0,-,"0,0%",0
Adam Danch,Arka Gdynia,-,-,"100,0%",2,2,"100,0%",0,-,"0,0%",0
Marcus Vinicius,Arka Gdynia,"0,0%","7,7%",-,15,1,"6,7%",0,-,"0,0%",7
Joao Nunes,Lechia Gdańsk,-,"14,3%","0,0%",13,1,"7,7%",0,-,"0,0%",6
Szymon Drewniak,Cracovia,"0,0%","10,0%",-,12,1,"8,3%",0,-,"0,0%",38
Łukasz Broź,Legia Warszawa,"0,0%","12,5%",-,11,1,"9,1%",1,"11,00","9,1%",6
Dorde Cotra,Śląsk Wrocław,"12,5%","0,0%","0,0%",11,1,"9,1%",0,-,"0,0%",19
Arkadiusz Głowacki,Wisła Kraków,-,"33,3%","0,0%",10,1,"10,0%",0,-,"0,0%",6
Michał Mak,Śląsk Wrocław,-,"11,1%","0,0%",10,1,"10,0%",1,"10,00","10,0%",6
Marcin Pietrowski,Piast Gliwice,-,"10,0%",-,10,1,"10,0%",0,-,"0,0%",18
Eduardo,Legia Warszawa,"16,7%",-,"0,0%",10,1,"10,0%",0,-,"0,0%",6
Łukasz Janoszka,Zagłębie Lubin,"14,3%","0,0%","0,0%",9,1,"11,1%",0,-,"0,0%",13
Mateusz Lewandowski,Lechia/Śląsk,"16,7%","0,0%",-,9,1,"11,1%",0,-,"0,0%",9
Paweł Żyra,Zagłębie Lubin,"0,0%","16,7%",-,9,1,"11,1%",0,-,"0,0%",9
Łukasz Burliga,jagiellonia,"0,0%","14,3%",-,8,1,"12,5%",1,"8,00","12,5%",38
Hebert,Piast Gliwice,"0,0%",-,"16,7%",8,1,"12,5%",0,-,"0,0%",2
Adam Wolniewicz,Górnik Zabrze,"0,0%","0,0%","50,0%",8,1,"12,5%",0,-,"0,0%",11
Dragoljub Srnić,Śląsk Wrocław,"100,0%","0,0%",-,8,1,"12,5%",0,-,"0,0%",4
Piotr Tomasik,Jagiellonia/Lech,"0,0%","50,0%",-,8,1,"12,5%",0,-,"0,0%",14
Hubert Matynia,Pogoń Szczecin,"12,5%",-,-,8,1,"12,5%",0,-,"0,0%",14
Domagoj Antolić,Legia Warszawa,"20,0%","0,0%",-,8,1,"12,5%",1,"8,00","12,5%",11
Adam Hlousek,Legia Warszawa,"16,7%",-,"0,0%",7,1,"14,3%",0,-,"0,0%",25
Adrian Basta,Sandecja,"50,0%","0,0%",-,7,1,"14,3%",0,-,"0,0%",6
Dawid Szufryn,Sandecja,"0,0%",-,"16,7%",7,1,"14,3%",0,-,"0,0%",0
Frederik Helstrup,Arka Gdynia,"0,0%","0,0%","25,0%",7,1,"14,3%",0,-,"0,0%",5
Nikola Mitrović,Wisła Kraków,"0,0%","16,7%",-,7,1,"14,3%",0,-,"0,0%",19
Grzegorz Kuświk,Lechia Gdańsk,-,"16,7%",-,6,1,"16,7%",0,-,"0,0%",5
Mateusz Matras,Lechia Gdańsk,-,"25,0%","0,0%",6,1,"16,7%",1,"6,00","16,7%",3
Kamil Pestka,Cracovia,"20,0%","0,0%",-,6,1,"16,7%",0,-,"0,0%",14
Dejan Lazarević,Jagiellonia,-,"16,7%",-,6,1,"16,7%",0,-,"0,0%",0
Denis Gojko,Piast Gliwice,"0,0%","25,0%",-,5,1,"20,0%",0,-,"0,0%",2
David Ledecky,Górnik Zabrze,"33,3%","0,0%",-,5,1,"20,0%",0,-,"0,0%",3
Vitalijs Maksimenko,Bruk-Bet,"0,0%","100,0%","0,0%",5,1,"20,0%",1,"5,00","20,0%",5
Michał Nalepa II,Lechia Gdańsk,-,"100,0%","0,0%",5,1,"20,0%",1,"5,00","20,0%",3
Jakub Wawrzyniak,Lechia Gdańsk,"0,0%","100,0%","0,0%",5,1,"20,0%",0,-,"0,0%",10
Ze Manuel,Wisła Kraków,-,"25,0%","0,0%",5,1,"20,0%",0,-,"0,0%",5
Uros Korun,Piast Gliwice,-,"100,0%","0,0%",5,1,"20,0%",0,-,"0,0%",4
Kamil Mazek,Zagłębie Lubin,"100,0%","0,0%",-,5,1,"20,0%",1,"5,00","20,0%",2
Nemanja Mitrović,Jagiellonia,-,"0,0%","33,3%",5,1,"20,0%",1,"5,00","20,0%",1
Filip Mladenović,Lechia Gdańsk,"33,3%","0,0%",-,5,1,"20,0%",0,-,"0,0%",5
Daniel Łuczak,Śląsk Wrocław,"0,0%","33,3%",-,5,1,"20,0%",1,"5,00","20,0%",4
Akos Kecskes,Bruk-Bet,-,-,"25,0%",4,1,"25,0%",0,-,"0,0%",3
Tadeusz Socha,Arka Gdynia,"0,0%","50,0%",-,4,1,"25,0%",0,-,"0,0%",5
Kamil Dankowski,Śląsk Wrocław,-,"25,0%",-,4,1,"25,0%",0,-,"0,0%",3
Dmytro Chomczenowskyj,Jagiellonia,-,"33,3%",-,3,1,"33,3%",0,-,"0,0%",2
Lasse Nielsen,Lech Poznań,-,-,"33,3%",3,1,"33,3%",0,-,"0,0%",2
Sebastian Rudol,Pogoń Szczecin,-,"0,0%","50,0%",3,1,"33,3%",1,"3,00","33,3%",1
Fabian Burdenski,Korona Kielce,-,"33,3%",-,3,1,"33,3%",0,-,"0,0%",1
Dario Rugasević,Piast Gliwice,"33,3%",-,-,3,1,"33,3%",0,-,"0,0%",13
Mato Milos,Lechia Gdańsk,"0,0%","50,0%",-,3,1,"33,3%",0,-,"0,0%",10
Grzegorz Wojtkowiak,Lechia Gdańsk,-,-,"33,3%",3,1,"33,3%",0,-,"0,0%",0
Chris Philipps,Legia Warszawa,-,"33,3%",-,3,1,"33,3%",0,-,"0,0%",3
Sebastian Bergier,Śląsk Wrocław,-,"50,0%","0,0%",3,1,"33,3%",0,-,"0,0%",1
Elvir Koljić,Lech Poznań,"100,0%",-,"0,0%",3,1,"33,3%",0,-,"0,0%",0
Josip Barisić,Piast Gliwice,-,"0,0%",-,2,1,"50,0%",1,"2,00","50,0%",1
Aleksandar Kovacević,Lechia Gdańsk,"100,0%","0,0%",-,2,1,"50,0%",0,-,"0,0%",2
Mikołaj Lebedyński,Wisła Płock,"100,0%",-,"0,0%",2,1,"50,0%",0,-,"0,0%",2
Aleksander Jagiełło,Piast Gliwice,"50,0%",-,-,2,1,"50,0%",0,-,"0,0%",2
Dejan Janjatović,Bruk-Bet,"0,0%","100,0%",-,2,1,"50,0%",0,-,"0,0%",1
Daniel Smuga,Górnik Zabrze,"0,0%","100,0%",-,2,1,"50,0%",0,-,"0,0%",2
Karol Fila,Lechia Gdańsk,-,-,"100,0%",1,1,"100,0%",0,-,"0,0%",0
Paul Parvulescu,Wisła Płock,"100,0%",-,-,1,1,"100,0%",0,-,"0,0%",1
Daniel Chima Chukwu,Legia Warszawa,-,-,"100,0%",1,1,"100,0%",0,-,"0,0%",0
Krzysztof Kiklaisz,Górnik Zabrze,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",0
Nika Kwantaliani,Bruk-Bet,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",0
Dawid Błanik,Pogoń Szczecin,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",0
Sylwester Lusiusz,Cracovia,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",0
Krzysztof Sobieraj,Arka Gdynia,-,-,"100,0%",1,1,"100,0%",0,-,"0,0%",0
Robert Gumny,Lech Poznań,"0,0%","0,0%",-,13,0,"0,0%",0,-,"0,0%",26
Guti,Jagiellonia,"0,0%","0,0%","0,0%",7,0,"0,0%",0,-,"0,0%",3
Inaki Astiz,Legia Warszawa,"0,0%","0,0%","0,0%",7,0,"0,0%",0,-,"0,0%",0
Augusto,Śląsk Wrocław,"0,0%",-,-,5,0,"0,0%",0,-,"0,0%",20
Rafał Janicki,Lech Poznań,-,"0,0%","0,0%",5,0,"0,0%",0,-,"0,0%",3
Michał Pazdan,Legia Warszawa,"0,0%",-,"0,0%",4,0,"0,0%",0,-,"0,0%",2
Deleu,Cracovia,"0,0%","0,0%",-,3,0,"0,0%",0,-,"0,0%",1
Radosław Murawski,Piast Gliwice,-,"0,0%",-,3,0,"0,0%",0,-,"0,0%",1
Mate Cincadze,Pogoń Szczecin,-,"0,0%",-,3,0,"0,0%",0,-,"0,0%",2
Maciej Pałaszewski,Śląsk Wrocław,"0,0%","0,0%",-,3,0,"0,0%",0,-,"0,0%",4
Adrian Łyszczarz,Śląsk Wrocław,-,"0,0%",-,3,0,"0,0%",0,-,"0,0%",0
Jakub Grić,Sandecja,"0,0%","0,0%",-,3,0,"0,0%",0,-,"0,0%",3
Adrian Benedyczak,Pogoń Szczecin,"0,0%","0,0%","0,0%",3,0,"0,0%",0,-,"0,0%",1
Daniel Dziwniel,Zagłębie Lubin,"0,0%",-,"0,0%",2,0,"0,0%",0,-,"0,0%",9
Krystian Miś,Korona Kielce,"0,0%",-,-,2,0,"0,0%",0,-,"0,0%",2
Krystian Peda,Bruk-Bet,"0,0%","0,0%",-,2,0,"0,0%",0,-,"0,0%",2
Abdul Aziz Tetteh,Lech Poznań,-,"0,0%","0,0%",2,0,"0,0%",0,-,"0,0%",6
Michał Żebrakowski,Arka Gdynia,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",0
Filip Jazvić,Arka Gdynia,-,-,"0,0%",2,0,"0,0%",0,-,"0,0%",1
Michał Gałecki,Sandecja,"0,0%","0,0%",-,2,0,"0,0%",0,-,"0,0%",1
Jakub Mrozik,Bruk-Bet,"0,0%",-,-,2,0,"0,0%",0,-,"0,0%",0
Bartłomiej Olszewski,Górnik Zabrze,"0,0%",-,-,2,0,"0,0%",0,-,"0,0%",1
Daniel Liszka,Górnik Zabrze,"0,0%",-,-,2,0,"0,0%",0,-,"0,0%",2
Adrian Gryszkiewicz,Górnik Zabrze,"0,0%",-,-,2,0,"0,0%",0,-,"0,0%",4
Rafał Pietrzak,Zagłębie Lubin,"0,0%",-,-,2,0,"0,0%",0,-,"0,0%",2
Damir Sovsić,Sandecja,"0,0%","0,0%",-,2,0,"0,0%",0,-,"0,0%",8
Daniel Pik,Cracovia,"0,0%","0,0%",-,2,0,"0,0%",0,-,"0,0%",1
Niko Datković,Cracovia,-,-,"0,0%",2,0,"0,0%",0,-,"0,0%",0
Jan Łoś,Arka Gdynia,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",1
Sebastian Kowalczyk,Pogoń Szczecin,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",1
Shawn Barry,Korona Kielce,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",1
Patryk Fryc,Bruk-Bet,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",10
Ziggy Gordon,Jagiellonia,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Erik Grendel,Górnik Zabrze,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Michał Kopczyński,Legia Warszawa,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",3
Lukas Kubań,Sandecja,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",4
Adam Mójta,Piast Gliwice,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",2
Florian Schikowski,Lechia Gdańsk,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",1
Cezary Stefańczyk,Wisła Płock,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",20
Patryk Stępiński,Wisła Płock,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",4
Przemysław Szymiński,Wisła Płock,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",1
Dawid Szymonowicz,Jagiellonia,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Aleksandar Todorovski,Zagłębie Lubin,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",3
Alvaro Rey,Arka Gdynia,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Lennard Sowah,Cracovia,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",4
Martin Kostal,Wisła Kraków,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Łukasz Krakowczyk,Piast Gliwice,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",0
Grzegorz Sandomierski,Cracovia,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",1
Szymon Nowicki,Arka Gdynia,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",0
Przemysław Szarek,Bruk-Bet,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",1
Meik Karwot,Górnik Zabrze,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",1
Gerson,Lechia Gdańsk,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",1
Matej Palcić,Wisła Kraków,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Bartosz Slisz,Zagłębie Lubin,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",2
Mikkel Kirkeskov,Piast Gliwice,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",5
Marko Kolar,Wisła Kraków,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",1
Dani Abalo,Korona Kielce,-,-,-,0,0,-,0,-,-,1
Hubert Adamczyk,Cracovia,-,-,-,0,0,-,0,-,-,1
Mario Maloca,Lechia Gdańsk,-,-,-,0,0,-,0,-,-,1
Sebastian Mila,Lechia Gdańsk,-,-,-,0,0,-,0,-,-,1
Boban Jović,Śląsk Wrocław,-,-,-,0,0,-,0,-,-,1
Zlatan Alomerović,Korona Kielce,-,-,-,0,0,-,0,-,-,2
Michał Buchalik,Wisła Kraków,-,-,-,0,0,-,0,-,-,1
Vernon De Marco,Lech Poznań,-,-,-,0,0,-,0,-,-,2
Jakub Wróbel,Bruk-Bet,-,-,-,0,0,-,0,-,-,1
Michał Gliwa,Sandecja,-,-,-,0,0,-,0,-,-,2
Patryk Paczuk,Pogoń Szczecin,-,-,-,0,0,-,0,-,-,1
Martin Polacek,Zagłębie Lubin,-,-,-,0,0,-,0,-,-,1
Mathieu Scalet,Śląsk Wrocław,-,-,-,0,0,-,0,-,-,1
Sebastian Strózik,Cracovia,-,-,-,0,0,-,0,-,-,2
Mariusz Pawełek,Jagiellonia,-,-,-,0,0,-,0,-,-,1
Tim Rieder,Śląsk Wrocław,-,-,-,0,0,-,0,-,-,2
Jakub Moder,Lech Poznań,-,-,-,0,0,-,0,-,-,1
Dawid Pakulski,Zagłębie Lubin,-,-,-,0,0,-,0,-,-,1
Bodvar Bodvarsson,jagiellonia,-,-,-,0,0,-,0,-,-,4
Wojciech Hajda,Górnik Zabrze,-,-,-,0,0,-,0,-,-,1
Sebastian Walukiewicz,Pogoń Szczecin,-,-,-,0,0,-,0,-,-,1
