ZAWODNIK,KLUB,POZYCJA,MECZE w ESA,GOLE w ESA,gole/mecz,MECZE w KLUBIE,GOLE w KLUBIE,gole/mecz w klubie
Dorde Crnomarković,Zagłębie,Obrońca,43,0,"0,000",9,0,"0,000"
Dominik Jończy,Zagłębie,Obrońca,19,0,"0,000",19,0,"0,000"
Kamil Kruk,Zagłębie,Obrońca,14,2,"0,143",14,2,"0,143"
Damian Oko,Zagłębie,Obrońca,38,1,"0,026",38,1,"0,026"
Milan Posmyk,Zagłębie,Obrońca,1,0,"0,000",1,0,"0,000"
Lorenco Simić,Zagłębie,Obrońca,17,4,"0,235",17,4,"0,235"
Jakub Wójcicki,Zagłębie,Obrońca,222,7,"0,032",11,0,"0,000"
Jewgienij Baszkirow,Zagłębie,Pomocnik,37,3,"0,081",37,3,"0,081"
Jakub Bednarczyk,Zagłębie,Pomocnik,8,0,"0,000",8,0,"0,000"
Dejan Drazić,Zagłębie,Pomocnik,32,3,"0,094",32,3,"0,094"
Łukasz Łakomy,Zagłębie,Pomocnik,8,0,"0,000",8,0,"0,000"
Łukasz Poręba,Zagłębie,Pomocnik,59,3,"0,051",59,3,"0,051"
Adam Ratajczyk,Zagłębie,Pomocnik,32,1,"0,031",14,0,"0,000"
Filip Starzyński,Zagłębie,Pomocnik,262,65,"0,248",161,44,"0,273"
Miroslav Stoch,Zagłębie,Pomocnik,8,0,"0,000",8,0,"0,000"
Jakub Sypek,Zagłębie,Pomocnik,3,0,"0,000",3,0,"0,000"
Sasa Zivec,Zagłębie,Pomocnik,146,24,"0,164",44,9,"0,205"
Jakub Żubrowski,Zagłębie,Pomocnik,128,2,"0,016",27,0,"0,000"
Samuel Mraz,Zagłębie,Napastnik,27,2,"0,074",27,2,"0,074"
Karol Podliński,Zagłębie,Napastnik,12,2,"0,167",12,2,"0,167"
Patryk Szysz,Zagłębie,Napastnik,67,12,"0,179",67,12,"0,179"
