ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Mateusz Bartolewski,Zagłębie Lubin,"0,0%",-,"66,7%",5,2,"40,0%",0,-,"0,0%",4
Zoran Arsenić,Jagiellonia/Raków,"0,0%","33,3%","100,0%",5,2,"40,0%",1,"5,00","20,0%",2
Bartosz Jaroch,Podbeskidzie,-,"50,0%","0,0%",5,2,"40,0%",0,-,"0,0%",2
Piotr Samiec-Talar,Śląsk Wrocław,"0,0%","100,0%","50,0%",5,2,"40,0%",0,-,"0,0%",2
Michał Koj,Górnik Zabrze,"33,3%",-,"50,0%",5,2,"40,0%",1,"5,00","20,0%",0
Joseph Ceesay,Lechia Gdańsk,-,"33,3%",-,6,2,"33,3%",1,"6,00","16,7%",9
Maciej Rosołek,Legia Warszawa,-,"25,0%","50,0%",6,2,"33,3%",0,-,"0,0%",5
Michał Karbownik,Legia Warszawa,"50,0%","25,0%",-,6,2,"33,3%",0,-,"0,0%",4
Filip Szymczak,Lech Poznań,"50,0%","33,3%","0,0%",6,2,"33,3%",0,-,"0,0%",4
Filip Bainović,Górnik Zabrze,-,"33,3%",-,6,2,"33,3%",0,-,"0,0%",3
Aleksander Komor,Podbeskidzie,-,"0,0%","40,0%",6,2,"33,3%",1,"6,00","16,7%",2
Jakub Wróbel,Stal Mielec,"33,3%","0,0%","100,0%",6,2,"33,3%",0,-,"0,0%",2
Aleksander Paluszek,Górnik Zabrze,-,"100,0%","20,0%",6,2,"33,3%",0,-,"0,0%",2
Rafał Makowski,Śląsk Wrocław,"0,0%","50,0%",-,6,2,"33,3%",0,-,"0,0%",2
Damjan Bohar,Zagłębie Lubin,-,"16,7%","100,0%",7,2,"28,6%",1,"7,00","14,3%",6
Bozidar Czorbadzijski,Stal Mielec,-,"33,3%","25,0%",7,2,"28,6%",0,-,"0,0%",2
Israel Puerto,Śląsk Wrocław,-,"0,0%","33,3%",8,2,"25,0%",1,"8,00","12,5%",7
Mariusz Malec,Pogoń Szczecin,"0,0%","0,0%","66,7%",8,2,"25,0%",0,-,"0,0%",4
Thomas Rogne,Lech Poznań,-,-,"25,0%",8,2,"25,0%",2,"4,00","25,0%",3
Ivan Marquez,Cracovia,-,"33,3%","20,0%",8,2,"25,0%",0,-,"0,0%",1
Paweł Stolarski,Legia Warszawa,"33,3%","20,0%",-,8,2,"25,0%",0,-,"0,0%",1
Damian Zbozień,Wisła Płock,"0,0%","33,3%","25,0%",9,2,"22,2%",0,-,"0,0%",9
Lubomir Guldan,Zagłębie Lubin,-,"0,0%","50,0%",9,2,"22,2%",2,"4,50","22,2%",2
Adi Mehremić,Wisła Kraków,"0,0%",-,"28,6%",10,2,"20,0%",1,"10,00","10,0%",4
Adrian Gryszkiewicz,Górnik Zabrze,"0,0%","0,0%","33,3%",10,2,"20,0%",0,-,"0,0%",3
Piotr Parzyszek,Piast Gliwice,"0,0%","0,0%","40,0%",10,2,"20,0%",0,-,"0,0%",2
Rafał Pietrzak,Lechia Gdańsk,"18,2%","0,0%",-,13,2,"15,4%",1,"13,00","7,7%",48
Jesper Karlstrom,Lech Poznań,"0,0%","20,0%","0,0%",13,2,"15,4%",0,-,"0,0%",10
Milan Dimun,Cracovia,"0,0%","18,2%",-,15,2,"13,3%",0,-,"0,0%",11
Marcel Zylla,Śląsk Wrocław,"0,0%","20,0%","0,0%",15,2,"13,3%",1,"15,00","6,7%",6
Jakub Kuzdra,Warta Poznań,"100,0%","6,7%",-,16,2,"12,5%",1,"16,00","6,3%",8
Filip Modelski,Podbeskidzie,"0,0%","14,3%","0,0%",16,2,"12,5%",0,-,"0,0%",6
Nikola Kuveljić,Wisła Kraków,"14,3%","0,0%","0,0%",16,2,"12,5%",0,-,"0,0%",3
Paweł Bochniewicz,Górnik Zabrze,-,-,"100,0%",1,1,"100,0%",1,"1,00","100,0%",0
Wojciech Hajda,Górnik Zabrze,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",0
Sebastian Musiolik,Raków Częstochowa,"100,0%",-,-,1,1,"100,0%",0,-,"0,0%",0
Marcin Szpakowski,Śląsk Wrocław,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",0
Bartłomiej Kręcichwost,Podbeskidzie,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",0
Konrad Poprawa,Śląsk Wrocław,-,-,"100,0%",1,1,"100,0%",1,"1,00","100,0%",0
Mikkel Kirkeskov,Piast Gliwice,"100,0%","0,0%",-,2,1,"50,0%",0,-,"0,0%",9
Jakub Wójcicki,Zagłębie Lubin,-,"100,0%","0,0%",2,1,"50,0%",0,-,"0,0%",5
Gracjan Jaroch,Warta Poznań,"0,0%","100,0%",-,2,1,"50,0%",0,-,"0,0%",3
Piotr Malinowski,Raków Częstochowa,-,"50,0%",-,2,1,"50,0%",0,-,"0,0%",3
Paweł Cibicki,Pogoń Szczecin,-,"50,0%",-,2,1,"50,0%",0,-,"0,0%",2
Łukasz Bejger,Śląsk Wrocław,-,"0,0%","100,0%",2,1,"50,0%",0,-,"0,0%",2
Karlo Muhar,Lech Poznań,-,"50,0%",-,2,1,"50,0%",0,-,"0,0%",1
Mariusz Fornalczyk,Pogoń Szczecin,-,"50,0%",-,2,1,"50,0%",0,-,"0,0%",1
Mateusz Cholewiak,Legia Warszawa,"50,0%",-,-,2,1,"50,0%",0,-,"0,0%",1
Uros Radaković,Wisła Kraków,-,-,"50,0%",2,1,"50,0%",1,"2,00","50,0%",1
Luka Susnjara,Wisła Płock,-,"100,0%","0,0%",2,1,"50,0%",1,"2,00","50,0%",0
Norbert Wojtuszek,Górnik Zabrze,-,"33,3%",-,3,1,"33,3%",0,-,"0,0%",7
Kamil Kościelny,Stal Mielec,"100,0%",-,"0,0%",3,1,"33,3%",0,-,"0,0%",6
Kristian Vallo,Wisła Płock,"0,0%","100,0%",-,3,1,"33,3%",0,-,"0,0%",5
Fernan Ferreiroa,Jagiellonia,-,"33,3%",-,3,1,"33,3%",0,-,"0,0%",4
Hubert Adamczyk,Wisła Płock,"0,0%","50,0%",-,3,1,"33,3%",0,-,"0,0%",3
Vullnet Basha,Wisła Kraków,-,"33,3%",-,3,1,"33,3%",0,-,"0,0%",2
Wojciech Golla,Śląsk Wrocław,-,"0,0%","50,0%",3,1,"33,3%",1,"3,00","33,3%",2
Artem Szabanow,Legia Warszawa,"33,3%",-,-,3,1,"33,3%",0,-,"0,0%",2
Maciej Bortniczuk,Jagiellonia,-,"50,0%","0,0%",3,1,"33,3%",0,-,"0,0%",1
Martin Konczkowski,Piast Gliwice,"50,0%","0,0%",-,4,1,"25,0%",0,-,"0,0%",32
Bartosz Rymaniak,Piast Gliwice,"50,0%","0,0%","0,0%",4,1,"25,0%",0,-,"0,0%",8
Benedikt Zech,Pogoń Szczecin,-,"33,3%","0,0%",4,1,"25,0%",0,-,"0,0%",5
David Niepsuj,Wisła Kraków,"100,0%","0,0%",-,4,1,"25,0%",1,"4,00","25,0%",4
Szymon Lewkot,Śląsk Wrocław,-,"33,3%","0,0%",4,1,"25,0%",0,-,"0,0%",3
William Remy,Legia Warszawa,-,-,"25,0%",4,1,"25,0%",0,-,"0,0%",2
Kristers Tobers,Lechia Gdańsk,-,"0,0%","33,3%",4,1,"25,0%",0,-,"0,0%",1
Damian Oko,Zagłębie Lubin,"0,0%","0,0%","50,0%",4,1,"25,0%",1,"4,00","25,0%",1
David Jablonsky,Cracovia,"100,0%","0,0%","0,0%",4,1,"25,0%",1,"4,00","25,0%",0
Mario Maloca,Lechia Gdańsk,-,"0,0%","50,0%",4,1,"25,0%",1,"4,00","25,0%",0
Ivan Runje,Jagiellonia,-,-,"25,0%",4,1,"25,0%",0,-,"0,0%",0
Mark Tamas,Śląsk Wrocław,"0,0%",-,"25,0%",5,1,"20,0%",0,-,"0,0%",4
Maciej Wilusz,Raków Częstochowa,"33,3%",-,"0,0%",5,1,"20,0%",0,-,"0,0%",2
Alan Czerwiński,Lech Poznań,"0,0%","25,0%",-,6,1,"16,7%",0,-,"0,0%",29
Milan Rundić,Podbeskidzie,"25,0%","0,0%","0,0%",6,1,"16,7%",1,"6,00","16,7%",4
Joel Valencia,Legia Warszawa,"0,0%","25,0%",-,6,1,"16,7%",0,-,"0,0%",2
Dominik Jończy,Zagłębie Lubin,"0,0%","0,0%","33,3%",6,1,"16,7%",0,-,"0,0%",1
Hubert Matynia,Pogoń Szczecin,"20,0%","0,0%",-,7,1,"14,3%",0,-,"0,0%",13
Dariusz Pawłowski,Górnik Zabrze,"33,3%","0,0%","0,0%",7,1,"14,3%",0,-,"0,0%",4
Matej Rodin,Cracovia,-,"0,0%","20,0%",7,1,"14,3%",0,-,"0,0%",3
David Mawutor,Wisła Kraków,"0,0%","20,0%",-,7,1,"14,3%",0,-,"0,0%",3
Daniel Pik,Cracovia,"0,0%","20,0%","0,0%",7,1,"14,3%",0,-,"0,0%",2
Filip Laskowski,Podbeskidzie,"0,0%","0,0%","50,0%",7,1,"14,3%",0,-,"0,0%",0
Wasyl Kraweć,Lech Poznań,"14,3%",-,"0,0%",8,1,"12,5%",0,-,"0,0%",8
Santeri Hostikka,Pogoń Szczecin,-,"12,5%",-,8,1,"12,5%",0,-,"0,0%",7
Błażej Augustyn,Jagiellonia,-,"0,0%","33,3%",8,1,"12,5%",0,-,"0,0%",4
Mateusz Żukowski,Lechia Gdańsk,"0,0%","25,0%","0,0%",8,1,"12,5%",0,-,"0,0%",1
Piotr Pyrdoł,Wisła Płock,-,"0,0%","50,0%",9,1,"11,1%",0,-,"0,0%",3
Luis Rocha,Legia Warszawa,"11,1%",-,-,9,1,"11,1%",0,-,"0,0%",3
Marko Poletanović,Raków Częstochowa,"0,0%","14,3%",-,10,1,"10,0%",0,-,"0,0%",24
Miroslav Stoch,Zagłębie Lubin,"0,0%","11,1%",-,10,1,"10,0%",0,-,"0,0%",7
Dominik Frelek,Podbeskidzie,"0,0%","12,5%","0,0%",10,1,"10,0%",0,-,"0,0%",4
Marco Tulio,Podbeskidzie,"11,1%",-,"0,0%",10,1,"10,0%",0,-,"0,0%",4
Bartosz Kwiecień,Jagiellonia,"100,0%","0,0%","0,0%",10,1,"10,0%",0,-,"0,0%",4
Damir Sadiković,Cracovia,-,"9,1%",-,11,1,"9,1%",0,-,"0,0%",6
Gergo Kocsis,Podbeskidzie,"0,0%","9,1%",-,12,1,"8,3%",0,-,"0,0%",9
Mateusz Żyro,Stal Mielec,"0,0%","12,5%","0,0%",12,1,"8,3%",0,-,"0,0%",1
Cornel Rapa,Cracovia,"0,0%","20,0%","0,0%",13,1,"7,7%",1,"13,00","7,7%",17
Gieorgij Żukow,Wisła Kraków,"0,0%","6,7%",-,16,1,"6,3%",0,-,"0,0%",15
Luis Mata,Pogoń Szczecin,-,-,-,0,0,-,0,-,-,12
Maciej Pałaszewski,Śląsk Wrocław,-,-,-,0,0,-,0,-,-,6
Paweł Żuk,Wisła Płock,-,-,-,0,0,-,0,-,-,3
Giannis Papanikolaou,Raków Częstochowa,-,-,-,0,0,-,0,-,-,2
Jakub Szumski,Raków Częstochowa,-,-,-,0,0,-,0,-,-,2
Michael Gardawski,Cracovia,-,-,-,0,0,-,0,-,-,2
Sebastian Strózik,Cracovia,-,-,-,0,0,-,0,-,-,2
Juan Camara,Jagiellonia,-,-,-,0,0,-,0,-,-,1
Michał Helik,Cracovia,-,-,-,0,0,-,0,-,-,1
Wojciech Lisowski,Stal Mielec,-,-,-,0,0,-,0,-,-,1
Aleksander Pawlak,Wisła Płock,-,-,-,0,0,-,0,-,-,1
Przemysław Kapek,Cracovia,-,-,-,0,0,-,0,-,-,1
Damian Węglarz,Jagiellonia,-,-,-,0,0,-,0,-,-,1
Konrad Gutowski,Podbeskidzie,-,-,-,0,0,-,0,-,-,1
Mateusz Winciersz,Piast Gliwice,-,-,-,0,0,-,0,-,-,1
Kacper Rogoziński,Wisła Płock,-,-,-,0,0,-,0,-,-,1
Rodriguez Julio,Wisła Płock,-,-,-,0,0,-,0,-,-,1
Szymon Włodarczyk,Legia Warszawa,-,-,-,0,0,-,0,-,-,1
Guillermo Cotugno,Śląsk Wrocław,-,-,-,0,0,-,0,-,-,1
Krzysztof Kamiński,Wisła Płock,-,-,-,0,0,-,0,-,-,1
Dusan Kuciak,Lechia Gdańsk,-,-,-,0,0,-,0,-,-,1
Godfrey Stephen,Jagiellonia,-,-,-,0,0,-,0,-,-,1
Tomasz Mokwa,Piast Gliwice,-,-,-,0,0,-,0,-,-,1
Serafin Szota,Wisła Kraków,-,-,-,0,0,-,0,-,-,1
Radosław Cierzniak,Legia Warszawa,-,-,-,0,0,-,0,-,-,1
Mykoła Musolitin,Lechia Gdańsk,-,-,-,0,0,-,0,-,-,1
Domagoj Antolić,Legia Warszawa,-,"0,0%","0,0%",5,0,"0,0%",0,-,"0,0%",13
Petar Mamić,Podbeskidzie,"0,0%","0,0%",-,7,0,"0,0%",0,-,"0,0%",11
Nika Kwekweskiri,Lech Poznań,-,"0,0%",-,8,0,"0,0%",0,-,"0,0%",11
Lubomir Satka,Lech Poznań,-,"0,0%","0,0%",5,0,"0,0%",0,-,"0,0%",10
Kacper Gach,Podbeskidzie,"0,0%","0,0%",-,3,0,"0,0%",0,-,"0,0%",7
Artur Jędrzejczyk,Legia Warszawa,"0,0%","0,0%","0,0%",7,0,"0,0%",0,-,"0,0%",6
Adrian Laskowski,Warta Poznań,"0,0%","0,0%","0,0%",5,0,"0,0%",0,-,"0,0%",6
Jakub Łabojko,Śląsk Wrocław,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",5
Albin Granlund,Stal Mielec,"0,0%","0,0%","0,0%",7,0,"0,0%",0,-,"0,0%",5
Adam Ryczkowski,Górnik Zabrze,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",4
Michał Rostkowski,Górnik Zabrze,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",4
Fatos Beciraj,Wisła Kraków,-,"0,0%","0,0%",6,0,"0,0%",0,-,"0,0%",3
Mateusz Hołownia,Legia Warszawa,"0,0%","0,0%","0,0%",4,0,"0,0%",0,-,"0,0%",3
Kamil Jóźwiak,Lech Poznań,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",3
Michał Mak,Wisła Kraków,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",3
Mariusz Pawelec,Śląsk Wrocław,"0,0%","0,0%",-,4,0,"0,0%",0,-,"0,0%",3
Kris Twardek,Jagiellonia,"0,0%",-,-,3,0,"0,0%",0,-,"0,0%",3
Adam Ratajczyk,Zagłębie Lubin,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",3
Stefanos Evangelou,Górnik Zabrze,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",3
Kamil Wojtkowski,Jagiellonia,"0,0%","0,0%",-,2,0,"0,0%",0,-,"0,0%",3
Łukasz Łakomy,Zagłębie Lubin,"0,0%",-,"0,0%",4,0,"0,0%",0,-,"0,0%",3
Bodvar Bodvarsson,Jagiellonia,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",2
Dorde Crnomarković,Lech Poznań,"0,0%",-,"0,0%",5,0,"0,0%",0,-,"0,0%",2
Mateusz Sopoćko,Lechia Gdańsk,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",2
Airam Cabrera,Wisła Płock,"0,0%","0,0%","0,0%",6,0,"0,0%",0,-,"0,0%",2
Hubert Sobol,Lech Poznań,"0,0%",-,"0,0%",3,0,"0,0%",0,-,"0,0%",2
Antonio Milić,Lech Poznań,-,-,"0,0%",2,0,"0,0%",0,-,"0,0%",2
Jakub Kosecki,Cracovia,"0,0%","0,0%",-,9,0,"0,0%",0,-,"0,0%",2
Ernest Muci,Legia Warszawa,"0,0%","0,0%","0,0%",4,0,"0,0%",0,-,"0,0%",2
Robert Gumny,Lech Poznań,"0,0%","0,0%",-,2,0,"0,0%",0,-,"0,0%",1
Damian Pawłowski,Stal Mielec,-,"0,0%","0,0%",3,0,"0,0%",0,-,"0,0%",1
Kajetan Szmyt,Warta Poznań,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Mateusz Spychała,Warta Poznań,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Michał Kopczyński,Warta Poznań,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",1
Dmytro Baszłaj,Podbeskidzie,-,"0,0%","0,0%",3,0,"0,0%",0,-,"0,0%",1
Konrad Gruszkowski,Wisła Kraków,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",1
Diego Ferraresso,Cracovia,"0,0%","0,0%",-,2,0,"0,0%",0,-,"0,0%",0
Igor Lewczuk,Legia Warszawa,"0,0%","0,0%","0,0%",6,0,"0,0%",0,-,"0,0%",0
Kacper Sadłocha,Stal Mielec,"0,0%","0,0%",-,2,0,"0,0%",0,-,"0,0%",0
Kornel Osyra,Podbeskidzie,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",0
Tomasz Dejewski,Lech Poznań,-,-,"0,0%",2,0,"0,0%",0,-,"0,0%",0
Łukasz Seweryn,Stal Mielec,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Mateusz Wyjadłowski,Jagiellonia,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Krystian Palacz,Lech Poznań,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",0
Souleymane Kone,Wisła Kraków,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",0
Sebastian Bergier,Śląsk Wrocław,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Bartosz Zynek,Wisła Płock,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Maula Vikri Egy,Lechia Gdańsk,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",0
