ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Jakub Holubek,Piast Gliwice,"25,0%",-,"50,0%",10,3,"30,0%",1,"10,00","10,0%",16
Anton Krywociuk,Wisła Płock,"0,0%","0,0%","42,9%",10,3,"30,0%",2,"5,00","20,0%",2
Nikola Kuveljić,Wisła Kraków,"30,0%",-,-,10,3,"30,0%",1,"10,00","10,0%",4
Zoran Arsenić,Raków Częstochowa,-,"0,0%","33,3%",10,3,"30,0%",1,"10,00","10,0%",3
Mateusz Cichocki,Radomiak Radom,-,"0,0%","42,9%",11,3,"27,3%",0,-,"0,0%",8
Victor Garcia,Śląsk Wrocław,"27,3%",-,-,11,3,"27,3%",1,"11,00","9,1%",25
Tomas Huk,Piast Gliwice,"0,0%","20,0%","40,0%",11,3,"27,3%",2,"5,50","18,2%",2
Meik Karwot,Radomiak Radom,"11,1%",-,"100,0%",11,3,"27,3%",0,-,"0,0%",17
Andrzej Niewulis,Raków Częstochowa,"0,0%","0,0%","37,5%",11,3,"27,3%",2,"5,50","18,2%",3
Martin Konczkowski,Piast Gliwice,"0,0%","33,3%",-,12,3,"25,0%",2,"6,00","16,7%",26
Ariel Mosór,Piast Gliwice,"0,0%","0,0%","30,0%",12,3,"25,0%",1,"12,00","8,3%",4
Dino Stiglec,Śląsk Wrocław,"27,3%",-,"0,0%",12,3,"25,0%",1,"12,00","8,3%",33
Miłosz Szczepański,Lechia/Warta,"0,0%","42,9%","0,0%",12,3,"25,0%",2,"6,00","16,7%",8
Adrian Gryszkiewicz,Górnik Zabrze,"16,7%",-,"16,7%",13,3,"23,1%",1,"13,00","7,7%",6
Matej Hanousek,Wisła Kraków,"12,5%","33,3%","0,0%",13,3,"23,1%",0,-,"0,0%",28
Tomasz Makowski,Lechia Gdańsk,"50,0%","10,0%","100,0%",13,3,"23,1%",1,"13,00","7,7%",10
Dawid Kocyła,Wisła P/Bruk-Bet,"0,0%","25,0%",-,14,3,"21,4%",0,-,"0,0%",8
Przemysław Wiśniewski,Górnik Zabrze,"0,0%","14,3%","33,3%",14,3,"21,4%",0,-,"0,0%",9
Joseph Ceesay,Lechia Gdańsk,"0,0%","15,4%","50,0%",16,3,"18,8%",0,-,"0,0%",21
Mario Rodriguez,Warta Poznań,"0,0%","27,3%","0,0%",17,3,"17,6%",0,-,"0,0%",4
Łukasz Trałka,Warta Poznań,"0,0%","20,0%","33,3%",17,3,"17,6%",1,"17,00","5,9%",24
Kacper Skibicki,Legia Warszawa,"20,0%","15,4%",-,18,3,"16,7%",0,-,"0,0%",9
Alasana Manneh,Górnik Zabrze,"4,3%","66,7%",-,26,3,"11,5%",2,"13,00","7,7%",18
Jakub Iskra,Śląsk Wrocław,-,"100,0%",-,2,2,"100,0%",0,-,"0,0%",4
Patryk Czarnowski,Bruk-Bet,-,"66,7%",-,3,2,"66,7%",1,"3,00","33,3%",0
Alexandre Guedes,Raków Częstochowa,"100,0%","50,0%",-,3,2,"66,7%",0,-,"0,0%",2
Joseph Colley,Wisła Kraków,-,"66,7%",-,3,2,"66,7%",0,-,"0,0%",0
David Jablonsky,Cracovia,"100,0%","100,0%","0,0%",3,2,"66,7%",0,-,"0,0%",1
Tomasz Kędziora,Lech Poznań,-,"100,0%","0,0%",3,2,"66,7%",1,"3,00","33,3%",4
Sasa Balić,Zagłębie Lubin,"0,0%",-,"66,7%",4,2,"50,0%",0,-,"0,0%",5
Wiktor Długosz,Raków Częstochowa,-,"100,0%","0,0%",4,2,"50,0%",1,"4,00","25,0%",4
Marcin Grabowski,Bruk-Bet,"50,0%","50,0%",-,4,2,"50,0%",0,-,"0,0%",10
Artur Jędrzejczyk,Legia Warszawa,"0,0%","100,0%","0,0%",4,2,"50,0%",0,-,"0,0%",9
Bartosz Kopacz,Lechia/Zagłębie,-,-,"50,0%",4,2,"50,0%",0,-,"0,0%",10
Nikola Stojiljković,Piast Gliwice,"0,0%","50,0%","100,0%",4,2,"50,0%",1,"4,00","25,0%",0
Kamil Ogorzały,Cracovia,"100,0%","33,3%",-,4,2,"50,0%",0,-,"0,0%",1
Paweł Wojciechowski,Górnik Łęczna,-,"66,7%","0,0%",4,2,"50,0%",0,-,"0,0%",2
Miłosz Matysik,Jagiellonia,-,"50,0%","50,0%",4,2,"50,0%",1,"4,00","25,0%",6
Narek Grigorjan,Jagiellonia,"100,0%","0,0%",-,4,2,"50,0%",0,-,"0,0%",2
Dani Pacheco,Górnik Zabrze,-,"50,0%",-,4,2,"50,0%",1,"4,00","25,0%",5
Aleksandyr Kolew,Stal Mielec,"50,0%",-,"0,0%",5,2,"40,0%",1,"5,00","20,0%",3
Maciej Sadlok,Wisła Kraków,"33,3%","0,0%","100,0%",5,2,"40,0%",1,"5,00","20,0%",4
Konrad Wrzesiński,Stal Mielec,"0,0%","66,7%",-,5,2,"40,0%",1,"5,00","20,0%",5
Bozidar Czorbadżijski,Stal Mielec,"0,0%",-,"50,0%",5,2,"40,0%",1,"5,00","20,0%",1
Marcin Budziński,Stal Mielec,-,"40,0%","0,0%",6,2,"33,3%",0,-,"0,0%",6
Alan Czerwiński,Lech Poznań,"50,0%","0,0%","50,0%",6,2,"33,3%",1,"6,00","16,7%",9
Jakub Kiełb,Warta Poznań,"20,0%",-,"100,0%",6,2,"33,3%",0,-,"0,0%",21
Joel Pereira,Lech Poznań,"0,0%","33,3%","50,0%",6,2,"33,3%",0,-,"0,0%",40
Piotr Starzyński,Wisła Kraków,"50,0%","0,0%",-,6,2,"33,3%",0,-,"0,0%",6
Kamil Kruk,Zagłębie Lubin,-,"0,0%","50,0%",7,2,"28,6%",1,"7,00","14,3%",1
Sylwester Lusiusz,Cracovia,"50,0%","20,0%",-,7,2,"28,6%",0,-,"0,0%",4
Filip Marchwiński,Lech Poznań,-,"25,0%","33,3%",7,2,"28,6%",0,-,"0,0%",4
Milan Rundić,Raków Częstochowa,"0,0%","0,0%","50,0%",7,2,"28,6%",1,"7,00","14,3%",9
Diogo Verdasca,Śląsk Wrocław,-,"33,3%","25,0%",7,2,"28,6%",1,"7,00","14,3%",6
Arkadiusz Kasperkiewicz,Stal Mielec,-,"0,0%","100,0%",7,2,"28,6%",1,"7,00","14,3%",5
Michael Ameyaw,Piast Gliwice,"0,0%","40,0%",-,8,2,"25,0%",1,"8,00","12,5%",4
Jakub Arak,Raków Częstochowa,-,"66,7%","0,0%",8,2,"25,0%",0,-,"0,0%",1
Rafał Makowski,Śląsk Wrocław,"0,0%","16,7%","100,0%",8,2,"25,0%",1,"8,00","12,5%",6
Dawid Pakulski,Zagłębie Lubin,"0,0%","28,6%",-,8,2,"25,0%",0,-,"0,0%",2
Giannis Papanikolaou,Raków Częstochowa,"0,0%","28,6%",-,9,2,"22,2%",1,"9,00","11,1%",25
Dariusz Stalmach,Górnik Zabrze,"0,0%","14,3%","100,0%",9,2,"22,2%",0,-,"0,0%",5
Cheikhou Dieng,Zagłębie Lubin,"66,7%","0,0%",-,9,2,"22,2%",0,-,"0,0%",4
Miłosz Kozak,Radomiak Radom,"22,2%","0,0%",-,10,2,"20,0%",0,-,"0,0%",18
Mario Maloca,Lechia Gdańsk,-,"0,0%","25,0%",10,2,"20,0%",0,-,"0,0%",5
Artem Putiwcew,Bruk-Bet,"50,0%","0,0%","0,0%",10,2,"20,0%",1,"10,00","10,0%",7
Ernest Terpiłowski,Bruk-Bet,"0,0%","25,0%","0,0%",11,2,"18,2%",1,"11,00","9,1%",6
Gieorgij Żukow,Wisła Kraków,"0,0%","25,0%",-,11,2,"18,2%",1,"11,00","9,1%",5
Tom Hateley,Piast Gliwice,"0,0%","22,2%",-,11,2,"18,2%",0,-,"0,0%",20
Radosław Cielemęcki,Wisła Płock,"0,0%","22,2%",-,12,2,"16,7%",1,"12,00","8,3%",5
Jorginho,Wisła Płock,"0,0%","22,2%","0,0%",13,2,"15,4%",1,"13,00","7,7%",11
Karol Podliński,Zagłębie Lubin,"33,3%","0,0%","16,7%",13,2,"15,4%",0,-,"0,0%",8
Patryk Janasik,Śląsk Wrocław,"33,3%","0,0%",-,15,2,"13,3%",1,"15,00","6,7%",11
Michał Kaput,Radomiak/Piast,"0,0%","28,6%","0,0%",15,2,"13,3%",0,-,"0,0%",9
Waldemar Sobota,Śląsk Wrocław,"0,0%","16,7%",-,19,2,"10,5%",0,-,"0,0%",17
Karol Struski,Jagiellonia,"0,0%","11,8%",-,20,2,"10,0%",1,"20,00","5,0%",15
Maciej Orłowski,Górnik Łęczna,-,-,"100,0%",1,1,"100,0%",0,-,"0,0%",2
Jakub Pek,Bruk-Bet,"100,0%",-,-,1,1,"100,0%",0,-,"0,0%",1
Norbert Wojtuszek,Górnik Zabrze,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",2
Adrian Lis,Warta Poznań,-,-,"100,0%",1,1,"100,0%",1,"1,00","100,0%",0
Frantisek Plach,Piast Gliwice,"100,0%",-,-,1,1,"100,0%",0,-,"0,0%",2
Adam Chrzanowski,Wisła Płock,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",0
Michał Szałachowski,Górnik Łęczna,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",0
Adam Hlousek,Bruk-Bet,"100,0%",-,"0,0%",2,1,"50,0%",0,-,"0,0%",3
Luka Susnjara,Wisła Płock,"100,0%",-,"0,0%",2,1,"50,0%",0,-,"0,0%",1
Jan Sykora,Lech Poznań,"50,0%",-,-,2,1,"50,0%",0,-,"0,0%",1
Thiago,Cracovia,"100,0%","0,0%",-,2,1,"50,0%",0,-,"0,0%",2
Żarko Udovicić,Raków Częstochowa,"50,0%",-,-,2,1,"50,0%",0,-,"0,0%",0
Artur Bogusz,Radomiak Radom,"0,0%",-,"100,0%",2,1,"50,0%",1,"2,00","50,0%",1
Jakub Antczak,Lech Poznań,-,"50,0%",-,2,1,"50,0%",0,-,"0,0%",0
Jo Santos,Radomiak Radom,-,"50,0%",-,2,1,"50,0%",0,-,"0,0%",0
Kristers Tobers,Lechia Gdańsk,-,-,"50,0%",2,1,"50,0%",0,-,"0,0%",0
Roland Varga,Bruk-Bet,"100,0%","0,0%",-,2,1,"50,0%",0,-,"0,0%",0
Daniel Gretarsson,Śląsk Wrocław,-,"100,0%","0,0%",2,1,"50,0%",0,-,"0,0%",0
Constantin Reiner,Piast Gliwice,-,-,"50,0%",2,1,"50,0%",0,-,"0,0%",1
Aleksandr Pawłowiec,Warta Poznań,-,-,"50,0%",2,1,"50,0%",0,-,"0,0%",0
Adrian Dziedzic,Górnik Zabrze,-,"33,3%",-,3,1,"33,3%",0,-,"0,0%",5
Bartłomiej Kalinkowski,Górnik Łęczna,-,"33,3%",-,3,1,"33,3%",0,-,"0,0%",5
Dusan Lagator,Wisła Płock,-,"33,3%",-,3,1,"33,3%",1,"3,00","33,3%",3
Adam Ratajczyk,Zagłębie Lubin,"100,0%","0,0%",-,3,1,"33,3%",0,-,"0,0%",7
Kacper Smoliński,Pogoń Szczecin,"33,3%",-,-,3,1,"33,3%",0,-,"0,0%",6
Kacper Tabiś,Jagiellonia,"100,0%","0,0%",-,3,1,"33,3%",0,-,"0,0%",2
Maciej Urbańczyk,Stal Mielec,"0,0%","50,0%",-,3,1,"33,3%",0,-,"0,0%",5
Patryk Zaucha,Cracovia,"33,3%",-,-,3,1,"33,3%",0,-,"0,0%",3
Tomasz Tymosiak,Górnik Łęczna,-,"33,3%",-,3,1,"33,3%",0,-,"0,0%",0
Egzon Kryeziu,Lechia Gdańsk,-,"33,3%",-,3,1,"33,3%",0,-,"0,0%",3
Szymon Włodarczyk,Legia Warszawa,"100,0%","0,0%","0,0%",3,1,"33,3%",0,-,"0,0%",0
Niilo Maenpaa,Warta Poznań,"0,0%","50,0%",-,3,1,"33,3%",0,-,"0,0%",4
Sebastian Ring,Wisła Kraków,"33,3%",-,-,3,1,"33,3%",1,"3,00","33,3%",5
Przemysław Maj,Stal Mielec,"0,0%","50,0%",-,3,1,"33,3%",0,-,"0,0%",0
Aleksander Pawlak,Wisła Płock,-,"0,0%","100,0%",3,1,"33,3%",1,"3,00","33,3%",3
Benjamin Verbic,Legia Warszawa,"0,0%","50,0%",-,3,1,"33,3%",0,-,"0,0%",2
Mateusz Hołownia,Legia Warszawa,"0,0%",-,"33,3%",4,1,"25,0%",1,"4,00","25,0%",5
Dawid Kort,Stal Mielec,-,"25,0%",-,4,1,"25,0%",0,-,"0,0%",7
Kacper Kostorz,Legia Warszawa,"0,0%","50,0%","0,0%",4,1,"25,0%",0,-,"0,0%",2
Patryk Plewka,Wisła Kraków,-,"33,3%","0,0%",4,1,"25,0%",0,-,"0,0%",6
Bartosz Rymaniak,Górnik Łęczna,"0,0%","0,0%","100,0%",4,1,"25,0%",0,-,"0,0%",8
Damir Sadiković,Cracovia,-,"33,3%","0,0%",4,1,"25,0%",0,-,"0,0%",2
Martin Zeman,Bruk-Bet,"33,3%",-,"0,0%",4,1,"25,0%",0,-,"0,0%",13
Michał Pazdan,Jagiellonia,-,"0,0%","33,3%",4,1,"25,0%",0,-,"0,0%",5
Rui Gomes,Legia Warszawa,"33,3%","0,0%",-,4,1,"25,0%",0,-,"0,0%",0
Momo Cisse,Wisła Kraków,-,"33,3%","0,0%",4,1,"25,0%",0,-,"0,0%",3
David Domgjoni,Bruk-Bet,"0,0%","50,0%","0,0%",4,1,"25,0%",0,-,"0,0%",3
Matej Hybs,Bruk-Bet,"0,0%","100,0%",-,4,1,"25,0%",0,-,"0,0%",15
Łukasz Bejger,Śląsk Wrocław,"0,0%","25,0%",-,5,1,"20,0%",0,-,"0,0%",2
Jakub Jugas,Cracovia,"50,0%","0,0%","0,0%",5,1,"20,0%",0,-,"0,0%",3
Bartosz Kieliba,Warta Poznań,-,"0,0%","25,0%",5,1,"20,0%",0,-,"0,0%",0
Leandro,Górnik Łęczna,"25,0%","0,0%",-,5,1,"20,0%",0,-,"0,0%",19
Luis Mata,Pogoń Szczecin,"0,0%","25,0%",-,5,1,"20,0%",0,-,"0,0%",26
Mateusz Łęgowski,Pogoń Szczecin,-,"20,0%",-,5,1,"20,0%",1,"5,00","20,0%",5
Daniel Łukasik,Radomiak Radom,-,"20,0%",-,5,1,"20,0%",0,-,"0,0%",12
Jhon Chancellor,Zagłębie Lubin,"0,0%","0,0%","33,3%",5,1,"20,0%",0,-,"0,0%",3
Jan Biegański,Lechia Gdańsk,"33,3%","0,0%",-,6,1,"16,7%",0,-,"0,0%",5
Michał Jakóbowski,Warta Poznań,"0,0%","33,3%","0,0%",6,1,"16,7%",0,-,"0,0%",6
Aleks Ławniczak,Warta/Zagłębie,-,"0,0%","33,3%",6,1,"16,7%",0,-,"0,0%",4
Konrad Matuszewski,Warta Poznań,"33,3%","0,0%",-,6,1,"16,7%",1,"6,00","16,7%",10
Bogdan Tiru,Jagiellonia,-,"0,0%","20,0%",6,1,"16,7%",0,-,"0,0%",6
Enis Fazlagić,Wisła Kraków,"0,0%","0,0%","25,0%",6,1,"16,7%",0,-,"0,0%",5
Alexandros Katranis,Piast Gliwice,"20,0%","0,0%",-,7,1,"14,3%",0,-,"0,0%",13
Szymon Lewkot,Śląsk Wrocław,-,"0,0%","100,0%",7,1,"14,3%",1,"7,00","14,3%",6
Dawid Szot,Wisła Kraków,-,"14,3%",-,7,1,"14,3%",0,-,"0,0%",2
Tomasz Pieńko,Zagłębie Lubin,"0,0%","16,7%",-,7,1,"14,3%",1,"7,00","14,3%",4
Bartłomiej Kukułowicz,Bruk-Bet,"0,0%","12,5%",-,9,1,"11,1%",0,-,"0,0%",11
Florian Loshaj,Cracovia,"20,0%","0,0%","0,0%",9,1,"11,1%",1,"9,00","11,1%",5
Benedikt Zech,Pogoń Szczecin,-,"12,5%","0,0%",9,1,"11,1%",0,-,"0,0%",6
Deian Sorescu,Raków Częstochowa,"0,0%","12,5%",-,9,1,"11,1%",1,"9,00","11,1%",7
Jonathan de Amo,Stal/Górnik Ł,-,"0,0%","25,0%",10,1,"10,0%",1,"10,00","10,0%",3
Michal Siplak,Cracovia,"14,3%","0,0%","0,0%",10,1,"10,0%",0,-,"0,0%",12
Paweł Stolarski,Pogoń Szczecin,-,"10,0%",-,10,1,"10,0%",0,-,"0,0%",6
Roman Gergel,Bruk-Bet,"16,7%","0,0%","0,0%",11,1,"9,1%",0,-,"0,0%",19
Maciej Jankowski,Stal Mielec,"50,0%","0,0%","0,0%",11,1,"9,1%",0,-,"0,0%",0
Marcin Wasielewski,Bruk-Bet,"0,0%","14,3%",-,14,1,"7,1%",0,-,"0,0%",4
Ishmael Baidoo,Górnik Zabrze,-,-,-,0,0,-,0,-,-,1
Marcel Błachewicz,Wisła Płock,-,-,-,0,0,-,0,-,-,1
Łukasz Budziłek,Bruk-Bet,-,-,-,0,0,-,0,-,-,1
Lukas Hrosso,Cracovia,-,-,-,0,0,-,0,-,-,1
Tomasz Jodłowiec,Piast Gliwice,-,-,-,0,0,-,0,-,-,1
Iwo Kaczmarski,Raków Częstochowa,-,-,-,0,0,-,0,-,-,1
Mateusz Lis,Wisła Kraków,-,-,-,0,0,-,0,-,-,1
Hubert Matynia,Pogoń Szczecin,-,-,-,0,0,-,0,-,-,3
Miguel Munoz,Piast Gliwice,-,-,-,0,0,-,0,-,-,1
Mykoła Musolitin,Lechia Gdańsk,-,-,-,0,0,-,0,-,-,2
Dani Quintana,Jagiellonia,-,-,-,0,0,-,0,-,-,2
Artur Sobiech,Lech Poznań,-,-,-,0,0,-,0,-,-,3
Bartłomiej Kłudka,Zagłębie Lubin,-,-,-,0,0,-,0,-,-,1
Dusan Kuciak,Lechia Gdańsk,-,-,-,0,0,-,0,-,-,1
Luizao,Radomiak Radom,-,-,-,0,0,-,0,-,-,2
Filip Majchrowicz,Radomiak Radom,-,-,-,0,0,-,0,-,-,1
Kajetan Szmyt,Warta Poznań,-,-,-,0,0,-,0,-,-,2
Mikołaj Biegański,Wisła Kraków,-,-,-,0,0,-,0,-,-,2
Paweł Olszewski,Jagiellonia,-,-,-,0,0,-,0,-,-,4
Tihomir Kostadinov,Piast Gliwice,-,-,-,0,0,-,0,-,-,4
Damian Primel,Stal Mielec,-,-,-,0,0,-,0,-,-,1
Mickey van der Hart,Lech Poznań,-,-,-,0,0,-,0,-,-,1
Kacper Bieszczad,Zagłębie Lubin,-,-,-,0,0,-,0,-,-,1
Michał Szromnik,Śląsk Wrocław,-,-,-,0,0,-,0,-,-,1
Jakub Wawszczyk,Stal Mielec,-,-,-,0,0,-,0,-,-,3
Jakub Nowakowski,Radomiak Radom,-,-,-,0,0,-,0,-,-,1
Jurgen Celhaka,Legia Warszawa,-,-,-,0,0,-,0,-,-,1
Filip Bainović,Górnik Zabrze,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",5
Paweł Baranowski,Górnik Łęczna,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",0
Michal Bezpalec,Bruk-Bet,"0,0%","0,0%",-,4,0,"0,0%",0,-,"0,0%",2
Jakub Błaszczykowski,Wisła Kraków,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Bartłomiej Ciepiela,Legia Warszawa,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",5
Adrian Cierpka,Górnik Łęczna,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",2
Szymon Drewniak,Górnik Łęczna,-,"0,0%",-,8,0,"0,0%",0,-,"0,0%",7
Daniel Dudziński,Zagłębie Lubin,"0,0%","0,0%",-,2,0,"0,0%",0,-,"0,0%",5
Fryderyk Gerbowski,Wisła Płock,"0,0%","0,0%",-,7,0,"0,0%",0,-,"0,0%",9
Goncalo Silva,Radomiak Radom,-,"0,0%","0,0%",5,0,"0,0%",0,-,"0,0%",4
Alexander Gorgon,Pogoń Szczecin,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",1
Joel Abu Hanna,Legia Warszawa,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",3
Javier Ajenjo Hyjek,Śląsk Wrocław,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",1
Lirim Kastrati,Legia Warszawa,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",9
Wiktor Kłos,Stal Mielec,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Bartosz Kwiecień,Jagiellonia,-,"0,0%","0,0%",3,0,"0,0%",0,-,"0,0%",2
Kacper Michalski,Górnik Zabrze,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Tomasz Midzierski,Górnik Łęczna,-,-,"0,0%",2,0,"0,0%",0,-,"0,0%",1
Tomasz Mokwa,Piast Gliwice,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Lubambo Musonda,Śląsk Wrocław,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",2
Bartłomiej Pawłowski,Śląsk Wrocław,"0,0%","0,0%","0,0%",14,0,"0,0%",0,-,"0,0%",10
Rafał Pietrzak,Lechia Gdańsk,"0,0%","0,0%",-,7,0,"0,0%",0,-,"0,0%",25
Rhuan,Radomiak Radom,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Yuri Ribeiro,Legia Warszawa,"0,0%",-,-,2,0,"0,0%",0,-,"0,0%",9
Luis Rocha,Cracovia,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",3
Jakub Sangowski,Warta Poznań,"0,0%","0,0%",-,2,0,"0,0%",0,-,"0,0%",1
Igor Sapała,Raków Częstochowa,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",2
Oliwier Sławiński,Zagłębie Lubin,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",0
Hubert Sobol,Wisła Kraków,-,"0,0%","0,0%",2,0,"0,0%",0,-,"0,0%",0
Paweł Żyra,Bruk-Bet,"0,0%","0,0%",-,3,0,"0,0%",0,-,"0,0%",2
Ian Soler,Zagłębie Lubin,-,"0,0%","0,0%",3,0,"0,0%",0,-,"0,0%",3
Mateusz Sopoćko,Warta Poznań,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Kryspin Szcześniak,Górnik Łęczna,-,"0,0%",-,3,0,"0,0%",0,-,"0,0%",0
Adrian Szczutowski,Stal Mielec,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",0
Daniel Szelągowski,Raków/Warta,"0,0%","0,0%",-,5,0,"0,0%",0,-,"0,0%",6
Łukasz Szramowski,Górnik Łęczna,"0,0%","0,0%",-,3,0,"0,0%",0,-,"0,0%",4
Krzysztof Toporkiewicz,Jagiellonia,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",1
David Tosevski,Górnik Zabrze,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Alan Uryga,Wisła Kraków,"0,0%",-,"0,0%",4,0,"0,0%",0,-,"0,0%",1
Jakub Wójcicki,Zagłębie Lubin,-,"0,0%","0,0%",2,0,"0,0%",0,-,"0,0%",9
Dominik Wydra,Raków Częstochowa,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Damian Zbozień,Wisła Płock,-,"0,0%","0,0%",5,0,"0,0%",0,-,"0,0%",8
Łukasz Zjawiński,Lechia Gdańsk,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Ilja Żygulow,Zagłębie Lubin,"0,0%","0,0%",-,4,0,"0,0%",0,-,"0,0%",8
Kamil Pajnowski,Górnik Łęczna,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Aleksandar Pantić,Zagłębie Lubin,-,"0,0%","0,0%",3,0,"0,0%",0,-,"0,0%",5
Vamara Sanogo,Górnik Zabrze,"0,0%",-,"0,0%",2,0,"0,0%",0,-,"0,0%",0
Patryk Kusztal,Zagłębie Lubin,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",1
Thabo Cele,Radomiak Radom,-,"0,0%",-,3,0,"0,0%",0,-,"0,0%",4
Albin Granlund,Stal Mielec,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",3
Tomasz Nawotka,Legia Warszawa,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",2
Michał Orzechowski,Bruk-Bet,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",0
Sebastian Bergier,Śląsk Wrocław,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Bartłomiej Burman,Warta Poznań,"0,0%","0,0%",-,2,0,"0,0%",0,-,"0,0%",1
Michał Goliński,Górnik Łęczna,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",5
Filip Modelski,Bruk-Bet,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Jean Mvondo,Górnik Zabrze,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",4
Gerson,Górnik Łęczna,-,-,"0,0%",2,0,"0,0%",0,-,"0,0%",0
Jakub Lutostański,Jagiellonia,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Abraham Marcus,Radomiak Radom,"0,0%",-,-,5,0,"0,0%",0,-,"0,0%",3
Kacper Masiak,Zagłębie Lubin,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Milan Obradović,Wisła Płock,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",1
Aleksandar Scekić,Zagłębie Lubin,"0,0%","0,0%","0,0%",8,0,"0,0%",0,-,"0,0%",8
David Stec,Lechia Gdańsk,"0,0%","0,0%",-,2,0,"0,0%",0,-,"0,0%",3
Jakub Szymański,Górnik Zabrze,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Mark Tamas,Śląsk Wrocław,-,"0,0%","0,0%",2,0,"0,0%",0,-,"0,0%",0
Oliwier Wojciechowski,Jagiellonia,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Bartosz Zynek,Wisła Płock,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Virgil Ghita,Cracovia,-,"0,0%","0,0%",4,0,"0,0%",0,-,"0,0%",2
Artem Polarus,Bruk-Bet,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",3
Andrij Dombrowśkyj,Bruk-Bet,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",5
Bartosz Kapustka,Legia Warszawa,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",0
Oskar Krzyżak,Raków Częstochowa,-,"0,0%","0,0%",3,0,"0,0%",0,-,"0,0%",0
Mikołaj Rakowski,Warta Poznań,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Ruben Lobato,Górnik Łęczna,"0,0%",-,-,2,0,"0,0%",0,-,"0,0%",0
Robert Ożóg,Cracovia,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
