ZAWODNIK,KLUB,GOLE,G KARNY,G ROŻNY,G WOLNY,G WOLNY BEZP,G AUT,AS SFG,PO SFG,Z GRY,%GOLI PO SFG
Kenny Saief,Lechia Gdańsk,1,0,0,0,0,0,0,0,1,"0,0%"
David Tijanić,Raków Częstochowa,1,0,0,0,0,0,0,0,1,"0,0%"
Rafał Janicki,Wisła Kraków,1,0,1,0,0,0,0,1,0,"100,0%"
Vamara Sanogo,Legia Warszawa,1,0,0,0,0,0,0,0,1,"0,0%"
Grzegorz Szymusik,Korona Kielce,1,0,1,0,0,0,0,1,0,"100,0%"
Ze Gomes,Lechia Gdańsk,1,0,0,0,0,0,0,0,1,"0,0%"
Themistoklis Tzimopoulos,Korona Kielce,1,0,0,1,0,0,0,1,0,"100,0%"
Igor Lewczuk,Legia Warszawa,1,0,1,0,0,0,0,1,0,"100,0%"
Kacper Smoliński,Pogoń Szczecin,1,0,0,0,0,0,0,0,1,"0,0%"
Michał Koj,Górnik Zabrze,1,0,0,0,0,0,0,0,1,"0,0%"
Mark Tamas,Śląsk Wrocław,1,0,0,1,0,0,0,1,0,"100,0%"
Iwo Kaczmarski,Korona Kielce,1,0,0,0,0,0,0,0,1,"0,0%"
Damian Warchoł,Legia Warszawa,1,0,0,1,0,0,0,1,0,"100,0%"
Bartosz Rymaniak,Piast Gliwice,0,0,0,0,0,0,3,0,0,-
Erik Janza,Górnik Zabrze,0,0,0,0,0,0,3,0,0,-
Guilherme Sitya,Jagiellonia,0,0,0,0,0,0,3,0,0,-
Michał Karbownik,Legia Warszawa,0,0,0,0,0,0,2,0,0,-
Azer Busuladzić,Arka Gdynia,0,0,0,0,0,0,1,0,0,-
Filip Mladenović,Lechia Gdańsk,0,0,0,0,0,0,1,0,0,-
Jakub Wójcicki,Jagiellonia,0,0,0,0,0,0,1,0,0,-
Martin Kostal,Jagiellonia,0,0,0,0,0,0,1,0,0,-
Damian Oko,Zagłębie Lubin,0,0,0,0,0,0,1,0,0,-
Patryk Bryła,ŁKS Łódź,0,0,0,0,0,0,1,0,0,-
Adam Marciniak,Arka Gdynia,0,0,0,0,0,0,1,0,0,-
Mikkel Kirkeskov,Piast Gliwice,0,0,0,0,0,0,1,0,0,-
Uros Duranović,Korona Kielce,0,0,0,0,0,0,1,0,0,-
Michał Marcjanik,Wisła Płock,0,0,0,0,0,0,1,0,0,-
Bodvar Bodvarsson,Jagiellonia,0,0,0,0,0,0,1,0,0,-
Ognjen Gnjatić,Korona Kielce,0,0,0,0,0,0,1,0,0,-
Uros Korun,Piast Gliwice,0,0,0,0,0,0,1,0,0,-
Rafał Pietrzak,Lechia Gdańsk,0,0,0,0,0,0,1,0,0,-
Ivan Fiolić,Cracovia,0,0,0,0,0,0,1,0,0,-
Przemysław Oziębała,Raków Częstochowa,0,0,0,0,0,0,1,0,0,-
Luis Rocha,Legia Warszawa,0,0,0,0,0,0,1,0,0,-
