ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Ognjen Mudrinski,Jagiellonia,"0,0%","25,0%","0,0%",14,3,"21,4%",1,"14,00","7,1%",1
Samu Corral,ŁKS Łódź,"50,0%","25,0%","0,0%",15,3,"20,0%",3,"5,00","20,0%",14
Ivan Fiolić,Cracovia,"25,0%","0,0%","0,0%",15,3,"20,0%",0,-,"0,0%",13
Roman Prochazka,Górnik Zabrze,"100,0%","14,3%",-,15,3,"20,0%",0,-,"0,0%",8
Bartosz Kwiecień,Jagiellonia,"0,0%","16,7%","28,6%",15,3,"20,0%",1,"15,00","6,7%",4
Jan Sobociński,ŁKS Łódź,"12,5%","20,0%","33,3%",16,3,"18,8%",2,"8,00","12,5%",9
Michał Karbownik,Legia Warszawa,"0,0%","18,8%",-,18,3,"16,7%",0,-,"0,0%",28
Boris Sekulić,Górnik Zabrze,"9,1%","0,0%","50,0%",19,3,"15,8%",0,-,"0,0%",18
Milan Dimun,Cracovia,"25,0%","13,3%","0,0%",20,3,"15,0%",0,-,"0,0%",14
Mateusz Wieteska,Legia Warszawa,-,"0,0%","18,8%",20,3,"15,0%",1,"20,00","5,0%",5
Damian Dąbrowski,Pogoń Szczecin,"0,0%","14,3%",-,23,3,"13,0%",0,-,"0,0%",26
Damian Warchoł,Legia Warszawa,-,"100,0%","100,0%",2,2,"100,0%",1,"2,00","50,0%",1
Mark Tamas,Śląsk Wrocław,-,"100,0%","100,0%",2,2,"100,0%",1,"2,00","50,0%",0
Maciej Ambrosiewicz,Górnik/Wisła P,"100,0%","50,0%",-,3,2,"66,7%",0,-,"0,0%",5
Vamara Sanogo,Legia Warszawa,"100,0%","0,0%","100,0%",3,2,"66,7%",1,"3,00","33,3%",0
Łukasz Burliga,Wisła Kraków,-,"100,0%","0,0%",4,2,"50,0%",1,"4,00","25,0%",8
Mateusz Hołownia,Śląsk/Wisła K,"50,0%",-,"50,0%",4,2,"50,0%",0,-,"0,0%",6
Nabil Aankour,Arka Gdynia,"66,7%","0,0%",-,4,2,"50,0%",0,-,"0,0%",0
Rubio,Cracovia,"0,0%","100,0%",-,4,2,"50,0%",1,"4,00","25,0%",0
Sebastian Strózik,Cracovia,-,"40,0%",-,5,2,"40,0%",0,-,"0,0%",1
Piotr Samiec-Talar,Śląsk Wrocław,"33,3%",-,"50,0%",5,2,"40,0%",0,-,"0,0%",1
Wato Arweladze,Korona Kielce,-,"50,0%","0,0%",5,2,"40,0%",0,-,"0,0%",0
Olaf Nowak,Wisła P/Zagłębie,-,"40,0%",-,5,2,"40,0%",0,-,"0,0%",0
Mateusz Spychała,Korona Kielce,"0,0%","40,0%",-,6,2,"33,3%",0,-,"0,0%",13
Żarko Udovicić,Lechia Gdańsk,"40,0%",-,"0,0%",6,2,"33,3%",1,"6,00","16,7%",12
Paweł Stolarski,Legia Warszawa,-,"33,3%",-,6,2,"33,3%",0,-,"0,0%",7
Nemanja Mihajlović,Arka Gdynia,-,"33,3%",-,6,2,"33,3%",1,"6,00","16,7%",6
Christian Maghoma,Arka Gdynia,-,"33,3%","33,3%",6,2,"33,3%",0,-,"0,0%",5
Diego Ferraresso,Cracovia,-,"33,3%",-,6,2,"33,3%",1,"6,00","16,7%",4
Timur Żamaletdinow,Lech Poznań,-,"33,3%",-,6,2,"33,3%",0,-,"0,0%",4
Aleksandyr Kolew,Arka/Raków,"0,0%","50,0%","33,3%",6,2,"33,3%",0,-,"0,0%",2
Mikołaj Kwietniewski,Wisła Płock,"33,3%",-,-,6,2,"33,3%",1,"6,00","16,7%",1
Lubomir Satka,Lech Poznań,"100,0%","0,0%","33,3%",7,2,"28,6%",1,"7,00","14,3%",10
Daniel Łukasik,Lechia Gdańsk,"50,0%","20,0%",-,7,2,"28,6%",0,-,"0,0%",9
Diego Zivulić,Śląsk Wrocław,-,"40,0%","0,0%",7,2,"28,6%",0,-,"0,0%",8
Bryan Nouvier,Raków Częstochowa,"0,0%","40,0%","0,0%",7,2,"28,6%",0,-,"0,0%",5
Themistoklis Tzimopoulos,Korona Kielce,-,"0,0%","40,0%",7,2,"28,6%",1,"7,00","14,3%",1
Gieorgij Żukow,Wisła Kraków,"0,0%","28,6%",-,8,2,"25,0%",0,-,"0,0%",7
Robert Gumny,Lech Poznań,"0,0%","33,3%","0,0%",9,2,"22,2%",1,"9,00","11,1%",21
Rok Sirk,Zagłębie Lubin,-,"0,0%","33,3%",9,2,"22,2%",0,-,"0,0%",5
Maciej Żurawski,Pogoń Szczecin,"100,0%","16,7%","0,0%",9,2,"22,2%",0,-,"0,0%",5
Patryk Bryła,ŁKS Łódź,"0,0%","33,3%",-,9,2,"22,2%",0,-,"0,0%",4
David Tijanić,Raków Częstochowa,"50,0%","12,5%",-,10,2,"20,0%",1,"10,00","10,0%",19
Jarosław Kubicki,Lechia Gdańsk,"0,0%","25,0%","0,0%",10,2,"20,0%",0,-,"0,0%",17
Marko Poletanović,Jagiellonia/Raków,"0,0%","28,6%",-,10,2,"20,0%",0,-,"0,0%",14
Andrej Kadlec,Jagiellonia,"33,3%","14,3%",-,10,2,"20,0%",0,-,"0,0%",12
Wojciech Łuczak,ŁKS Łódź,"0,0%","22,2%",-,10,2,"20,0%",0,-,"0,0%",3
Błażej Augustyn,Lechia Gdańsk,-,"33,3%","16,7%",10,2,"20,0%",1,"10,00","10,0%",1
Bartłomiej Kalinkowski,ŁKS Łódź,"50,0%","0,0%",-,11,2,"18,2%",0,-,"0,0%",13
Florian Loshaj,Cracovia,"11,1%","50,0%",-,11,2,"18,2%",0,-,"0,0%",11
Michalis Manias,Pogoń Szczecin,"0,0%","0,0%","50,0%",11,2,"18,2%",0,-,"0,0%",6
Przemysław Wiśniewski,Górnik Zabrze,-,"33,3%","12,5%",11,2,"18,2%",1,"11,00","9,1%",3
Tomasz Makowski,Lechia Gdańsk,"33,3%","11,1%",-,12,2,"16,7%",0,-,"0,0%",15
Ognjen Gnjatić,Korona Kielce,"0,0%","22,2%","0,0%",14,2,"14,3%",0,-,"0,0%",16
Rafał Janicki,Wisła Kraków,"0,0%","0,0%","20,0%",14,2,"14,3%",1,"14,00","7,1%",3
Łukasz Piątek,ŁKS Łódź,"25,0%","9,1%","0,0%",16,2,"12,5%",1,"16,00","6,3%",19
Lukas Klemenz,Wisła Kraków,-,"33,3%","7,7%",16,2,"12,5%",1,"16,00","6,3%",4
Maciej Dąbrowski,Zagłębie/ŁKS,-,"12,5%","11,1%",17,2,"11,8%",0,-,"0,0%",4
Sandro Kulenović,Legia Warszawa,-,-,"100,0%",1,1,"100,0%",1,"1,00","100,0%",5
Jakub Apolinarski,Raków Częstochowa,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",4
Bohdan Butko,Lech Poznań,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",3
Tomas Huk,Piast Gliwice,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",2
Kacper Kostorz,Legia Warszawa,"100,0%",-,-,1,1,"100,0%",0,-,"0,0%",2
Kacper Smoliński,Pogoń Szczecin,-,"100,0%",-,1,1,"100,0%",1,"1,00","100,0%",2
Marcel Wędrychowski,Pogoń Szczecin,"100,0%",-,-,1,1,"100,0%",0,-,"0,0%",1
Wiktor Długosz,Korona Kielce,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",1
Iwo Kaczmarski,Korona Kielce,-,"100,0%",-,1,1,"100,0%",1,"1,00","100,0%",1
Patryk Soboczyński,Arka Gdynia,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",0
Daniel Mikołajewski,Raków Częstochowa,"100,0%","0,0%",-,2,1,"50,0%",0,-,"0,0%",3
Patryk Dziczek,Piast Gliwice,-,"50,0%",-,2,1,"50,0%",0,-,"0,0%",2
Nando,Arka Gdynia,-,"0,0%","100,0%",2,1,"50,0%",0,-,"0,0%",2
Tadej Vidmajer,ŁKS Łódź,"100,0%","0,0%",-,2,1,"50,0%",0,-,"0,0%",2
Mathieu Scalet,Śląsk Wrocław,"100,0%",-,"0,0%",2,1,"50,0%",0,-,"0,0%",2
Dawid Pakulski,Zagłębie Lubin,-,"100,0%","0,0%",2,1,"50,0%",1,"2,00","50,0%",1
Nemanja Miletić,Korona Kielce,"50,0%",-,-,2,1,"50,0%",0,-,"0,0%",1
Kacper Urbański,Lechia Gdańsk,-,"50,0%",-,2,1,"50,0%",0,-,"0,0%",1
Rafał Kobryń,Lechia Gdańsk,-,"50,0%",-,2,1,"50,0%",0,-,"0,0%",0
Marcin Grabowski,Wisła Kraków,"50,0%",-,-,2,1,"50,0%",0,-,"0,0%",0
Jewhen Radionow,ŁKS Łódź,-,"0,0%","100,0%",2,1,"50,0%",0,-,"0,0%",0
Daniel Pik,Cracovia,"0,0%","100,0%",-,2,1,"50,0%",0,-,"0,0%",0
Cafu,Legia Warszawa,-,"33,3%",-,3,1,"33,3%",0,-,"0,0%",7
Kenny Saief,Lechia Gdańsk,"50,0%","0,0%",-,3,1,"33,3%",1,"3,00","33,3%",5
Juan Bauza,Górnik Zabrze,"0,0%","0,0%","100,0%",3,1,"33,3%",0,-,"0,0%",3
Soufian Benyamina,Pogoń Szczecin,-,"50,0%","0,0%",3,1,"33,3%",0,-,"0,0%",3
Rafał Siemaszko,Arka Gdynia,-,-,"33,3%",3,1,"33,3%",0,-,"0,0%",3
Inaki Astiz,Legia Warszawa,"0,0%","50,0%",-,3,1,"33,3%",0,-,"0,0%",1
Denys Bałaniuk,Wisła Kraków,-,"50,0%","0,0%",3,1,"33,3%",0,-,"0,0%",0
Niko Datković,Cracovia,"0,0%","0,0%","100,0%",3,1,"33,3%",0,-,"0,0%",0
Daniel Szczepan,Śląsk Wrocław,-,"50,0%","0,0%",4,1,"25,0%",0,-,"0,0%",4
Thomas Rogne,Lech Poznań,-,-,"25,0%",4,1,"25,0%",1,"4,00","25,0%",2
Hubert Turski,Pogoń Szczecin,-,"33,3%","0,0%",4,1,"25,0%",0,-,"0,0%",1
Damian Oko,Zagłębie Lubin,"0,0%",-,"50,0%",5,1,"20,0%",0,-,"0,0%",5
Iker Guarrotxena,Pogoń Szczecin,-,"33,3%","0,0%",6,1,"16,7%",0,-,"0,0%",5
Suad Sahiti,Wisła Płock,"0,0%","20,0%",-,6,1,"16,7%",0,-,"0,0%",5
Damian Gąska,Śląsk Wrocław,"0,0%","20,0%",-,6,1,"16,7%",0,-,"0,0%",4
Kristers Tobers,Lechia Gdańsk,-,"0,0%","25,0%",6,1,"16,7%",0,-,"0,0%",2
Andres Lioi,Korona Kielce,"0,0%","0,0%","100,0%",7,1,"14,3%",0,-,"0,0%",12
Dawid Szymonowicz,Raków/Jagiellonia,"0,0%","33,3%","0,0%",8,1,"12,5%",0,-,"0,0%",3
Tiago Alves,Piast Gliwice,"0,0%","16,7%",-,8,1,"12,5%",0,-,"0,0%",3
Michal Siplak,Cracovia,"12,5%",-,"0,0%",9,1,"11,1%",1,"9,00","11,1%",28
Damian Pawłowski,Wisła Kraków,"0,0%","16,7%","0,0%",9,1,"11,1%",0,-,"0,0%",4
Rafał Pietrzak,Lechia Gdańsk,"0,0%","50,0%",-,10,1,"10,0%",0,-,"0,0%",13
Uros Korun,Piast Gliwice,-,"14,3%","0,0%",10,1,"10,0%",0,-,"0,0%",9
Azer Busuladzić,Arka Gdynia,"0,0%","12,5%",-,10,1,"10,0%",0,-,"0,0%",7
Jakub Czerwiński,Piast Gliwice,-,"0,0%","16,7%",11,1,"9,1%",1,"11,00","9,1%",4
Daniel Ściślak,Górnik Zabrze,"0,0%","11,1%",-,12,1,"8,3%",0,-,"0,0%",11
Filip Bainović,Górnik Zabrze,-,"8,3%",-,12,1,"8,3%",0,-,"0,0%",10
Michał Żyro,Korona Kielce,"11,1%","0,0%","0,0%",12,1,"8,3%",0,-,"0,0%",8
Jakub Wróbel,ŁKS Łódź,"0,0%","33,3%","0,0%",13,1,"7,7%",0,-,"0,0%",11
Conrado Conrado,Lechia Gdańsk,"9,1%","0,0%",-,13,1,"7,7%",1,"13,00","7,7%",7
Alan Czerwiński,Zagłębie Lubin,"0,0%","11,1%","0,0%",16,1,"6,3%",1,"16,00","6,3%",68
Jakub Szumski,Raków Częstochowa,-,-,-,0,0,-,0,-,-,4
Marcin Pietrowski,Piast Gliwice,-,-,-,0,0,-,0,-,-,3
Michael Olczyk,Arka Gdynia,-,-,-,0,0,-,0,-,-,2
Michal Pesković,Cracovia,-,-,-,0,0,-,0,-,-,2
Kacper Kozłowski,Pogoń Szczecin,-,-,-,0,0,-,0,-,-,2
Douglas Bergqvist,Arka Gdynia,-,-,-,0,0,-,0,-,-,2
Karol Struski,Jagiellonia,-,-,-,0,0,-,0,-,-,2
Dawid Lisowski,Korona Kielce,-,-,-,0,0,-,0,-,-,2
William Remy,Legia Warszawa,-,-,-,0,0,-,0,-,-,2
Michał Kołba,ŁKS Łódź,-,-,-,0,0,-,0,-,-,1
Łukasz Kosakiewicz,Korona Kielce,-,-,-,0,0,-,0,-,-,1
Bartłomiej Sielewski,Wisła Płock,-,-,-,0,0,-,0,-,-,1
Joel Valencia,Piast Gliwice,-,-,-,0,0,-,0,-,-,1
Mikołaj Wasilewski,Jagiellonia,-,-,-,0,0,-,0,-,-,1
Damian Węglarz,Jagiellonia,-,-,-,0,0,-,0,-,-,1
Frantisek Plach,Piast Gliwice,-,-,-,0,0,-,0,-,-,1
Kacper Chodyna,Zagłębie Lubin,-,-,-,0,0,-,0,-,-,1
Martin Chudy,Górnik Zabrze,-,-,-,0,0,-,0,-,-,1
Paweł Olszewski,Jagiellonia,-,-,-,0,0,-,0,-,-,1
Marek Kozioł,Korona Kielce,-,-,-,0,0,-,0,-,-,1
Radosław Cierzniak,Legia Warszawa,-,-,-,0,0,-,0,-,-,1
Aleksander Pawlak,Wisła Płock,-,-,-,0,0,-,0,-,-,1
Aleksander Paluszek,Górnik Zabrze,-,-,-,0,0,-,0,-,-,1
Daniel Chmielnicki,Arka Gdynia,-,-,-,0,0,-,0,-,-,1
Adrian Łyszczarz,Śląsk Wrocław,-,-,-,0,0,-,0,-,-,1
Jakub Wójcicki,Jagiellonia,"0,0%","0,0%","0,0%",6,0,"0,0%",0,-,"0,0%",32
Guilherme Sitya,Jagiellonia,"0,0%",-,-,5,0,"0,0%",0,-,"0,0%",22
Cezary Stefańczyk,Wisła Płock,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",12
Mateusz Matras,Górnik Zabrze,"0,0%",-,"0,0%",5,0,"0,0%",0,-,"0,0%",9
Luis Rocha,Legia Warszawa,"0,0%",-,-,5,0,"0,0%",0,-,"0,0%",8
Jakub Holubek,Piast Gliwice,"0,0%",-,-,2,0,"0,0%",0,-,"0,0%",5
Bodvar Bodvarsson,Jagiellonia,"0,0%",-,-,4,0,"0,0%",0,-,"0,0%",5
Daniel Dziwniel,Korona Kielce,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",4
Michał Marcjanik,Wisła Płock,"0,0%","0,0%","0,0%",8,0,"0,0%",0,-,"0,0%",4
Jakub Wawszczyk,Arka Gdynia,"0,0%",-,"0,0%",2,0,"0,0%",0,-,"0,0%",4
Benedikt Zech,Pogoń Szczecin,-,"0,0%",-,5,0,"0,0%",0,-,"0,0%",4
Adam Ryczkowski,Górnik Zabrze,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",4
Ben Lederman,Raków Częstochowa,"0,0%",-,-,2,0,"0,0%",0,-,"0,0%",4
Maciej Domański,Raków Częstochowa,"0,0%","0,0%",-,3,0,"0,0%",0,-,"0,0%",3
Frederik Helstrup,Arka Gdynia,"0,0%",-,"0,0%",2,0,"0,0%",0,-,"0,0%",3
Igor Łasicki,Pogoń Szczecin,-,"0,0%","0,0%",2,0,"0,0%",0,-,"0,0%",3
Przemysław Sajdak,ŁKS Łódź,"0,0%","0,0%",-,3,0,"0,0%",0,-,"0,0%",3
Bartłomiej Wdowik,Jagiellonia,"0,0%","0,0%",-,5,0,"0,0%",0,-,"0,0%",3
Juliusz Letniowski,Lech Poznań,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",3
Michał Kopczyński,Arka Gdynia,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",3
Mariusz Malec,Pogoń Szczecin,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",3
Dawid Szot,Wisła Kraków,-,"0,0%",-,3,0,"0,0%",0,-,"0,0%",3
Mateusz Sowiński,Korona Kielce,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",3
Emir Azemović,Raków Częstochowa,-,"0,0%",-,3,0,"0,0%",0,-,"0,0%",2
Arkadiusz Kasperkiewicz,Raków Częstochowa,-,"0,0%","0,0%",2,0,"0,0%",0,-,"0,0%",2
Salvador Agra,Legia Warszawa,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",2
Mile Savković,Jagiellonia,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",2
Asmir Suljić,Zagłębie Lubin,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",2
Dominik Jończy,Zagłębie Lubin,-,"0,0%","0,0%",5,0,"0,0%",0,-,"0,0%",2
Tomasz Bała,Cracovia,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",2
Carlitos,Legia Warszawa,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Adam Chrzanowski,Lechia Gdańsk,"0,0%",-,-,2,0,"0,0%",0,-,"0,0%",1
Dorde Crnomarković,Lech Poznań,"0,0%",-,"0,0%",4,0,"0,0%",0,-,"0,0%",1
Tomasz Mokwa,Piast Gliwice,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Alen Stevanović,Wisła Płock,"0,0%",-,"0,0%",2,0,"0,0%",0,-,"0,0%",1
Tymoteusz Klupś,Lech/Piast,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Przemysław Zdybowicz,Wisła Kraków,-,"0,0%","0,0%",3,0,"0,0%",0,-,"0,0%",1
Mickey van der Hart,Lech Poznań,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",1
Mateusz Radecki,Śląsk Wrocław,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Kamil Rozmus,ŁKS Łódź,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",1
Sebastian Bergier,Śląsk Wrocław,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",1
Piotr Celeban,Śląsk Wrocław,-,-,"0,0%",2,0,"0,0%",0,-,"0,0%",1
Adrian Gryszkiewicz,Górnik Zabrze,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Jakub Kałuziński,Lechia Gdańsk,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",1
Szymon Włodarczyk,Legia Warszawa,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",1
Radosław Cielemęcki,Legia Warszawa,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Goran Cvijanović,Arka Gdynia,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Nemanja Mitrović,Jagiellonia,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",0
Daniel Morys,Wisła Kraków,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Kamil Juraszek,ŁKS Łódź,-,-,"0,0%",3,0,"0,0%",0,-,"0,0%",0
Jan Łoś,Arka Gdynia,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Jarosław Fojut,Wisła Płock,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",0
Mario Maloca,Lechia Gdańsk,"0,0%","0,0%","0,0%",8,0,"0,0%",0,-,"0,0%",0
Jakub Arak,Lechia Gdańsk,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",0
Tomasz Dejewski,Lech Poznań,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",0
Luka Marić,Arka Gdynia,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",0
Dante Stipica,Pogoń Szczecin,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",0
Michał Rostkowski,Górnik Zabrze,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",0
Dariusz Pawłowski,Górnik Zabrze,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",0
Przemysław Oziębała,Raków Częstochowa,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",0
Filip Szymczak,Lech Poznań,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",0
Dawid Markiewicz,Arka Gdynia,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Andrzej Niewulis,Raków Częstochowa,-,-,"0,0%",2,0,"0,0%",0,-,"0,0%",0
Piotr Pierzchała,Korona Kielce,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Marcin Szpakowski,Śląsk Wrocław,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
