ZAWODNIK,KLUB,FAULE,FAULOWANY,SPALONE
Daniel Liszka,Górnik Zabrze,3,3,0
Dejan Janjatović,Bruk-Bet,3,2,0
Boban Jović,Śląsk Wrocław,3,1,1
Hildeberto Pereira,Legia Warszawa,3,1,1
Vernon De Marco,Lech Poznań,3,1,0
Mate Cincadze,Pogoń Szczecin,3,0,0
Sebastian Walukiewicz,Pogoń Szczecin,3,0,0
Paweł Brożek,Wisła Kraków,2,10,2
Sanel Kapidzić,Korona Kielce,2,6,3
Daniel Łuczak,Śląsk Wrocław,2,5,2
Daniel Smuga,Górnik Zabrze,2,5,0
Bodvar Bodvarsson,Jagiellonia,2,4,0
Pavels Steinbors,Arka Gdynia,2,3,0
Filip Jazvić,Arka Gdynia,2,2,2
Daniel Chima Chukwu,Legia Warszawa,2,2,0
Elvir Koljić,Lech Poznań,2,2,0
Florin Purece,Bruk-Bet,2,2,0
Przemysław Szymiński,Wisła Płock,2,1,0
Kamil Sylwestrzak,Wisła Płock,2,1,0
Przemysław Szarek,Bruk-Bet,2,1,0
Łukasz Moneta,Zagłębie Lubin,2,1,0
Dawid Błanik,Pogoń Szczecin,2,1,1
Daniel Pik,Cracovia,2,1,0
Radosław Murawski,Piast Gliwice,2,0,0
Florian Schikowski,Lechia Gdańsk,2,0,1
Jonatan Straus,Sandecja,2,0,0
Krystian Peda,Bruk-Bet,2,0,0
Radosław Kanach,Cracovia,2,0,0
Maksymilian Rogalski,Wisła Płock,2,0,0
Jaroslav Mihalik,Cracovia,1,14,0
Seweryn Kiełpin,Wisła Płock,1,10,0
Michał Gliwa,Sandecja,1,9,0
Arkadiusz Malarz,Legia Warszawa,1,7,0
Jakub Wrąbel,Śląsk Wrocław,1,5,0
Josip Barisić,Piast Gliwice,1,3,1
Ziggy Gordon,Jagiellonia,1,3,0
Maciej Korzym,Sandecja,1,3,4
Rafał Pietrzak,Zagłębie Lubin,1,3,0
Alvaro Rey,Arka Gdynia,1,2,0
Jakub Wróbel,Bruk-Bet,1,2,1
Konrad Andrzejczak,Zagłębie Lubin,1,2,0
Jakub Szmatuła,Piast Gliwice,1,2,0
Jan Łoś,Arka Gdynia,1,2,0
Adrian Benedyczak,Pogoń Szczecin,1,2,1
Tomas Vestenicky,Cracovia,1,1,0
Denys Bałaniuk,Wisła Kraków,1,1,0
Adam Wilk,Cracovia,1,1,0
Mariusz Pawełek,Jagiellonia,1,1,0
Damian Dąbrowski D,Cracovia,1,1,0
Karol Fila,Lechia Gdańsk,1,0,0
Dawid Szymonowicz,Jagiellonia,1,0,0
Sylwester Lusiusz,Cracovia,1,0,0
Łukasz Krakowczyk,Piast Gliwice,1,0,0
Dominik Lasik,Górnik Zabrze,1,0,0
Marek Wasiluk,Jagiellonia,1,0,0
Meik Karwot,Górnik Zabrze,1,0,0
Piotr Leciejewski,Zagłębie Lubin,1,0,0
Michał Żebrakowski,Arka Gdynia,1,0,0
Brian Iloski,Legia Warszawa,1,0,0
Łukasz Budziłek,Pogoń Szczecin,1,0,0
Piotr Pierzchała,Korona Kielce,1,0,0
Michał Dziubek,Korona Kielce,1,0,0
Rafał Kobryń,Lechia Gdańsk,1,0,0
Dusan Kuciak,Lechia Gdańsk,0,12,0
Tomasz Loska,Górnik Zabrze,0,10,0
Julian Cuesta,Wisła Kraków,0,8,0
Łukasz Załuska,Pogoń Szczecin,0,8,0
Jakub Słowik,Śląsk Wrocław,0,6,0
Jan Mucha,Bruk-Bet,0,4,0
Jasmin Burić,Lech Poznań,0,3,0
Martin Polacek,Zagłębie Lubin,0,3,0
Michał Buchalik,Wisła Kraków,0,3,0
Krzysztof Kiklaisz,Górnik Zabrze,0,3,0
