ZAWODNIK,KLUB,R,R celn,% R celn,R Gole,ZZA,ZZA celn,ZZA %,ZZA Gole,ZZA GOL/ZZA
Nabil Aankour,Korona Kielce,17,6,"35,3%",2,3,0,"0,0%",0,"0,0%"
Igors Tarasovs,Śląsk Wrocław,20,5,"25,0%",1,1,0,"0,0%",0,"0,0%"
Michal Piter-Bućko,Sandecja,19,5,"26,3%",3,4,0,"0,0%",0,"0,0%"
Mateusz Piątkowski,Wisła Płock,14,5,"35,7%",2,2,0,"0,0%",0,"0,0%"
Alan Uryga,Wisła Płock,10,5,"50,0%",4,1,0,"0,0%",0,"0,0%"
Sasa Balić,Zagłębie Lubin,17,4,"23,5%",1,1,0,"0,0%",0,"0,0%"
Adam Chrzanowski,Lechia Gdańsk,6,4,"66,7%",1,1,0,"0,0%",0,"0,0%"
Michał Koj,Górnik Zabrze,13,3,"23,1%",3,5,0,"0,0%",0,"0,0%"
Jarosław Fojut,Pogoń Szczecin,9,3,"33,3%",0,1,0,"0,0%",0,"0,0%"
Michael Gardawski,Korona Kielce,9,3,"33,3%",0,5,0,"0,0%",0,"0,0%"
Jarosław Jach,Zagłębie Lubin,8,3,"37,5%",1,1,0,"0,0%",0,"0,0%"
Marko Vesović,Legia Warszawa,8,3,"37,5%",1,4,0,"0,0%",0,"0,0%"
Mariusz Pawelec,Śląsk Wrocław,6,3,"50,0%",0,3,0,"0,0%",0,"0,0%"
Fran Velez,Wisła Kraków,6,3,"50,0%",1,1,0,"0,0%",0,"0,0%"
Tymoteusz Klupś,Lech Poznań,6,3,"50,0%",0,1,0,"0,0%",0,"0,0%"
Nicolai Brock-Madsen,Cracovia,5,3,"60,0%",1,1,0,"0,0%",0,"0,0%"
Martin Miković,Bruk-Bet,14,2,"14,3%",0,10,0,"0,0%",0,"0,0%"
Lasza Dwali,Pogoń Szczecin,12,2,"16,7%",2,1,0,"0,0%",0,"0,0%"
Pawło Ksionz,Sandecja,10,2,"20,0%",0,4,0,"0,0%",0,"0,0%"
Ken Kallaste,Korona Kielce,8,2,"25,0%",1,2,0,"0,0%",0,"0,0%"
Elhadji Pape Diaw,Korona Kielce,7,2,"28,6%",1,2,0,"0,0%",0,"0,0%"
Oskar Zawada,Wisła Płock,7,2,"28,6%",0,2,0,"0,0%",0,"0,0%"
Błażej Augustyn,Lechia Gdańsk,6,2,"33,3%",2,2,0,"0,0%",0,"0,0%"
Matic Fink,Cracovia,6,2,"33,3%",2,3,0,"0,0%",0,"0,0%"
Antoni Łukasiewicz,Arka Gdynia,4,2,"50,0%",1,1,0,"0,0%",0,"0,0%"
Martin Nespor,Zagłębie Lubin,3,2,"66,7%",2,1,0,"0,0%",0,"0,0%"
Łukasz Broź,Legia Warszawa,11,1,"9,1%",1,6,0,"0,0%",0,"0,0%"
Michał Mak,Śląsk Wrocław,10,1,"10,0%",1,5,0,"0,0%",0,"0,0%"
Eduardo,Legia Warszawa,10,1,"10,0%",0,3,0,"0,0%",0,"0,0%"
Łukasz Janoszka,Zagłębie Lubin,9,1,"11,1%",0,4,0,"0,0%",0,"0,0%"
Paweł Żyra,Zagłębie Lubin,9,1,"11,1%",0,7,0,"0,0%",0,"0,0%"
