ZAWODNIK,KLUB,POZYCJA,MIN BEZ GOLA,MECZE BEZ GOLA,OSTATNI GOL,OSTATNI GOL PRZECIW,MIN BEZ GOLA LUB ASYSTY,MECZE BEZ GOLA LUB ASYSTY,OSTATNI GOL LUB ASYSTA,OSTATNI GOL LUB ASYSTA PRZECIW
Piotr Samiec-Talar,Śląsk Wrocław,napastnik,349,11,23.10.2022,Jagiellonia,349,11,23.10.2022,Jagiellonia
Taras Romanczuk,Jagiellonia Białystok,pomocnik,342,5,10.04.2023,Lechia,342,5,10.04.2023,Lechia
Kristoffer Hansen,Widzew Łódź,pomocnik,340,11,24.02.2023,Legia,55,2,08.05.2023,Miedź
Maxime Dominguez,Miedź Legnica,pomocnik,333,3,10.04.2023,Legia,135,1,01.05.2023,Cracovia
Benjamin Kallman,Cracovia,napastnik,329,5,22.04.2023,Lechia,329,5,22.04.2023,Lechia
Filip Koperski,Lechia Gdańsk,pomocnik,326,9,20.02.2022,Lech,326,9,20.02.2022,Lech
Damian Rasak,Górnik Zabrze,pomocnik,322,3,05.05.2023,Warta,322,3,05.05.2023,Warta
Piotr Krawczyk,Górnik Zabrze,napastnik,321,5,23.04.2023,Śląsk,87,2,13.05.2023,Widzew
Heorhij Citaiszwili,Lech Poznań,pomocnik,313,3,09.10.2022,Radomiak,313,3,09.10.2022,Radomiak
Igor Strzałek,Legia Warszawa,pomocnik,312,14,-,-,53,0,27.05.2023,Śląsk
Mateusz Lewandowski,Wisła Płock,napastnik,309,10,14.10.2022,Legia,309,10,14.10.2022,Legia
Marcin Cebula,Raków Częstochowa,pomocnik,308,9,18.03.2023,Cracovia,308,9,18.03.2023,Cracovia
Sebastian Strózik,Cracovia,napastnik,302,18,15.12.2018,Pogoń,302,18,15.12.2018,Pogoń
Tomasz Kupisz,Jagiellonia Białystok,pomocnik,297,11,11.02.2023,Pogoń,297,11,11.02.2023,Pogoń
Marc Gual,Jagiellonia Białystok,napastnik,293,3,05.05.2023,Śląsk,254,2,12.05.2023,Legia
Kamil Wilczek,Piast Gliwice,napastnik,277,3,23.04.2023,Widzew,277,3,23.04.2023,Widzew
Michał Skóraś,Lech Poznań,pomocnik,274,3,06.05.2023,Cracovia,93,1,19.05.2023,Korona
Mateusz Mak,Stal Mielec,pomocnik,274,7,08.04.2023,Widzew,274,7,08.04.2023,Widzew
Giannis Papanikolaou,Raków Częstochowa,pomocnik,270,3,28.04.2023,Lechia,270,3,28.04.2023,Lechia
Tihomir Kostadinov,Piast Gliwice,pomocnik,264,6,-,-,113,2,20.03.2022,Cracovia
Jani Atanasov,Cracovia,pomocnik,257,6,08.04.2023,Pogoń,25,0,27.05.2023,Wisła P
Rauno Sappinen,Stal Mielec,napastnik,250,4,22.04.2023,Pogoń,250,4,22.04.2023,Pogoń
Jakub Świerczok,Zagłębie Lubin,napastnik,238,5,16.05.2021,Wisła K.,172,5,16.05.2021,Wisła K.
Patryk Szwedzik,Śląsk Wrocław,napastnik,236,9,-,-,236,9,-,-
Josue,Legia Warszawa,pomocnik,235,2,12.05.2023,Jagiellonia,41,0,27.05.2023,Śląsk
Jarosław Kubicki,Lechia Gdańsk,pomocnik,233,2,06.05.2023,Zagłębie L,233,2,06.05.2023,Zagłębie L
Bartosz Nowak,Raków Częstochowa,pomocnik,232,5,22.04.2023,Miedź,232,5,22.04.2023,Miedź
Damian Dąbrowski,Pogoń Szczecin,pomocnik,228,2,14.05.2023,Miedź,228,2,14.05.2023,Miedź
Joao Amaral,Lech Poznań,pomocnik,226,9,06.11.2022,Korona,108,7,26.02.2023,Śląsk
Fabian Piasecki,Raków Częstochowa,napastnik,222,3,28.04.2023,Lechia,222,3,28.04.2023,Lechia
Kanji Okunuki,Górnik Zabrze,pomocnik,215,4,23.04.2023,Śląsk,215,4,23.04.2023,Śląsk
Dawid Drachal,Miedź Legnica,pomocnik,215,4,01.05.2023,Cracovia,215,4,01.05.2023,Cracovia
Maciej Bortniczuk,Jagiellonia Białystok,napastnik,203,9,04.09.2022,Zagłębie L,203,9,04.09.2022,Zagłębie L
Marcel Wędrychowski,Pogoń Szczecin,pomocnik,202,8,11.03.2023,Zagłębie L,202,8,11.03.2023,Zagłębie L
Anthony van den Hurk,Górnik Zabrze,napastnik,201,5,26.02.2023,Stal,201,5,26.02.2023,Stal
Karol Borys,Śląsk Wrocław,pomocnik,198,7,-,-,198,7,-,-
Stefan Savić,Warta Poznań,pomocnik,195,2,15.05.2023,Radomiak,195,2,15.05.2023,Radomiak
Bartłomiej Pawłowski,Widzew Łódź,pomocnik,192,2,13.05.2023,Górnik Z,40,1,13.05.2023,Górnik Z
Mikael Ishak,Lech Poznań,napastnik,189,2,02.04.2023,Pogoń,77,1,08.04.2023,Warta
Kacper Chodyna,Zagłębie Lubin,pomocnik,187,2,06.05.2023,Lechia,17,0,27.05.2023,Raków
Dominik Kun,Widzew Łódź,pomocnik,183,2,08.05.2023,Miedź,183,2,08.05.2023,Miedź
Andrejs Ciganiks,Widzew Łódź,pomocnik,180,2,13.05.2023,Górnik Z,180,2,13.05.2023,Górnik Z
Daisuke Yokota,Górnik Zabrze,pomocnik,174,2,13.05.2023,Widzew,174,2,13.05.2023,Widzew
Ernest Muci,Legia Warszawa,napastnik,174,2,12.05.2023,Jagiellonia,174,2,12.05.2023,Jagiellonia
Frank Castaneda,Radomiak Radom,pomocnik,174,1,21.05.203,Widzew,95,1,21.05.2023,Widzew
Miłosz Szczepański,Warta Poznań,pomocnik,172,5,14.04.2023,Śląsk,172,5,14.04.2023,Śląsk
Nene,Jagiellonia Białystok,pomocnik,171,2,29.04.2023,Warta,171,2,29.04.2023,Warta
Michael Ameyaw,Piast Gliwice,pomocnik,171,2,12.05.2023,Korona,171,2,12.05.2023,Korona
Camilo Mena,Jagiellonia Białystok,napastnik,169,7,-,-,169,7,-,-
Jesus Imaz,Jagiellonia Białystok,pomocnik,166,1,20.05.2023,Cracovia,166,1,20.05.2023,Cracovia
Jakub Sypek,Widzew Łódź,pomocnik,165,7,17.09.2022,Stal,130,5,13.03.2023,Wisła P
Michał Chrapek,Piast Gliwice,pomocnik,164,1,22.05.2023,Warta,164,1,22.05.2023,Warta
Wahan Biczachczjan,Pogoń Szczecin,pomocnik,162,3,07.05.2023,Legia,162,3,07.05.2023,Legia
Ernest Terpiłowski,Widzew Łódź,napastnik,160,1,21.05.2023,Radomiak,160,1,21.05.2023,Radomiak
Jakub Myszor,Cracovia,pomocnik,158,9,16.10.2022,Miedź,158,9,16.10.2022,Miedź
Vladislavs Gutkovskis,Raków Częstochowa,napastnik,158,4,28.04.2023,Lechia,158,4,28.04.2023,Lechia
Afonso Sousa,Lech Poznań,pomocnik,156,2,16.04.2023,Legia,156,2,16.04.2023,Legia
Dani Pacheco,Górnik Zabrze,pomocnik,149,2,13.05.2023,Widzew,149,2,13.05.2023,Widzew
Łukasz Sekulski,Wisła Płock,napastnik,142,1,21.05.2023,Raków,0,0,21.05.2023,Raków
Patryk Lipski,Widzew Łódź,pomocnik,141,7,20.08.2022,Warta,141,7,20.08.2022,Warta
Filip Kocaba,Zagłębie Lubin,pomocnik,141,3,-,-,141,3,-,-
Jakub Kisiel,Legia Warszawa,pomocnik,140,5,-,-,140,5,-,-
Sasa Zivec,Zagłębie Lubin,pomocnik,139,5,18.03.2023,Jagiellonia,139,5,18.03.2023,Jagiellonia
Petr Schwarz,Śląsk Wrocław,pomocnik,138,1,21.05.2023,Miedź,120,1,21.05.2023,Miedź
Milan Kvocera,Wisła Płock,napastnik,138,10,-,-,138,10,-,-
Jewhen Konoplanka,Cracovia,pomocnik,135,4,01.05.2023,Miedź,135,4,01.05.2023,Miedź
Alex Sobczyk,Piast Gliwice,napastnik,135,12,07.05.2021,Jagiellonia,135,12,07.05.2021,Jagiellonia
Sebastian Kowalczyk,Pogoń Szczecin,pomocnik,135,3,22.04.2023,Stal,71,1,20.05.2023,Górnik Z
Dawid Kurminowski,Zagłębie Lubin,napastnik,131,1,19.05.2023,Stal,131,1,19.05.2023,Stal
Bartosz Śpiączka,Wisła Płock,napastnik,128,2,13.05.2023,Śląsk,128,2,13.05.2023,Śląsk
Kajetan Szmyt,Warta Poznań,pomocnik,127,1,22.05.2023,Piast,127,1,22.05.2023,Warta
Łukasz Łakomy,Zagłębie Lubin,pomocnik,126,2,13.05.2023,Cracovia,75,1,19.05.2023,Stal
Juliusz Letniowski,Widzew Łódź,pomocnik,123,3,23.04.2023,Piast,123,3,23.04.2023,Piast
Tomas Pekhart,Legia Warszawa,napastnik,120,2,16.04.2023,Lech,120,2,16.04.2023,Lech
Filipe Nascimento,Radomiak Radom,pomocnik,116,1,31.10.2022,Warta,63,0,06.11.2022,Widzew
Filip Marchwiński,Lech Poznań,pomocnik,115,1,19.05.2023,Korona,115,1,19.05.2023,Korona
Szymon Matuszek,Miedź Legnica,pomocnik,113,5,12.11.2022,Górnik Z,113,5,12.11.2022,Górnik Z
Amadej Marosa,Górnik Zabrze,napastnik,112,5,-,-,112,5,-,-
Kristoffer Velde,Lech Poznań,pomocnik,109,1,19.05.2023,Korona,109,1,19.05.2023,Korona
Nahuel Leiva,Śląsk Wrocław,pomocnik,108,1,21.05.2023,Miedź,108,1,21.05.2023,Miedź
Robert Dadok,Górnik Zabrze,pomocnik,99,3,05.05.2023,Warta,99,3,05.05.2023,Warta
Tornike Gaprindaszwili,Zagłębie Lubin,pomocnik,97,1,19.05.2023,Stal,97,1,19.05.2023,Stal
Lisandro Semedo,Radomiak Radom,pomocnik,95,1,15.05.2023,Warta,95,1,45061,Warta
Szczepan Mucha,Piast Gliwice,pomocnik,92,6,-,-,92,6,-,-
Kacper Kostorz,Korona Kielce,napastnik,91,8,11.03.2023,Radomiak,91,8,11.03.2023,Radomiak
Władysław Koczerhin,Raków Częstochowa,pomocnik,86,1,21.05.2023,Wisła P,6,0,27.05.2023,Zagłębie L
Erik Exposito,Śląsk Wrocław,napastnik,84,0,27.05.2023,Legia,84,0,27.05.2023,Legia
John Yeboah,Śląsk Wrocław,pomocnik,84,0,21.05.2023,Miedź,84,0,27.05.2023,Legia
Krzysztof Janus,Wisła Płock,pomocnik,78,1,12.05.2018,Bruk-Bet,78,1,12.05.2018,Bruk-Bet
Damian Warchoł,Wisła Płock,napastnik,75,2,08.04.2023,Zagłębie L,75,2,08.04.2023,Zagłębie L
Dawid Błanik,Korona Kielce,pomocnik,71,0,27.05.2023,Widzew,36,0,27.05.2023,Widzew
Miroslav Gono,Wisła Płock,pomocnik,71,4,-,-,71,4,-,-
Chuca,Miedź Legnica,pomocnik,64,0,14.05.2023,Pogoń,64,0,14.05.2023,Pogoń
Krystian Okoniewski,Radomiak Radom,pomocnik,64,5,-,-,64,5,-,-
Kacper Smoliński,Pogoń Szczecin,pomocnik,60,1,04.09.2022,Korona,60,1,04.09.2022,Korona
Filip Zawadzki,Widzew Łódź,pomocnik,60,3,-,-,60,3,-,-
Artur Sobiech,Lech Poznań,napastnik,57,0,27.05.2023,Jagiellonia,57,0,27.05.2023,Jagiellonia
Kamil Grosicki,Pogoń Szczecin,pomocnik,56,0,27.05.2023,Radomiak,43,0,27.05.2023,Radomiak
Szymon Sarbinowski,Warta Poznań,pomocnik,53,3,-,-,53,3,-,-
Paweł Chrupałła,Wisła Płock,pomocnik,53,2,-,-,53,2,-,-
