ZAWODNIK,KLUB,GOLE,G KARNY,G ROŻNY,G WOLNY,G WOLNY BEZP,G AUT,AS SFG,PO SFG,Z GRY,%GOLI PO SFG
Dariusz Pawłowski,Górnik Zabrze,0,0,0,0,0,0,0,0,0,-
Dominik Jończy,Zagłębie Lubin,0,0,0,0,0,0,0,0,0,-
Erik Janza,Górnik Zabrze,0,0,0,0,0,0,1,0,0,-
Ivan Marquez,Cracovia,0,0,0,0,0,0,0,0,0,-
Kacper Gach,Podbeskidzie,0,0,0,0,0,0,0,0,0,-
Lubambo Musonda,Śląsk Wrocław,0,0,0,0,0,0,0,0,0,-
Lubomir Satka,Lech Poznań,0,0,0,0,0,0,1,0,0,-
Łukasz Sierpina,Podbeskidzie,0,0,0,0,0,0,3,0,0,-
Maciej Rosołek,Legia Warszawa,0,0,0,0,0,0,0,0,0,-
Mateusz Wdowiak,Cracovia/Raków,0,0,0,0,0,0,0,0,0,-
Paweł Olszewski,Jagiellonia,0,0,0,0,0,0,0,0,0,-
Piotr Samiec-Talar,Śląsk Wrocław,0,0,0,0,0,0,0,0,0,-
Sasa Zivec,Zagłębie Lubin,0,0,0,0,0,0,0,0,0,-
Bartosz Jaroch,Podbeskidzie,0,0,0,0,0,0,0,0,0,-
Damian Zbozień,Wisła Płock,0,0,0,0,0,0,1,0,0,-
Igor Sapała,Raków Częstochowa,0,0,0,0,0,0,0,0,0,-
Paweł Stolarski,Legia/Pogoń,0,0,0,0,0,0,0,0,0,-
Matej Rodin,Cracovia,0,0,0,0,0,0,2,0,0,-
Wojciech Szumilas,Wisła Płock,0,0,0,0,0,0,0,0,0,-
Maciej Urbańczyk,Stal Mielec,0,0,0,0,0,0,0,0,0,-
Jakub Holubek,Piast Gliwice,0,0,0,0,0,0,1,0,0,-
Dino Stiglec,Śląsk Wrocław,0,0,0,0,0,0,1,0,0,-
Rafał Figiel,Podbeskidzie,0,0,0,0,0,0,0,0,0,-
Łukasz Poręba,Zagłębie Lubin,0,0,0,0,0,0,0,0,0,-
Wasyl Kraweć,Lech Poznań,0,0,0,0,0,0,0,0,0,-
Damir Sadiković,Cracovia,0,0,0,0,0,0,0,0,0,-
Maciej Wilusz,Raków/Śląsk,0,0,0,0,0,0,0,0,0,-
Roman Prochazka,Górnik Zabrze,0,0,0,0,0,0,0,0,0,-
Jakub Szumski,Raków Częstochowa,0,0,0,0,0,0,0,0,0,-
Fernan Ferreiroa,Jagiellonia,0,0,0,0,0,0,0,0,0,-
Dawid Abramowicz,Wisła Kraków,0,0,0,0,0,0,2,0,0,-
Vullnet Basha,Wisła Kraków,0,0,0,0,0,0,0,0,0,-
Michał Karbownik,Legia Warszawa,0,0,0,0,0,0,0,0,0,-
Adrian Laskowski,Warta Poznań,0,0,0,0,0,0,1,0,0,-
Cillian Sheridan,Wisła Płock,0,0,0,0,0,0,1,0,0,-
Marko Poletanović,Raków Częstochowa,0,0,0,0,0,0,0,0,0,-
Milan Dimun,Cracovia,0,0,0,0,0,0,0,0,0,-
Hubert Matynia,Pogoń Szczecin,0,0,0,0,0,0,2,0,0,-
Joel Valencia,Legia Warszawa,0,0,0,0,0,0,0,0,0,-
Walerian Gwilia,Legia Warszawa,0,0,0,0,0,0,0,0,0,-
Patryk Zaucha,Cracovia,0,0,0,0,0,0,0,0,0,-
Alan Czerwiński,Lech Poznań,0,0,0,0,0,0,2,0,0,-
Bodvar Bodvarsson,Jagiellonia,0,0,0,0,0,0,0,0,0,-
Dmytro Baszłaj,Podbeskidzie,0,0,0,0,0,0,0,0,0,-
Martin Konczkowski,Piast Gliwice,0,0,0,0,0,0,0,0,0,-
Filip Bainović,Górnik Zabrze,0,0,0,0,0,0,0,0,0,-
