ZAWODNIK,KLUB,R,R celn,% R celn,R Gole,ZZA,ZZA celn,ZZA %,ZZA Gole,ZZA GOL/ZZA
David Niepsuj,Wisła Kraków,4,1,"25,0%",1,2,0,"0,0%",0,"0,0%"
Kristers Tobers,Lechia Gdańsk,4,1,"25,0%",0,1,0,"0,0%",0,"0,0%"
David Jablonsky,Cracovia,4,1,"25,0%",1,2,0,"0,0%",0,"0,0%"
Alan Czerwiński,Lech Poznań,6,1,"16,7%",0,4,0,"0,0%",0,"0,0%"
Milan Rundić,Podbeskidzie,6,1,"16,7%",1,3,0,"0,0%",0,"0,0%"
Joel Valencia,Legia Warszawa,6,1,"16,7%",0,3,0,"0,0%",0,"0,0%"
Dominik Jończy,Zagłębie Lubin,6,1,"16,7%",0,2,0,"0,0%",0,"0,0%"
Dariusz Pawłowski,Górnik Zabrze,7,1,"14,3%",0,4,0,"0,0%",0,"0,0%"
Filip Laskowski,Podbeskidzie,7,1,"14,3%",0,3,0,"0,0%",0,"0,0%"
Santeri Hostikka,Pogoń Szczecin,8,1,"12,5%",0,5,0,"0,0%",0,"0,0%"
Błażej Augustyn,Jagiellonia,8,1,"12,5%",0,1,0,"0,0%",0,"0,0%"
Mateusz Żukowski,Lechia Gdańsk,8,1,"12,5%",0,2,0,"0,0%",0,"0,0%"
Piotr Pyrdoł,Wisła Płock,9,1,"11,1%",0,5,0,"0,0%",0,"0,0%"
Bartosz Kwiecień,Jagiellonia,10,1,"10,0%",0,4,0,"0,0%",0,"0,0%"
Gergo Kocsis,Podbeskidzie,12,1,"8,3%",0,10,0,"0,0%",0,"0,0%"
Mateusz Żyro,Stal Mielec,12,1,"8,3%",0,5,0,"0,0%",0,"0,0%"
Cornel Rapa,Cracovia,13,1,"7,7%",1,5,0,"0,0%",0,"0,0%"
Domagoj Antolić,Legia Warszawa,5,0,"0,0%",0,3,0,"0,0%",0,"0,0%"
Petar Mamić,Podbeskidzie,7,0,"0,0%",0,3,0,"0,0%",0,"0,0%"
Nika Kwekweskiri,Lech Poznań,8,0,"0,0%",0,7,0,"0,0%",0,"0,0%"
Lubomir Satka,Lech Poznań,5,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Kacper Gach,Podbeskidzie,3,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Adrian Laskowski,Warta Poznań,5,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Jakub Łabojko,Śląsk Wrocław,2,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Albin Granlund,Stal Mielec,7,0,"0,0%",0,4,0,"0,0%",0,"0,0%"
Michał Rostkowski,Górnik Zabrze,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Fatos Beciraj,Wisła Kraków,6,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Mateusz Hołownia,Legia Warszawa,4,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Kamil Jóźwiak,Lech Poznań,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Michał Mak,Wisła Kraków,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Mariusz Pawelec,Śląsk Wrocław,4,0,"0,0%",0,3,0,"0,0%",0,"0,0%"
Kris Twardek,Jagiellonia,3,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Adam Ratajczyk,Zagłębie Lubin,2,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Łukasz Łakomy,Zagłębie Lubin,4,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Airam Cabrera,Wisła Płock,6,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Jakub Kosecki,Cracovia,9,0,"0,0%",0,4,0,"0,0%",0,"0,0%"
Ernest Muci,Legia Warszawa,4,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Robert Gumny,Lech Poznań,2,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Damian Pawłowski,Stal Mielec,3,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Kajetan Szmyt,Warta Poznań,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Konrad Gruszkowski,Wisła Kraków,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Diego Ferraresso,Cracovia,2,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Igor Lewczuk,Legia Warszawa,6,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Kacper Sadłocha,Stal Mielec,2,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Łukasz Seweryn,Stal Mielec,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Maula Vikri Egy,Lechia Gdańsk,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
