ZAWODNIK,KLUB,Strzały,G,xG,xG/s,G-xG,non-pen xG,non-pen xG/s,G - xG NON-PEN,KP,AST,xAST,KP-xAST
Jewgienij Baszkirow,Zagłębie Lubin,13,2,"0,425","0,033","1,575","0,425","0,033","1,575",9,1,"0,390","0,610"
Marcus Vinicius,Arka Gdynia,13,3,"1,476","0,114","1,524","1,476","0,114","1,524",5,1,"0,709","0,291"
Jorge Felix,Piast Gliwice,86,16,"13,522","0,157","2,478","10,522","0,128","1,478",51,3,"5,031","-2,031"
Erik Pacinda,Korona Kielce,44,4,"2,540","0,058","1,460","2,540","0,058","1,460",29,1,"2,340","-1,340"
Paweł Wszołek,Legia Warszawa,42,6,"4,559","0,109","1,441","4,559","0,109","1,441",49,8,"7,903","0,097"
Stavros Vassilantonopoulos,Górnik Zabrze,7,2,"0,588","0,084","1,412","0,588","0,084","1,412",7,0,"0,932","-0,932"
Ivan Runje,Jagiellonia,17,3,"1,596","0,094","1,404","1,596","0,094","1,404",6,1,"0,797","0,203"
Maciej Jankowski,Arka Gdynia,43,8,"6,599","0,153","1,401","6,599","0,153","1,401",34,1,"2,279","-1,279"
Krzysztof Mączyński,Śląsk Wrocław,37,4,"2,394","0,065","1,606","1,644","0,046","1,356",36,3,"2,668","0,332"
Giorgi Merebaszwili,Wisła Płock,46,4,"2,645","0,058","1,355","2,645","0,058","1,355",22,4,"1,968","2,032"
Jaroslav Mihalik,Lechia Gdańsk,12,2,"0,648","0,054","1,352","0,648","0,054","1,352",15,1,"2,212","-1,212"
Jakub Łabojko,Śląsk Wrocław,22,2,"0,651","0,030","1,349","0,651","0,030","1,349",19,1,"1,119","-0,119"
Erik Exposito,Śląsk Wrocław,63,8,"7,414","0,118","0,586","6,664","0,107","1,336",31,3,"2,656","0,344"
Dawid Kocyła,Wisła Płock,6,3,"1,693","0,282","1,307","1,693","0,282","1,307",6,0,"0,701","-0,701"
Artur Sobiech,Lechia Gdańsk,20,6,"4,196","0,210","1,804","2,696","0,150","1,304",17,2,"1,368","0,632"
Łukasz Broź,Śląsk Wrocław,13,3,"1,449","0,111","1,551","0,699","0,058","1,301",12,1,"0,895","0,105"
Dominik Furman,Wisła Płock,58,7,"5,716","0,099","1,284","2,716","0,050","1,284",99,5,"8,064","-3,064"
Cornel Rapa,Cracovia,26,3,"1,725","0,066","1,275","1,725","0,066","1,275",33,4,"3,792","0,208"
Samu Corral,ŁKS Łódź,15,3,"1,775","0,118","1,225","1,775","0,118","1,225",14,1,"0,873","0,127"
Piotr Tomasik,Wisła Płock,21,3,"1,794","0,085","1,206","1,794","0,085","1,206",21,2,"2,214","-0,214"
Jakub Rzeźniczak,Wisła Płock,6,2,"0,803","0,134","1,197","0,803","0,134","1,197",3,1,"0,458","0,542"
Damian Michalski,Wisła Płock,32,4,"2,814","0,088","1,186","2,814","0,088","1,186",7,0,"0,460","-0,460"
Walerian Gwilia,Legia Warszawa,70,8,"6,826","0,098","1,174","6,826","0,098","1,174",73,5,"5,507","-0,507"
Carlos Moros Gracia,ŁKS Łódź,6,2,"0,838","0,140","1,162","0,838","0,140","1,162",3,1,"0,187","0,813"
Adam Danch,Arka Gdynia,11,2,"0,853","0,078","1,147","0,853","0,078","1,147",7,2,"1,298","0,702"
Alan Uryga,Wisła Płock,33,4,"2,869","0,087","1,131","2,869","0,087","1,131",2,0,"0,042","-0,042"
Igor Sapała,Raków Częstochowa,36,2,"0,994","0,028","1,006","0,994","0,028","1,006",23,1,"0,879","0,121"
Łukasz Sekulski,ŁKS Łódź,27,5,"4,496","0,167","0,504","2,996","0,120","1,004",9,1,"0,473","0,527"
