ZAWODNIK,KLUB,R,R celn,% R celn,R Gole,ZZA,ZZA celn,ZZA %,ZZA Gole,ZZA GOL/ZZA
Piotr Pyrdoł,ŁKS/Legia,14,3,"21,4%",1,5,0,"0,0%",0,"0,0%"
Samu Corral,ŁKS Łódź,15,3,"20,0%",3,5,0,"0,0%",0,"0,0%"
Mateusz Wieteska,Legia Warszawa,20,3,"15,0%",1,1,0,"0,0%",0,"0,0%"
Mateusz Hołownia,Śląsk/Wisła K,4,2,"50,0%",0,1,0,"0,0%",0,"0,0%"
Nabil Aankour,Arka Gdynia,4,2,"50,0%",0,1,0,"0,0%",0,"0,0%"
Sebastian Strózik,Cracovia,5,2,"40,0%",0,2,0,"0,0%",0,"0,0%"
Olaf Nowak,Wisła P/Zagłębie,5,2,"40,0%",0,2,0,"0,0%",0,"0,0%"
Aleksandyr Kolew,Arka/Raków,6,2,"33,3%",0,1,0,"0,0%",0,"0,0%"
Bryan Nouvier,Raków Częstochowa,7,2,"28,6%",0,2,0,"0,0%",0,"0,0%"
Themistoklis Tzimopoulos,Korona Kielce,7,2,"28,6%",1,1,0,"0,0%",0,"0,0%"
Robert Gumny,Lech Poznań,9,2,"22,2%",1,3,0,"0,0%",0,"0,0%"
Rok Sirk,Zagłębie Lubin,9,2,"22,2%",0,1,0,"0,0%",0,"0,0%"
Maciej Żurawski,Pogoń Szczecin,9,2,"22,2%",0,5,0,"0,0%",0,"0,0%"
Błażej Augustyn,Lechia Gdańsk,10,2,"20,0%",1,1,0,"0,0%",0,"0,0%"
Michalis Manias,Pogoń Szczecin,11,2,"18,2%",0,1,0,"0,0%",0,"0,0%"
Przemysław Wiśniewski,Górnik Zabrze,11,2,"18,2%",1,2,0,"0,0%",0,"0,0%"
Rafał Janicki,Wisła Kraków,14,2,"14,3%",1,2,0,"0,0%",0,"0,0%"
Lukas Klemenz,Wisła Kraków,16,2,"12,5%",1,1,0,"0,0%",0,"0,0%"
Daniel Mikołajewski,Raków Częstochowa,2,1,"50,0%",0,1,0,"0,0%",0,"0,0%"
Tadej Vidmajer,ŁKS Łódź,2,1,"50,0%",0,1,0,"0,0%",0,"0,0%"
Jewhen Radionow,ŁKS Łódź,2,1,"50,0%",0,1,0,"0,0%",0,"0,0%"
Juan Bauza,Górnik Zabrze,3,1,"33,3%",0,2,0,"0,0%",0,"0,0%"
Daniel Szczepan,Śląsk Wrocław,4,1,"25,0%",0,1,0,"0,0%",0,"0,0%"
Damian Oko,Zagłębie Lubin,5,1,"20,0%",0,2,0,"0,0%",0,"0,0%"
Iker Guarrotxena,Pogoń Szczecin,6,1,"16,7%",0,2,0,"0,0%",0,"0,0%"
Suad Sahiti,Wisła Płock,6,1,"16,7%",0,4,0,"0,0%",0,"0,0%"
Damian Gąska,Śląsk Wrocław,6,1,"16,7%",0,2,0,"0,0%",0,"0,0%"
Kristers Tobers,Lechia Gdańsk,6,1,"16,7%",0,2,0,"0,0%",0,"0,0%"
Andres Lioi,Korona Kielce,7,1,"14,3%",0,5,0,"0,0%",0,"0,0%"
Dawid Szymonowicz,Raków/Jagiellonia,8,1,"12,5%",0,2,0,"0,0%",0,"0,0%"
Michal Siplak,Cracovia,9,1,"11,1%",1,4,0,"0,0%",0,"0,0%"
Damian Pawłowski,Wisła Kraków,9,1,"11,1%",0,1,0,"0,0%",0,"0,0%"
Rafał Pietrzak,Lechia Gdańsk,10,1,"10,0%",0,6,0,"0,0%",0,"0,0%"
Uros Korun,Piast Gliwice,10,1,"10,0%",0,2,0,"0,0%",0,"0,0%"
Jakub Czerwiński,Piast Gliwice,11,1,"9,1%",1,3,0,"0,0%",0,"0,0%"
Michał Żyro,Korona Kielce,12,1,"8,3%",0,2,0,"0,0%",0,"0,0%"
Conrado Conrado,Lechia Gdańsk,13,1,"7,7%",1,1,0,"0,0%",0,"0,0%"
Alan Czerwiński,Zagłębie Lubin,16,1,"6,3%",1,8,0,"0,0%",0,"0,0%"
Jakub Wójcicki,Jagiellonia,6,0,"0,0%",0,4,0,"0,0%",0,"0,0%"
Guilherme Sitya,Jagiellonia,5,0,"0,0%",0,5,0,"0,0%",0,"0,0%"
Cezary Stefańczyk,Wisła Płock,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Luis Rocha,Legia Warszawa,5,0,"0,0%",0,4,0,"0,0%",0,"0,0%"
Jakub Holubek,Piast Gliwice,2,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Bodvar Bodvarsson,Jagiellonia,4,0,"0,0%",0,4,0,"0,0%",0,"0,0%"
Michał Marcjanik,Wisła Płock,8,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Jakub Wawszczyk,Arka Gdynia,2,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Benedikt Zech,Pogoń Szczecin,5,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Adam Ryczkowski,Górnik Zabrze,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Ben Lederman,Raków Częstochowa,2,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Maciej Domański,Raków Częstochowa,3,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Frederik Helstrup,Arka Gdynia,2,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Przemysław Sajdak,ŁKS Łódź,3,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Bartłomiej Wdowik,Jagiellonia,5,0,"0,0%",0,4,0,"0,0%",0,"0,0%"
Juliusz Letniowski,Lech Poznań,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Michał Kopczyński,Arka Gdynia,2,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Dawid Szot,Wisła Kraków,3,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Mateusz Sowiński,Korona Kielce,2,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Emir Azemović,Raków Częstochowa,3,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Salvador Agra,Legia Warszawa,2,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Mile Savković,Jagiellonia,2,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Dominik Jończy,Zagłębie Lubin,5,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Tomasz Bała,Cracovia,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Carlitos,Legia Warszawa,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Dorde Crnomarković,Lech Poznań,4,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Alen Stevanović,Wisła Płock,2,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Mateusz Radecki,Śląsk Wrocław,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Kamil Rozmus,ŁKS Łódź,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Sebastian Bergier,Śląsk Wrocław,2,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Adrian Gryszkiewicz,Górnik Zabrze,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Radosław Cielemęcki,Legia Warszawa,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Goran Cvijanović,Arka Gdynia,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Daniel Morys,Wisła Kraków,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Jan Łoś,Arka Gdynia,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Mario Maloca,Lechia Gdańsk,8,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Luka Marić,Arka Gdynia,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Michał Rostkowski,Górnik Zabrze,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Dariusz Pawłowski,Górnik Zabrze,2,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Dawid Markiewicz,Arka Gdynia,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Marcin Szpakowski,Śląsk Wrocław,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
