KOL,GOSP,GOŚĆ,ST GOSP,ST GOŚĆ,ST C GOSP,ST C GOŚĆ,G GOSP,G GOŚĆ,xG GOSP,xG GOŚĆ,xG/s gosp,xG/s gość,% GOSP,% REMIS,% GOŚĆ
26,Arka,Wisła P,9,17,3,8,1,2,"0,55","0,74","0,06","0,04",24%,40%,36%
26,Zagłębie,Lechia,31,15,9,6,4,4,"2,44","2,06","0,08","0,14",47%,20%,33%
26,Jagiellonia,Śląsk,12,7,3,2,1,0,"1,42","0,32","0,12","0,05",67%,25%,8%
26,Raków,Pogoń,13,7,3,3,0,0,"1,05","0,40","0,08","0,06",53%,34%,13%
26,Wisła K,Lech,9,17,3,4,1,1,"0,72","1,18","0,08","0,07",22%,31%,47%
26,Legia,Piast,14,9,4,4,1,2,"1,22","0,93","0,09","0,10",43%,30%,28%
26,Korona,ŁKS,16,13,6,1,1,0,"1,57","0,35","0,10","0,03",70%,23%,7%
27,Śląsk,Raków,12,8,4,3,1,1,"1,96","0,43","0,16","0,05",76%,17%,6%
27,Pogoń,Zagłębie,24,15,4,6,0,3,"2,15","1,50","0,09","0,10",53%,21%,26%
27,ŁKS,Górnik,13,13,3,5,0,1,"1,41","1,50","0,11","0,12",35%,25%,39%
27,Piast,Wisła K,14,6,5,1,4,0,"1,71","0,48","0,12","0,08",69%,22%,9%
27,Lech,Legia,15,13,4,5,0,1,"0,80","1,84","0,05","0,14",15%,22%,63%
27,Wisła P,Korona,10,11,6,6,1,4,"0,94","0,73","0,09","0,07",39%,34%,27%
27,Cracovia,Jagiellonia,8,13,5,2,0,1,"0,62","1,17","0,08","0,09",19%,31%,50%
27,Lechia,Arka,21,16,7,7,4,2,"3,72","2,34","0,18","0,15",65%,15%,20%
28,Korona,Piast,13,19,3,7,1,2,"0,48","2,02","0,04","0,11",7%,18%,75%
28,Górnik,Lechia,16,16,6,8,2,2,"1,27","2,43","0,08","0,15",17%,19%,64%
28,Jagiellonia,Wisła P,18,15,5,7,2,2,"1,05","2,26","0,06","0,15",15%,19%,66%
28,Zagłębie,Lech,10,20,6,9,3,3,"2,11","2,12","0,21","0,11",39%,21%,39%
28,Pogoń,Cracovia,12,14,2,5,1,0,"1,22","0,73","0,10","0,05",49%,30%,21%
28,Raków,ŁKS,18,13,5,3,1,1,"2,57","1,35","0,14","0,10",65%,18%,17%
28,Arka,Śląsk,14,14,7,3,2,1,"1,48","1,57","0,11","0,11",36%,25%,40%
28,Wisła K,Legia,10,22,4,6,1,3,"0,57","2,26","0,06","0,10",7%,16%,77%
29,Lechia,Cracovia,10,14,1,6,1,2,"0,64","1,42","0,06","0,10",16%,27%,57%
29,Piast,Górnik,13,8,6,0,0,0,"0,83","0,46","0,06","0,06",42%,39%,19%
29,Lech,Pogoń,12,7,8,2,4,0,"1,37","0,67","0,11","0,10",55%,28%,17%
29,Zagłębie,Korona,16,13,5,2,1,0,"2,17","1,42","0,14","0,11",55%,21%,24%
29,Wisła K,Raków,7,18,5,6,3,2,"1,02","1,68","0,15","0,09",22%,25%,53%
29,Wisła P,Śląsk,11,10,4,6,1,2,"0,86","0,80","0,08","0,08",34%,35%,31%
29,Legia,Arka,28,3,8,1,4,1,"2,90","0,25","0,10","0,08",91%,7%,1%
29,ŁKS,Jagiellonia,13,11,4,3,0,2,"0,49","1,33","0,04","0,12",13%,28%,59%
30,Arka,Wisła K,9,16,2,6,0,0,"0,33","0,68","0,04","0,04",16%,45%,39%
30,Cracovia,Wisła P,16,20,4,5,1,1,"1,09","1,60","0,07","0,08",25%,25%,49%
30,Górnik,Legia,8,29,4,7,2,0,"0,90","1,68","0,11","0,06",19%,25%,56%
30,Jagiellonia,Piast,16,11,5,4,0,2,"0,75","1,92","0,05","0,17",13%,21%,67%
30,Korona,Lech,18,13,3,6,0,3,"1,36","2,97","0,08","0,23",13%,15%,72%
30,Pogoń,Lechia,9,6,2,2,1,1,"0,74","0,36","0,08","0,06",42%,42%,16%
30,Raków,Zagłębie,15,10,5,2,2,1,"1,54","0,60","0,10","0,06",61%,25%,14%
30,Śląsk,ŁKS,10,11,5,4,4,0,"1,02","0,77","0,10","0,07",41%,33%,27%
31,Zagłębie,ŁKS,20,9,8,2,1,0,"1,63","0,40","0,08","0,04",69%,23%,8%
31,Górnik,Korona,20,14,7,5,2,2,"2,39","1,08","0,12","0,08",68%,18%,14%
31,Wisła P,Arka,14,12,5,2,0,0,"0,76","0,70","0,05","0,06",33%,37%,30%
31,Piast,Lech,18,6,6,2,0,2,"1,03","0,30","0,06","0,05",55%,35%,10%
31,Raków,Wisła K,14,9,4,3,3,1,"1,68","0,38","0,12","0,04",72%,21%,7%
31,Pogoń,Lechia,26,8,7,4,0,1,"2,50","1,60","0,10","0,20",58%,20%,23%
31,Cracovia,Jagiellonia,19,7,1,4,0,2,"1,96","1,01","0,10","0,14",60%,22%,18%
31,Legia,Śląsk,17,8,6,0,2,0,"1,97","0,35","0,12","0,04",78%,17%,5%
32,Arka,Zagłębie,10,16,6,2,3,2,"2,40","1,55","0,24","0,10",58%,20%,22%
32,Korona,Raków,18,6,6,3,0,1,"1,03","0,72","0,06","0,12",42%,33%,25%
32,ŁKS,Górnik,12,10,3,5,1,3,"0,51","1,62","0,04","0,16",10%,23%,67%
32,Wisła K,Wisła P,13,9,4,3,1,0,"1,46","0,53","0,11","0,06",61%,26%,13%
32,Lechia,Piast,11,12,4,4,1,0,"1,21","1,12","0,11","0,09",38%,29%,33%
32,Jagiellonia,Legia,14,9,3,1,0,0,"0,93","0,43","0,07","0,05",47%,37%,16%
32,Lech,Pogoń,10,6,1,0,0,0,"0,34","0,42","0,03","0,07",20%,53%,26%
32,Śląsk,Cracovia,17,17,7,5,3,2,"1,63","1,53","0,10","0,09",40%,24%,36%
33,Raków,Arka,17,13,10,4,3,1,"1,49","1,15","0,09","0,09",45%,26%,29%
33,Zagłębie,Korona,15,11,9,5,2,1,"1,61","0,44","0,11","0,04",68%,23%,9%
33,Wisła P,ŁKS,10,9,5,4,2,0,"0,79","0,45","0,08","0,05",41%,40%,19%
33,Legia,Piast,13,5,4,1,1,1,"0,95","0,91","0,07","0,18",34%,33%,33%
33,Górnik,Wisła K,14,10,2,3,0,1,"1,05","1,15","0,08","0,12",32%,29%,38%
33,Jagiellonia,Lechia,19,13,6,4,1,2,"1,57","1,38","0,08","0,11",42%,25%,33%
33,Śląsk,Lech,16,7,6,5,2,2,"1,21","1,98","0,08","0,28",21%,22%,57%
33,Cracovia,Pogoń,9,11,3,1,1,1,"1,32","0,74","0,15","0,07",51%,29%,20%
34,ŁKS,Wisła K,15,15,5,6,1,2,"0,95","2,90","0,06","0,19",8%,13%,79%
34,Korona,Arka,22,7,5,2,1,1,"1,89","0,47","0,09","0,07",73%,19%,8%
