ZAWODNIK,KLUB,MIN BEZ GOLA,MECZE BEZ GOLA,OSTATNI GOL,OSTATNI GOL PRZECIW,MIN BEZ GOLA LUB ASYSTY,MECZE BEZ GOLA LUB ASYSTY,OSTATNI GOL LUB ASYSTA,OSTATNI GOL LUB ASYSTA PRZECIW
Levent Gulen,ŁKS Łódź,3757,45,-,-,83,0,25.05.2024,Stal
Linus Wahlqvist,Pogoń Szczecin,3675,44,-,-,433,5,12.04.2024,Ruch
Dominick Zator,Korona Kielce,3545,40,15.04.2023,Jagiellonia,2362,26,22.09.2023,Widzew
Patryk Janasik,Śląsk Wrocław,3498,44,21.05.2022,Górnik Z,1825,22,20.08.2023,Lech
Leandro,Stal Mielec,3491,54,16.05.2017,Cracovia,627,13,17.04.2023,Miedź
Szymon Szymański,Ruch Chorzów,3159,31,-,-,666,8,30.03.2024,Raków
Kostas Triantafyllopoulos,Górnik Zabrze,3098,42,04.03.2022,Radomiak,1998,30,13.08.2022,Wisła P
Maciej Sadlok,Ruch Chorzów,3048,42,31.07.2021,Bruk-Bet,3048,42,31.07.2021,Bruk-Bet
Arkadiusz Pyrka,Piast Gliwice,3020,34,12.05.2023,Korona,512,5,20.04.2024,Pogoń
Milan Rundić,Raków Częstochowa,3019,43,03.10.2021,Warta,1092,14,10.03.2023,Śląsk
Aleks Petkow,Śląsk Wrocław,2970,33,-,-,2508,27,25.08.2023,Widzew
Jakub Bartkowski,Warta Poznań,2939,34,22.04.2023,Cracovia,2939,34,22.04.2023,Cracovia
Barry Douglas,Lech Poznań,2923,42,13.08.2021,Bruk-Bet,2377,35,05.12.2021,Zagłębie L
Paweł Olszewski,Jagiellonia Białystok,2795,49,-,-,1936,38,05.12.2020,Warta
Konrad Poprawa,Śląsk Wrocław,2779,35,20.04.2021,Podbeskidzie,1692,20,10.09.2022,Lechia
Marius Briceag,Korona Kielce,2746,32,-,-,1263,15,27.05.2023,Widzew
Fran Tudor,Raków Częstochowa,2739,33,16.04.2023,Widzew,413,5,13.04.2024,Legia
Adrian Dieguez,Jagiellonia Białystok,2625,30,-,-,1219,14,11.11.2023,Korona
Bartosz Salamon,Lech Poznań,2563,30,12.02.2022,Bruk-Bet,553,6,07.04.2024,Pogoń
Michał Nalepa,Zagłębie Lubin,2263,27,13.11.2022,Piast,602,6,08.04.2024,Górnik Z
Boris Sekulić,Górnik Zabrze,2230,29,13.05.2023,Widzew,1136,15,27.10.2023,ŁKS
Mato Milos,Widzew Łódź,2208,33,12.11.2022,Korona,686,10,29.10.2023,Raków
Mike Cestor,Radomiak Radom,2101,28,-,-,1700,23,25.02.2023,Lechia
Jakub Jugas,Cracovia,1966,23,12.02.2023,Legia,1966,23,12.02.2023,Legia
Paweł Zieliński,Widzew Łódź,1937,35,18.05.2019,Wisła K,1367,25,12.11.2022,Korona
Andreas Skovgaard,Cracovia,1898,24,-,-,697,8,16.03.2024,Widzew
Piotr Malarczyk,Korona Kielce,1842,22,27.05.2023,Widzew,1842,22,27.05.2023,Widzew
Piotr Głowacki,ŁKS Łódź,1811,28,-,-,1551,25,04.08.2023,Korona
Bogdan Racovitan,Raków Częstochowa,1807,21,05.11.2023,Zagłębie L,987,10,13.03.2024,Korona
Patryk Stępiński,Ruch Chorzów,1798,21,23.07.2023,Puszcza,1798,21,23.07.2023,Puszcza
Miha Blazic,Lech Poznań,1788,22,06.08.2023,Zagłębie L,1788,22,06.08.2023,Zagłębie L
Jakub Holubek,Piast Gliwice,1695,37,23.04.2022,Jagiellonia,1627,35,29.04.2022,Warta
Marcus Godinho,Korona Kielce,1653,23,12.05.2023,Piast,625,9,27.10.2023,Puszcza
Bert Esselink,Stal Mielec,1651,19,29.09.2023,Korona,1651,19,29.09.2023,Korona
Maksymilian Pingot,Stal Mielec,1601,20,-,-,1601,20,-,-
Adnan Kovacević,Raków Częstochowa,1600,22,31.05.2020,Wisła P,911,15,18.07.2020,ŁKS
Łukasz Bejger,Śląsk Wrocław,1593,19,28.10.2023,Ruch,1593,19,28.10.2023,Ruch
Elias Andersson,Lech Poznań,1587,23,-,-,412,5,21.04.2024,ŁKS
Steve Kapuadi,Legia Warszawa,1580,20,27.09.2023,Pogoń,1580,20,27.09.2023,Pogoń
Martin Konczkowski,Śląsk Wrocław,1577,21,24.07.2023,Korona,261,5,08.03.2024,Jagiellonia
Kryspin Szcześniak,Górnik Zabrze,1545,17,27.10.2023,ŁKS,1545,17,27.10.2023,ŁKS
Bartosz Kopacz,Zagłębie Lubin,1513,16,24.11.2023,ŁKS,177,2,04.05.2024,Raków
Stratos Svarnas,Raków Częstochowa,1507,16,10.12.2023,Jagiellonia,1507,16,10.12.2023,Jagiellonia
Adrien Louveau,ŁKS Łódź,1462,22,-,-,738,12,11.11.2023,Piast
Marco Ehmann,Stal Mielec,1451,19,-,-,1451,19,-,-
Rahil Mammadov,ŁKS Łódź,1440,16,-,-,1440,16,-,-
Kamil Pajnowski,Stal Mielec,1433,19,-,-,209,3,12.08.2023,Śląsk
Raphael Rossi,Radomiak Radom,1396,15,09.12.2023,Górnik Z,1396,15,09.12.2023,Górnik Z
Antonio Milić,Lech Poznań,1395,17,06.10.2023,Puszcza,1395,17,06.10.2023,Puszcza
Rafał Augustyniak,Legia Warszawa,1301,14,03.12.2023,Zagłębie L,13,0,28.04.2024,Stal
Bartłomiej Kłudka,Zagłębie Lubin,1297,19,23.07.2023,Ruch,7,2,12.05.2024,Widzew
Ariel Mosór,Piast Gliwice,1282,14,11.11.2023,ŁKS,1019,11,18.12.2023,Stal
Krystian Getinger,Stal Mielec,1259,16,09.12.2023,Cracovia,941,12,16.02.2024,Śląsk
Dusan Stojinović,Jagiellonia Białystok,1231,26,-,-,1231,26,-,-
Kacper Michalski,Ruch Chorzów,1217,18,28.07.2023,ŁKS,1217,18,28.07.2023,ŁKS
Mateusz Cichocki,Radomiak Radom,1159,16,13.08.2023,Pogoń,1159,16,13.08.2023,Pogoń
Virgil Ghita,Cracovia,1150,14,25.11.2023,Raków,1150,14,25.11.2023,Raków
Alan Czerwiński,Lech Poznań,1109,22,02.09.2023,Górnik Z,433,9,15.03.2024,Warta
Miguel Munoz,Piast Gliwice,1055,18,-,-,1055,18,-,-
Mohamed Mezghrani,Warta Poznań,969,12,-,-,171,2,22.04.2024,Stal
Michal Sacek,Jagiellonia Białystok,935,10,08.03.2024,Śląsk,285,3,04.05.2024,Stal
Filip Borowski,Warta Poznań,933,24,-,-,715,20,19.08.2023,Radomiak
Rafał Janicki,Górnik Zabrze,929,10,25.02.2024,Widzew,929,10,25.02.2024,Widzew
