ZAWODNIK,KLUB,R,R celn,% R celn,R Gole,ZZA,ZZA celn,ZZA %,ZZA Gole,ZZA GOL/ZZA
Damian Jakubik,Radomiak,7,1,"14,3%",0,5,0,"0,0%",0,"0,0%"
Jakub Jugas,Cracovia,4,1,"25,0%",0,1,0,"0,0%",0,"0,0%"
Michał Koj,Puszcza,4,1,"25,0%",1,1,0,"0,0%",0,"0,0%"
Tomasz Kupisz,Jagiellonia,3,1,"33,3%",0,1,0,"0,0%",0,"0,0%"
Danijel Loncar,Pogoń,3,1,"33,3%",1,1,0,"0,0%",0,"0,0%"
Wojciech Łaski,Jagiellonia,6,1,"16,7%",1,1,0,"0,0%",0,"0,0%"
Mateusz Stępień,Stal,6,1,"16,7%",0,3,0,"0,0%",0,"0,0%"
Patryk Stępiński,Widzew/Ruch,5,1,"20,0%",1,2,0,"0,0%",0,"0,0%"
Miłosz Strzeboński,Korona,6,1,"16,7%",0,4,0,"0,0%",0,"0,0%"
Serafin Szota,Widzew,2,1,"50,0%",0,1,0,"0,0%",0,"0,0%"
Maciej Śliwa,ŁKS,5,1,"20,0%",0,3,0,"0,0%",0,"0,0%"
Artemijus Tutyskinas,ŁKS,4,1,"25,0%",1,3,0,"0,0%",0,"0,0%"
Kenneth Zohore,Śląsk,4,1,"25,0%",0,1,0,"0,0%",0,"0,0%"
Marcel Zylla,Śląsk,2,1,"50,0%",0,1,0,"0,0%",0,"0,0%"
Josema,Ruch,9,1,"11,1%",1,4,0,"0,0%",0,"0,0%"
Bruno Jordao,Radomiak,9,1,"11,1%",0,6,0,"0,0%",0,"0,0%"
Alen Mustafić,Śląsk,3,1,"33,3%",0,2,0,"0,0%",0,"0,0%"
David Kristjan Olafsson,Cracovia,4,1,"25,0%",1,2,0,"0,0%",0,"0,0%"
Aleksander Iwańczyk,ŁKS,2,1,"50,0%",1,1,0,"0,0%",0,"0,0%"
Roberto Alves,Radomiak,3,0,"0,0%",0,3,0,"0,0%",0,"0,0%"
Norbert Barczak,Górnik Z,3,0,"0,0%",0,3,0,"0,0%",0,"0,0%"
Tomasz Foszmańczyk,Ruch,3,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Tornike Gaprindaszwili,Zagłębie,2,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Richard Jensen,Górnik Z,2,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Alexandros Katranis,Piast,4,0,"0,0%",0,3,0,"0,0%",0,"0,0%"
Tihomir Kostadinov,Piast,5,0,"0,0%",0,3,0,"0,0%",0,"0,0%"
Kostas Triantafyllopoulos,górnik Z,5,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Leandro,Stal,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Leandro Rossi,Radomiak,6,0,"0,0%",0,5,0,"0,0%",0,"0,0%"
Adrien Louveau,ŁKS,10,0,"0,0%",0,4,0,"0,0%",0,"0,0%"
Mateusz Łęgowski,Pogoń,4,0,"0,0%",0,3,0,"0,0%",0,"0,0%"
Mariusz Malec,Pogoń,5,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Adam Marciniak,ŁKS,2,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Paweł Olszewski P,Jagiellonia,2,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Daniel Pik,Radomiak,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Milan Rundić,Raków,2,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Rafa Santos,Stal,2,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Juljan Shehu,Widzew,8,0,"0,0%",0,5,0,"0,0%",0,"0,0%"
Jakub Stec,Puszcza,4,0,"0,0%",0,3,0,"0,0%",0,"0,0%"
Kacper Śmiglewski,Cracovia,4,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Paweł Zieliński,Widzew,2,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Erick Otieno,Raków,11,0,"0,0%",0,4,0,"0,0%",0,"0,0%"
Peter Barath,Raków,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Riza Durmisi,ŁKS,3,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Ioan-Calin Revenco,Puszcza,3,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
Lirim Kastrati,Widzew,3,0,"0,0%",0,3,0,"0,0%",0,"0,0%"
Tomasz Mokwa,Piast,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Petteri Forsell,Korona,4,0,"0,0%",0,4,0,"0,0%",0,"0,0%"
Walerian Gwilia,Piast,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Qendrim Zyba,Legia,3,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Ion Gheorghe,Stal,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Tommaso Guercio,Śląsk,1,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Levent Gulen,ŁKS,4,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Filip Rejczyk,Legia,2,0,"0,0%",0,1,0,"0,0%",0,"0,0%"
Jakub Jezierski,Śląsk,2,0,"0,0%",0,2,0,"0,0%",0,"0,0%"
