ZAWODNIK,KLUB,Strzały,G,xG,xG/s,G-xG,non-pen xG,non-pen xG/s,G - xG NON-PEN,KP,AST,xAST,KP-xAST
Arkadiusz Woźniak,Zagłębie,3,0,"0,488","0,163","-0,488","0,488","0,163","-0,488",5,0,"0,224","-0,224"
Bartosz Salamon,Lech,6,0,"0,489","0,082","-0,489","0,489","0,082","-0,489",5,1,"0,981","0,019"
Leonardo Rocha,Radomiak,37,4,"5,244","0,142","-1,244","4,494","0,125","-0,494",5,0,"0,238","-0,238"
Luka Zahović,Pogoń,12,1,"1,500","0,125","-0,500","1,500","0,125","-0,500",9,2,"1,521","0,479"
Hubert Tomalski,Puszcza,14,0,"0,503","0,036","-0,503","0,503","0,036","-0,503",9,0,"0,655","-0,655"
Wiktor Pleśnierowicz,Warta,9,0,"0,508","0,056","-0,508","0,508","0,056","-0,508",3,0,"0,211","-0,211"
Piotr Głowacki,ŁKS,14,0,"0,510","0,036","-0,510","0,510","0,036","-0,510",18,1,"2,061","-1,061"
Michał Kaput,Radomiak,12,0,"0,514","0,043","-0,514","0,514","0,043","-0,514",9,0,"0,716","-0,716"
Dani Ramirez,ŁKS,50,9,"7,769","0,155","1,231","2,519","0,059","-0,519",45,2,"2,821","-0,821"
Erik Janza,Górnik Z,11,0,"0,527","0,048","-0,527","0,527","0,048","-0,527",34,4,"2,852","1,148"
Jakub Bartkowski,Warta,5,0,"0,536","0,107","-0,536","0,536","0,107","-0,536",15,0,"0,898","-0,898"
Mateusz Bochnak,Cracovia,11,0,"0,549","0,050","-0,549","0,549","0,050","-0,549",9,0,"0,742","-0,742"
Cornel Rapa,Cracovia,13,0,"0,552","0,042","-0,552","0,552","0,042","-0,552",14,1,"1,798","-0,798"
Adrian Przyborek,Pogoń,17,1,"1,584","0,093","-0,584","1,584","0,093","-0,584",17,3,"1,173","1,827"
Raphael Rossi,Radomiak,24,1,"1,590","0,066","-0,590","1,590","0,066","-0,590",8,0,"0,526","-0,526"
Fredrik Krogstad,Korona,5,0,"0,595","0,119","-0,595","0,595","0,119","-0,595",6,0,"0,232","-0,232"
Gabriel Kirejczyk,Piast,6,0,"0,619","0,103","-0,619","0,619","0,103","-0,619",3,0,"0,161","-0,161"
Patryk Dziczek,Piast,44,8,"7,619","0,173","0,381","1,619","0,045","-0,619",23,0,"1,405","-1,405"
Maciej Firlej,Ruch/Puszcza,7,0,"0,626","0,089","-0,626","0,626","0,089","-0,626",3,1,"0,354","0,646"
Pirulo,ŁKS,24,1,"1,628","0,068","-0,628","1,628","0,068","-0,628",7,0,"0,549","-0,549"
Adrien Louveau,ŁKS,10,0,"0,629","0,063","-0,629","0,629","0,063","-0,629",6,1,"0,168","0,832"
Artur Jędrzejczyk,Legia,6,0,"0,635","0,106","-0,635","0,635","0,106","-0,635",7,0,"0,816","-0,816"
Patrick Olsen,Śląsk,17,0,"0,658","0,039","-0,658","0,658","0,039","-0,658",22,2,"1,677","0,323"
Rafał Augustyniak,Legia,28,1,"1,660","0,059","-0,660","1,660","0,059","-0,660",8,1,"0,837","0,163"
Jakub Bartosz,Puszcza,21,1,"1,665","0,079","-0,665","1,665","0,079","-0,665",7,0,"0,467","-0,467"
Jakub Łukowski,Korona,10,0,"0,668","0,067","-0,668","0,668","0,067","-0,668",5,0,"0,353","-0,353"
Szymon Szymański,Ruch,11,0,"0,672","0,061","-0,672","0,672","0,061","-0,672",11,1,"0,820","0,180"
Dawid Abramowicz,Radomiak,37,2,"2,674","0,072","-0,674","2,674","0,072","-0,674",33,3,"3,911","-0,911"
Jakub Holubek,Piast,6,0,"0,696","0,116","-0,696","0,696","0,116","-0,696",4,0,"0,101","-0,101"
Adrian Dieguez,Jagiellonia,15,0,"0,699","0,047","-0,699","0,699","0,047","-0,699",15,2,"1,261","0,739"
Ryoya Morishita,Legia,12,0,"0,709","0,059","-0,709","0,709","0,059","-0,709",7,0,"0,882","-0,882"
Ante Crnac,Raków,51,8,"8,720","0,171","-0,720","8,720","0,171","-0,720",17,4,"2,925","1,075"
Dino Hotić,Lech,8,0,"0,746","0,093","-0,746","0,746","0,093","-0,746",18,2,"1,650","0,350"
Filip Borowski,Warta,13,0,"0,746","0,057","-0,746","0,746","0,057","-0,746",9,1,"1,242","-0,242"
